variant,COMMON_CORRECT_unique_rows,seed_row_evaluations,COMMON_CORRECT_RMSE,COMMON_CORRECT_MAE
RG0_RICH_ONLY,1314,6570,14.209791240133676,8.394998321069737
RG1_FEDERATED_H1,1314,6570,11.309718805361594,6.727440632940341
RG2_ALL_PRIOR,1314,6570,11.198655227149718,6.62409138419793
