seed,variant,class_id,gas,N,RMSE,MAE
42,RG0_RICH_ONLY,0,Ethanol,340,27.805169621575235,8.656282741413326
42,RG0_RICH_ONLY,1,CO,340,27.520055545853058,18.784782653011387
42,RG0_RICH_ONLY,2,Ethylene,340,30.78803881153465,9.326291861100493
42,RG0_RICH_ONLY,3,Methane,340,14.30175401362121,7.156201797385057
42,RG1_FEDERATED_H1,0,Ethanol,340,26.065823662228386,8.194343388229077
42,RG1_FEDERATED_H1,1,CO,340,22.6649997607787,12.954536143110312
42,RG1_FEDERATED_H1,2,Ethylene,340,35.50515710000028,9.787887325100359
42,RG1_FEDERATED_H1,3,Methane,340,13.331720109612284,6.598224576583435
42,RG2_ALL_PRIOR,0,Ethanol,340,26.80408433735133,8.504001141087398
42,RG2_ALL_PRIOR,1,CO,340,22.91416650710558,12.920526247014319
42,RG2_ALL_PRIOR,2,Ethylene,340,35.247723117938214,8.5543650952479
42,RG2_ALL_PRIOR,3,Methane,340,14.110873329070394,7.0130660811193835
43,RG0_RICH_ONLY,0,Ethanol,340,19.590914807229858,6.9699641895883016
43,RG0_RICH_ONLY,1,CO,340,26.972440451366584,18.783464188582762
43,RG0_RICH_ONLY,2,Ethylene,340,15.49882493644685,5.536619680960647
43,RG0_RICH_ONLY,3,Methane,340,14.326637945837332,7.165323123324176
43,RG1_FEDERATED_H1,0,Ethanol,340,18.44326170908522,6.788469592770231
43,RG1_FEDERATED_H1,1,CO,340,21.57189575563485,12.857639865698413
43,RG1_FEDERATED_H1,2,Ethylene,340,15.67028913954315,5.593189771589538
43,RG1_FEDERATED_H1,3,Methane,340,13.291480461589469,6.582871945429199
43,RG2_ALL_PRIOR,0,Ethanol,340,19.6405416382289,7.202879651314764
43,RG2_ALL_PRIOR,1,CO,340,21.49554803287247,12.800786460431835
43,RG2_ALL_PRIOR,2,Ethylene,340,15.124455676111523,4.970256533525923
43,RG2_ALL_PRIOR,3,Methane,340,13.552855535355095,6.8495450069858075
44,RG0_RICH_ONLY,0,Ethanol,340,11.900040944953323,5.374769566332932
44,RG0_RICH_ONLY,1,CO,340,22.75323491722763,17.713698182329818
44,RG0_RICH_ONLY,2,Ethylene,340,15.494935066716753,5.66946621954212
44,RG0_RICH_ONLY,3,Methane,340,12.62127855956618,6.797676064500646
44,RG1_FEDERATED_H1,0,Ethanol,340,10.430344041350375,5.22267919023943
44,RG1_FEDERATED_H1,1,CO,340,15.962721684791092,11.766207754650084
44,RG1_FEDERATED_H1,2,Ethylene,340,16.593510112554913,5.820446311925262
44,RG1_FEDERATED_H1,3,Methane,340,11.432741163337576,6.215224886605669
44,RG2_ALL_PRIOR,0,Ethanol,340,10.541682033146275,5.404745647118708
44,RG2_ALL_PRIOR,1,CO,340,15.858215699267275,11.707120802743978
44,RG2_ALL_PRIOR,2,Ethylene,340,16.428873399725827,5.3942696192180355
44,RG2_ALL_PRIOR,3,Methane,340,11.735587365328762,6.481897948162278
45,RG0_RICH_ONLY,0,Ethanol,340,23.67539981217404,7.4356562517244225
45,RG0_RICH_ONLY,1,CO,340,22.75323491722763,17.713698182329818
45,RG0_RICH_ONLY,2,Ethylene,340,19.279452972961174,6.323075937519062
45,RG0_RICH_ONLY,3,Methane,340,14.326637945837332,7.165323123324176
45,RG1_FEDERATED_H1,0,Ethanol,340,21.883738806517247,7.009018225626016
45,RG1_FEDERATED_H1,1,CO,340,15.962721684791092,11.766207754650084
45,RG1_FEDERATED_H1,2,Ethylene,340,19.40185985121675,6.181419375452957
45,RG1_FEDERATED_H1,3,Methane,340,13.291480461589469,6.582871945429199
45,RG2_ALL_PRIOR,0,Ethanol,340,22.20407236538251,7.241766200369882
45,RG2_ALL_PRIOR,1,CO,340,15.858215699267275,11.707120802743978
45,RG2_ALL_PRIOR,2,Ethylene,340,19.167748403128986,5.682033648355215
45,RG2_ALL_PRIOR,3,Methane,340,13.552855535355095,6.8495450069858075
46,RG0_RICH_ONLY,0,Ethanol,340,11.629753178908167,5.351915805126735
46,RG0_RICH_ONLY,1,CO,340,22.75323491722763,17.713698182329818
46,RG0_RICH_ONLY,2,Ethylene,340,26.18387144624245,7.644771785543957
46,RG0_RICH_ONLY,3,Methane,340,16.641021117849622,7.378213487068072
46,RG1_FEDERATED_H1,0,Ethanol,340,9.380607227619697,5.071378372314424
46,RG1_FEDERATED_H1,1,CO,340,15.962721684791092,11.766207754650084
46,RG1_FEDERATED_H1,2,Ethylene,340,25.361414332657315,7.242665044592604
46,RG1_FEDERATED_H1,3,Methane,340,15.748851834107727,6.772386490380155
46,RG2_ALL_PRIOR,0,Ethanol,340,9.639973845954517,5.291987342866695
46,RG2_ALL_PRIOR,1,CO,340,15.858215699267275,11.707120802743978
46,RG2_ALL_PRIOR,2,Ethylene,340,24.892549929227318,6.690136494875298
46,RG2_ALL_PRIOR,3,Methane,340,15.973430215010358,7.04466141245422
