variant,seed,round,server_da_steps_per_round,server_da_total_steps_so_far,accuracy,macro_f1,nll,ece,mean_confidence,error_count,recall_class_0,recall_class_1,recall_class_2,recall_class_3,checkpoint_sha256,evaluation_seconds,evidence_status,test_used_for_selection
DA100,42,1,100,100,0.8691176470588236,0.8699882240407184,0.7449369126366436,0.349970889244886,0.5191467578139375,178,0.8735294117647059,0.8794117647058823,0.7441176470588236,0.9794117647058823,0f2ec9b74b950f1978f061c6726692028b9c078150a789ab56b65b0eca02cf70,1.4074797999346629,existing_canonical_reference,False
DA100,42,2,100,200,0.9014705882352941,0.9028038307296273,0.5298084840480992,0.27161264160976695,0.6298579466255272,134,0.9382352941176471,0.861764705882353,0.8294117647058824,0.9764705882352941,7292d4a34ea46a347b280624aadbb17d55dd952840693b952819d9e19c961457,1.015262399916537,existing_canonical_reference,False
DA100,42,3,100,300,0.9051470588235294,0.9059724154834312,0.39633883093073236,0.18734099216320935,0.7182511057047283,129,0.9588235294117647,0.8147058823529412,0.8529411764705882,0.9941176470588236,ad814cb742db863f774b45ab3710693626d9792ef9c3761de1482611d71b6d4b,0.6337155998917297,existing_canonical_reference,False
DA100,42,4,100,400,0.9066176470588235,0.9076101483975341,0.3126060960126208,0.1153706678353688,0.7912469792234547,127,0.9529411764705882,0.8117647058823529,0.8647058823529412,0.9970588235294118,d8f7241967fa6d1844ca29234316b16d594cec9367d0293037926de7538605b5,0.5045966000761837,existing_canonical_reference,False
DA100,42,5,100,500,0.9125,0.9134055961727251,0.24846635700866687,0.07004414227078944,0.8492468116914524,119,0.9529411764705882,0.7911764705882353,0.9147058823529411,0.9911764705882353,97bbc7d9c30b34b5f782fa92c88081485d4b130a373b12230dd154460ef97619,0.8796411000657827,existing_canonical_reference,False
DA100,42,6,100,600,0.9338235294117647,0.9329998436076757,0.2285403453736611,0.03590599521994592,0.9012221577851212,90,0.9882352941176471,0.8117647058823529,0.9411764705882353,0.9941176470588236,9178d4e8dd8a4bf9a4ac185c93ec1156a6400179df170f4f3567226e9aba56bd,0.5802015999797732,existing_canonical_reference,False
DA100,42,7,100,700,0.9529411764705882,0.9529057308257654,0.1513040087848628,0.026557936913826855,0.9311598136144525,64,0.9852941176470589,0.888235294117647,0.9441176470588235,0.9941176470588236,d7f9ac4bbf0d1da634e35b47e39dc4aeb87b3c85ab8d0fce9bc70e9fd116c8cf,0.8192987999645993,existing_canonical_reference,False
DA100,42,8,100,800,0.9786764705882353,0.9787402201352632,0.09190733719013602,0.019029918466420763,0.9611069492776604,29,0.961764705882353,0.9764705882352941,0.9764705882352941,1.0,effc640937483d31d3d63a6872600038847d4d353173c33f027446d2274413c3,0.7146774000721052,existing_canonical_reference,False
DA100,42,9,100,900,0.9830882352941176,0.983124122454883,0.0696590973507182,0.009423417685662976,0.9745569468859364,23,0.9676470588235294,0.9852941176470589,0.9794117647058823,1.0,93737f80ec53b06de343e4ceea8c0fb40274455386d26aa7c4713f93afa1a545,0.6108750998973846,existing_canonical_reference,False
DA100,42,10,100,1000,0.9845588235294118,0.9846053147495327,0.07517813160229139,0.00419557988643654,0.9837056364206707,21,0.9794117647058823,0.9882352941176471,0.9852941176470589,0.9852941176470589,0d2026caebcad3ebdf644a6eb659b95ca1115cc2107f16a5fe73a8ee7e565248,0.9901383999967948,existing_canonical_reference,False
DA100,42,11,100,1100,0.9830882352941176,0.9831405747381097,0.08178909502554876,0.00990330883685275,0.9888525513165137,23,0.9676470588235294,0.9941176470588236,0.9852941176470589,0.9852941176470589,b70bef80e08dfba4c7759719f67d464d6cb3674ce4f1f72eeacaad071eddd411,0.8782281000167131,existing_canonical_reference,False
DA100,42,12,100,1200,0.9852941176470589,0.9853069785251709,0.06847211235372223,0.008820528054938645,0.9921272063956541,20,0.9647058823529412,0.9941176470588236,0.9852941176470589,0.9970588235294118,7e6f8aec7c45a1f950a9b0fc967d7eb6b26469384febac5245d247f932f8ddb4,0.6419872998958454,existing_canonical_reference,False
DA100,42,13,100,1300,0.9845588235294118,0.9845758461836343,0.0828741694954749,0.00920922874527826,0.9930297403212855,21,0.9764705882352941,1.0,0.9823529411764705,0.9794117647058823,d43d1b9e7ce709c010fa17315492a2922ba8ac558235b0e11b332009ebc53b4f,1.0065200999379158,existing_canonical_reference,False
DA100,42,14,100,1400,0.9889705882352942,0.9889808373015044,0.05917557493776473,0.007360584420316451,0.9943343803286553,15,0.9823529411764705,1.0,0.9823529411764705,0.9911764705882353,c1695b0bcb3ad99e1a880adcb764917c88593b3353049af1e131d4c054cbda63,0.5248570999829099,existing_canonical_reference,False
DA100,42,15,100,1500,0.9830882352941176,0.9830982339314422,0.088015285064349,0.013172767661950188,0.9955738795592505,23,0.961764705882353,1.0,0.9823529411764705,0.9882352941176471,a7a7f059e65006afad65ad1fd2758b5211d387cd4369c5cbfd2902ec5b5d1507,0.7028724999399856,existing_canonical_reference,False
DA100,42,16,100,1600,0.9889705882352942,0.9889820744765557,0.07152003386426739,0.008142049391480036,0.9962031598038533,15,0.9882352941176471,1.0,0.9823529411764705,0.9852941176470589,1501176b19c2f78feaf061e7ea7a828cebeb1b844e8006a48c20f3c36dd04b4e,0.6086710999952629,existing_canonical_reference,False
DA100,42,17,100,1700,0.9845588235294118,0.9845959074532353,0.10370296421527657,0.012536136017126215,0.9966957079137073,21,0.9735294117647059,1.0,0.9823529411764705,0.9823529411764705,2485446ec3b0327be8a71ca1f5be2829ba02ea71023e6cfb8e8a5109d8ca3b9a,0.49765410006511956,existing_canonical_reference,False
DA100,42,18,100,1800,0.9897058823529412,0.9897077831312093,0.08760223158495448,0.008883993152309849,0.9978866101187818,14,0.9970588235294118,0.9970588235294118,0.9823529411764705,0.9823529411764705,0eb05809d7db2d031d048cb90890e226f609e6086f068fa415f044c360f3aed5,0.8025537000503391,existing_canonical_reference,False
DA100,42,19,100,1900,0.9882352941176471,0.9882572333752789,0.08680257015159781,0.010073367900708074,0.9983086620183552,16,0.9852941176470589,1.0,0.9852941176470589,0.9823529411764705,b1f9baba6a5db9daef2bf855682b5468e5e7c8b95ecdf7f117b1ec74ea2d2849,0.9589543000329286,existing_canonical_reference,False
DA100,42,20,100,2000,0.986764705882353,0.9867916221488123,0.0955597466246114,0.011457991424728864,0.997336625614587,18,0.9794117647058823,1.0,0.9852941176470589,0.9823529411764705,6d461ba9c681f04d517161df6eb5c2db216d24620082e3c1106b79e2d0b9be97,0.4267912999494001,existing_canonical_reference,False
DA100,42,21,100,2100,0.986764705882353,0.9867917654866035,0.07897069502419216,0.011212656340178333,0.9975081558613216,18,0.9794117647058823,1.0,0.9823529411764705,0.9852941176470589,39252a5aa522bb69cc721f2c8d8bfb359cf2503f1cf91f0e967f9bd9ac857044,0.5521789999911562,existing_canonical_reference,False
DA100,42,22,100,2200,0.9860294117647059,0.9860414110190333,0.08383323087246927,0.011574481296188727,0.9970864519038621,19,0.9676470588235294,1.0,0.9852941176470589,0.9911764705882353,e015ab596fa5d4fb41c7b1be12dc0c83c2a3de633b74294b0767f36d640dc5da,0.6292712000431493,existing_canonical_reference,False
DA100,42,23,100,2300,0.9801470588235294,0.9801496026554859,0.12070823763830096,0.017510386161944457,0.9969523614820313,27,0.95,1.0,0.9823529411764705,0.9882352941176471,fd536504eb590ddf680d9043ced54c5f91df45fa1aac47624ae8e21f1f7425a1,0.6535977000603452,existing_canonical_reference,False
DA100,42,24,100,2400,0.9852941176470589,0.9853113510435203,0.10360825387674104,0.01219129089046935,0.9974854085375281,20,0.9794117647058823,1.0,0.9794117647058823,0.9823529411764705,5ee77fb1a9901d07eab7a57133253a004213c7107ffde7edfae513c6a54199dd,0.5599468000000343,existing_canonical_reference,False
DA100,42,25,100,2500,0.9897058823529412,0.9897118464566658,0.07605435272835022,0.008967457887004388,0.9983927805634106,14,0.9852941176470589,1.0,0.9823529411764705,0.9911764705882353,feeab9f63db47f1a5bdf3c58045c8d2d17c70964de19f544970d85158d819665,0.9367499999934807,existing_canonical_reference,False
DA80,42,1,80,80,0.8713235294117647,0.8731306367922262,0.7795963496953956,0.37329353782183977,0.4980299915899249,175,0.8647058823529412,0.8323529411764706,0.8176470588235294,0.9705882352941176,89973f51be0565f5dfb96967a7b1b68ce824b21d6ff5db0856fb5d70fa702616,0.45848000003024936,canonical_postflight_pass,False
DA80,42,2,80,160,0.8823529411764706,0.8836047145432023,0.5740618148331924,0.27811944410204886,0.6042334970744218,160,0.9264705882352942,0.8588235294117647,0.7588235294117647,0.9852941176470589,9a2b683d7c979afe1a5c9da0ddf220039b9026f8bdec4ef74afa2b878e5c38d7,0.6900898999301717,canonical_postflight_pass,False
DA80,42,3,80,240,0.9073529411764706,0.9078892005994262,0.4266659384940094,0.21082883034558855,0.6969573728740215,126,0.9588235294117647,0.8823529411764706,0.7941176470588235,0.9941176470588236,802fa48b65db800b7621626dcee595577889b4ef0ae5da35a45f2cbe91ed0789,0.6036146999103948,canonical_postflight_pass,False
DA80,42,4,80,320,0.888235294117647,0.8900042765250571,0.3741330506165446,0.12348187670988196,0.7661117069423199,152,0.9117647058823529,0.8176470588235294,0.8264705882352941,0.9970588235294118,a13c19ccfabf27196559ebf26a87309e991412752ab377fca0c39ba1d5772ca2,0.602819100022316,canonical_postflight_pass,False
DA80,42,5,80,400,0.9080882352941176,0.909179529909163,0.2831935292155003,0.09344083088285783,0.8205203811911975,125,0.95,0.8058823529411765,0.888235294117647,0.9882352941176471,a99b736a910d535992f7171725527c46530b3bcf7971e6fee6b4fd032804ece6,0.5698466999456286,canonical_postflight_pass,False
DA80,42,6,80,480,0.9198529411764705,0.9206888305466083,0.23267521074709302,0.053844736954745134,0.8714943328324486,109,0.9705882352941176,0.8352941176470589,0.8970588235294118,0.9764705882352941,9d39f882031cca4a54fb65a6564213fa649f19b78e67f17552140cca45182d81,1.269366899970919,canonical_postflight_pass,False
