N,accept_MAE,accept_N,accept_NRMSE,accept_P90AE,accept_RMSE,automatic_yield,class_correct_false_flag_rate,classifier_id,high_error_recall,nonreject_N,nonreject_NRMSE,nonreject_RMSE,nonreject_coverage,oracle_accept_NRMSE,oracle_accept_RMSE,oracle_nonreject_NRMSE,oracle_nonreject_RMSE,random_accept_RMSE_mean,random_high_error_recall_mean,random_route_wrong_recall_mean,reject_N,review_N,route_wrong_recall,workpoint
1360,9.96794491313058,1360,0.2276292033753084,18.254907050488246,28.01439076169877,1.0,0.0,A6,0.0,1360,0.2276292033753084,28.01439076169877,1.0,0.06897470963889178,11.908202491785147,0.06897470963889178,11.908202491785147,28.014390761698778,0.0,0.0,0,0,0.0,FULL
1360,7.7989112293261895,1233,0.1730880087985176,15.327276525596243,21.14549170838918,0.9066176470588235,0.08177044261065267,A6,0.3333333333333333,1319,0.18391336356494767,22.304727673356187,0.9698529411764706,0.06193504762152766,10.79380206581838,0.06467536789393957,11.061381449089469,28.033465762447417,0.09277551020408163,0.09262962962962962,41,86,0.6666666666666666,HC95
1360,7.5850821728138325,1207,0.16774670099993397,15.272466651739341,20.591361587266068,0.8875,0.09977494373593399,A6,0.3673469387755102,1305,0.184686182078423,22.381417077647612,0.9595588235294118,0.06174780065137419,10.776184325971451,0.0644187367398459,11.034335091062418,27.96479631305221,0.11285034013605441,0.11344444444444443,55,98,0.7407407407407407,HC90
1360,7.780387366812892,1360,0.1351779744935626,17.187807478001044,17.447331502152842,1.0,0.0,B5,0.0,1360,0.1351779744935626,17.447331502152842,1.0,0.06897470963889178,11.908202491785147,0.06897470963889178,11.908202491785147,17.447331502152842,0.0,0.0,0,0,0.0,FULL
1360,7.240722557018353,1309,0.11969162792794705,16.400581852704374,15.907541160456383,0.9625,0.03271375464684015,B5,0.14814814814814814,1342,0.12131394546004366,16.098280045954745,0.986764705882353,0.0681579573302284,11.803039974112716,0.06848507009067695,11.866668959295525,17.443921935328206,0.03752592592592593,0.0404,18,33,0.4666666666666667,HC95
1360,6.79262120735815,1200,0.11509019243026039,14.933332460202545,15.359944857033394,0.8823529411764706,0.11152416356877323,B5,0.31851851851851853,1342,0.12131394546004366,16.098280045954745,0.986764705882353,0.06457345614993773,10.994238067335647,0.06848507009067695,11.866668959295525,17.430985087309296,0.11877777777777777,0.11526666666666667,18,142,0.6666666666666666,HC90
1360,7.40992333796649,1360,0.10586085127692352,16.938313523383197,14.656358078761983,1.0,0.0,B2,0.0,1360,0.10586085127692352,14.656358078761983,1.0,0.06897470963889178,11.908202491785147,0.06897470963889178,11.908202491785147,14.656358078761976,0.0,0.0,0,0,0.0,FULL
1360,6.754522459769541,1301,0.08569440586491393,15.353718601292961,12.672900925638173,0.9566176470588236,0.03851851851851852,B2,0.17424242424242425,1336,0.08580011871887219,12.86135586130454,0.9823529411764705,0.06682496566984121,11.5406148933004,0.0675211133223342,11.777779874058188,14.657470724091832,0.042598484848484844,0.0402,24,35,0.7,HC95
1360,6.32195973387944,1217,0.07469327339878908,14.840804023969833,11.58655987913309,0.8948529411764706,0.1,B2,0.3106060606060606,1336,0.08580011871887219,12.86135586130454,0.9823529411764705,0.06423070793110554,11.201861712068284,0.0675211133223342,11.777779874058188,14.653379162116996,0.10514393939393937,0.10890000000000002,24,119,0.8,HC90
