Bias,MAE,N,NRMSE,P90AE,R2,RMSE,classifier_id,coverage,mode,scope,source_prediction_key,uses_test_truth_at_runtime
-31.05912098463844,40.21159210205078,1360,0.33716170181917676,122.01187210083013,0.04074274910972964,64.99887470116009,A6,1.0,R0,S_ALL,baseline_final_ppm,0
-32.28616790456693,39.43061341545408,1333,0.3212259083785985,119.77627258300775,0.06037823460212455,64.0317198036733,A6,0.9801470588235294,R0,S_CC,baseline_final_ppm,0
29.520639914053458,78.76879911069517,27,0.794775711648158,185.79391479492188,-2.022109135544886,101.91128093569648,A6,0.019852941176470587,R0,S_CW,baseline_final_ppm,0
2.0932447713964124,25.64790256163653,340,0.3130615622414678,45.45490036010742,0.03774413551532829,35.21942575216513,A6,0.25,R0,gas_0,baseline_final_ppm,0
-92.1103549564586,92.2872794936685,340,0.4996894319318183,196.02620220184326,-1.4514971877735525,112.43012218465913,A6,0.25,R0,gas_1,baseline_final_ppm,0
-22.180205934187946,24.447554610757265,340,0.25137168870248244,43.60409584045411,0.3796114186215567,28.279314979029277,A6,0.25,R0,gas_2,baseline_final_ppm,0
-12.039167819303625,18.463631742140826,340,0.20934960395440066,27.90378112792969,0.5696960253642404,47.10366088974015,A6,0.25,R0,gas_3,baseline_final_ppm,0
2.442971249092556,11.64205921218096,1360,0.22767991597589768,26.120980988745846,0.809551699703566,28.961886227327213,A6,1.0,R1,S_ALL,target_ridge_rich_only_ppm,0
-0.2703396628535036,8.492671917966815,1333,0.07753845982672634,24.51683820619625,0.9529504942996844,14.328349454102462,A6,0.9801470588235294,R1,S_CC,target_ridge_rich_only_ppm,0
136.40013590183693,167.128476367272,27,1.5212762238518787,229.0282674044833,-8.344698650056024,179.20488284823844,A6,0.019852941176470587,R1,S_CW,target_ridge_rich_only_ppm,0
4.056029915082934,8.065618809249289,340,0.22483567301473603,12.136924852717785,0.503680306829196,25.294013214157808,A6,0.25,R1,gas_0,target_ridge_rich_only_ppm,0
