gas,target,grouping_key,group_N,window_N,bootstrap_repeats,seed,delta_definition,delta_rmse_m84_minus_m83,bootstrap_rmse_mean,bootstrap_rmse_median,bootstrap_rmse_ci95_low,bootstrap_rmse_ci95_high,bootstrap_rmse_p_delta_lt_0,delta_mae_m84_minus_m83,bootstrap_mae_mean,bootstrap_mae_median,bootstrap_mae_ci95_low,bootstrap_mae_ci95_high,bootstrap_mae_p_delta_lt_0,delta_nrmse_range_m84_minus_m83,bootstrap_nrmse_range_mean,bootstrap_nrmse_range_median,bootstrap_nrmse_range_ci95_low,bootstrap_nrmse_range_ci95_high,bootstrap_nrmse_range_p_delta_lt_0,ci95_low,ci95_high,p_delta_lt_0
ethanol,C5,filename,20,340,5000,42,metric_M84_minus_metric_M83,1.359894282646387,2.038866134874188,1.3533193384751865,-0.09047122882949658,8.611450544578753,0.3522,0.32688021555275526,0.3263372757531347,0.32243817972419464,-0.05915301679334629,1.0644323563462192,0.3526,0.012087949179079016,0.018123254532215007,0.012029505230890553,-0.0008041887007066414,0.07654622706292225,0.3522,-0.09047122882949658,8.611450544578753,0.3522
carbon_monoxide,C5,filename,20,340,5000,42,metric_M84_minus_metric_M83,-5.202975018854623,-5.236620492137916,-5.206608979465672,-6.955354846797205,-3.68226849011036,1.0,-4.69176024592171,-4.683270477301892,-4.6825781355915295,-6.522353972543015,-2.8316446226885774,1.0,-0.02312433341713166,-0.023273868853946295,-0.02314048435318078,-0.030912688207987586,-0.016365637733823823,1.0,-6.955354846797205,-3.68226849011036,1.0
ethylene,C5,filename,20,340,5000,42,metric_M84_minus_metric_M83,0.0013812735388825104,0.0019887432155109306,0.0020488389061128487,-0.011687818273958683,0.015503028449284317,0.3702,0.017994185965799048,0.018503483866511943,0.0178197402399336,-0.02531807659325622,0.06644738468312539,0.2142,1.2277987012199176e-05,1.767771747120452e-05,1.8211901387649165e-05,-0.0001038917179907034,0.00013780469732699278,0.3702,-0.011687818273958683,0.015503028449284317,0.3702
methane,C5,filename,20,340,5000,42,metric_M84_minus_metric_M83,7.163165396158085,6.408809280415988,6.926330052054817,0.8621921275418877,12.319218387524927,0.0008,1.9120922581076378,1.9044272030960623,1.8039770492640743,0.1985898149992021,4.662932657095041,0.0058,0.03183629064959148,0.028483596801848837,0.030783689120243617,0.003831965011297277,0.05475208172233302,0.0008,0.8621921275418877,12.319218387524927,0.0008
