experiment_id,target,variant,input_dimension,seed,evaluation_scope,class_id,gas,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_ALL,0,Ethanol,170,6.7987351209218705,4.883951734008952,0.9641423133133913,0.06043320107486108
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_CC,0,Ethanol,170,6.7987351209218705,4.883951734008952,0.9641423133133913,0.06043320107486108
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_ALL,1,CO,170,32.335568926168825,13.56997894596082,0.7972190995822517,0.14371363967186143
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_CC,1,CO,166,15.414165494286314,9.49865524993196,0.9539676557300802,0.06850740219682806
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_ALL,2,Ethylene,170,22.533564121879134,6.6910136826529705,0.6061001603608525,0.20029834775003674
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_CC,2,Ethylene,167,6.301770992368323,3.966900155994042,0.9688724740875387,0.056015742154385095
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_ALL,3,Methane,170,8.851871645778356,5.169137707392518,0.9848037562892926,0.03934165175901491
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_CC,3,Methane,170,8.851871645778356,5.169137707392518,0.9848037562892926,0.03934165175901491
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_ALL,0,Ethanol,80,33.0390387413844,22.552129483919845,0.1532000341684755,0.29368034436786133
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_CC,0,Ethanol,79,30.74393970874399,21.413548844475795,0.25270882386271387,0.27327946407772435
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_ALL,1,CO,80,20.736360355760954,17.26636873773123,0.9166067120865019,0.09216160158115978
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_CC,1,CO,80,20.736360355760954,17.26636873773123,0.9166067120865019,0.09216160158115978
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_ALL,2,Ethylene,80,13.823348226384013,5.076989888837668,0.8517643976239523,0.12287420645674679
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_CC,2,Ethylene,78,4.20705526928815,3.1238357834232486,0.9861303545992284,0.03739604683811689
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_ALL,3,Methane,80,10.919045074415719,6.081961222988837,0.9768774699952247,0.048529089219625426
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_CC,3,Methane,80,10.919045074415719,6.081961222988837,0.9768774699952247,0.048529089219625426
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_ALL,0,Ethanol,340,17.03135378441805,6.368665360708321,0.7749783181730823,0.15138981141704935
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_CC,0,Ethanol,326,8.562729899954979,4.54155917850396,0.9417033618725422,0.07611315466626647
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_ALL,1,CO,340,15.962721684792758,11.766207754652015,0.9505825971226854,0.07094542971019004
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_CC,1,CO,340,15.962721684792758,11.766207754652015,0.9505825971226854,0.07094542971019004
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_ALL,2,Ethylene,340,17.617819836637636,5.991065265637223,0.7592144866550515,0.15660284299233454
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_CC,2,Ethylene,334,6.873402534622835,4.236504942558366,0.9638198721206535,0.06109691141886966
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_ALL,3,Methane,340,13.440780390750357,6.672521681977643,0.9649639607248719,0.05973680173666825
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_CC,3,Methane,339,13.305609786188956,6.581585167765187,0.9656154927312719,0.05913604349417314
