experiment_id,target,variant,input_dimension,seed,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,3,Methane,225.0,17,15.275827729822572,8.668428680544324,nan,0.06789256768810031
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,3,Methane,250.0,17,10.470403553015952,4.609589256880378,nan,0.046535126902293125
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,12.5,8,19.43755102830913,10.105257592387103,nan,0.17277823136274784
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,25.0,8,17.320263119744485,15.818582610574644,nan,0.15395789439772875
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,37.5,8,30.882057207186364,23.05204817172718,nan,0.2745071751749899
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,50.0,8,29.299753178160433,24.10452211734699,nan,0.2604422504725372
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,62.5,8,26.986034027380605,19.604205745858586,nan,0.23987585802116093
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,75.0,8,19.807567553930912,18.274771685953077,nan,0.17606726714605256
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,87.5,8,29.506502236789803,20.761780722059775,nan,0.26228001988257604
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,100.0,8,37.05207918222403,28.39466993943372,nan,0.32935181495310245
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,112.5,8,34.07197684607607,24.767477588084315,nan,0.302862016409565
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,0,Ethanol,125.0,8,62.456531237950884,40.63797866577309,nan,0.5551691665595634
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,25.0,8,15.09732630118255,10.759255517536301,nan,0.06709922800525576
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,50.0,8,19.21031554200937,18.254672628413683,nan,0.0853791801867083
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,75.0,8,18.30034394688442,16.917914284967175,nan,0.08133486198615299
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,100.0,8,20.973348128452233,19.67870260755973,nan,0.09321488057089881
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,125.0,8,22.112825094758783,20.01559937770326,nan,0.09827922264337237
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,150.0,8,13.553532513047035,12.63186956679196,nan,0.06023792228020904
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,175.0,8,24.423956393477756,23.02082062547398,nan,0.10855091730434559
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,200.0,8,12.712974410850984,10.151978072851058,nan,0.05650210849267104
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,225.0,8,11.41215931492403,8.686527820753923,nan,0.050720708066329015
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,1,CO,250.0,8,36.975058908891555,32.54634687526122,nan,0.16433359515062912
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,2,Ethylene,12.5,8,0.0,0.0,nan,0.0
