experiment_id,target,variant,input_dimension,seed,evaluation_scope,N,RMSE,MAE,R2,NRMSE
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_ALL,680,20.48126559011701,7.578520517503814,0.9047561388166162,0.12842602510240134
XTR-R84-GAPS-C3,C3,R84_FED_H1,84,42,S_CC,673,9.996381882169791,5.866678012745854,0.977191924639647,0.057006525562892645
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_ALL,320,21.400264153064036,12.744362333369397,0.8960171580575123,0.1674776467076216
XTR-R84-GAPS-C4,C4,R84_FED_H1,84,42,S_CC,317,19.455385982572913,11.997463554189926,0.9147913928744279,0.14728712334418426
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_ALL,1360,16.092837293535016,7.6996150157438,0.9411984660647583,0.11836919459118267
XTR-R84-GAPS-C5,C5,R84_FED_H1,84,42,S_CC,1339,11.796538964862096,6.816436856953597,0.9684422307845357,0.0671191406817032
