mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
A4_no_r3ak16_ppm_feature,test,C5-CO,A4_no_r3ak16_ppm_feature_ppm,340,26.849515813550635,17.758432076874016,0.11933118139355837,-5.504022128853786,36.41128393309119
A4_no_r3ak16_ppm_feature,test,C5-CO_low_25_100,A4_no_r3ak16_ppm_feature_ppm,136,19.63361075360573,13.187424415369504,0.08726049223824768,-3.2080985338780628,26.27758951330722
A4_no_r3ak16_ppm_feature,test,C5-CO_mid_125_175,A4_no_r3ak16_ppm_feature_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A4_no_r3ak16_ppm_feature,test,C5-CO_high_200_250,A4_no_r3ak16_ppm_feature_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A4_no_r3ak16_ppm_feature,test,C5-nonCO,A4_no_r3ak16_ppm_feature_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A4_no_r3ak16_ppm_feature,test,nonCO_ALL,A4_no_r3ak16_ppm_feature_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A5_no_risk_feature,test,ALL,A5_no_risk_feature_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
A5_no_risk_feature,test,C3,A5_no_risk_feature_ppm,2680,13.935954190366488,5.966502025127395,0.10227651137679823,0.1104541744213265,12.889371172619672
A5_no_risk_feature,test,C3-CO,A5_no_risk_feature_ppm,670,16.152022803297587,9.213196311973272,0.07178676801465594,-1.8414828849388287,19.17915320133957
A5_no_risk_feature,test,C3-CO_low_25_100,A5_no_risk_feature_ppm,268,9.600600953202305,6.204518350598524,0.04266933756978802,0.41952255380051395,14.2273235181939
A5_no_risk_feature,test,C3-CO_mid_125_175,A5_no_risk_feature_ppm,201,18.60424928016379,10.699247242035378,0.0826855523562835,-0.4471241365627035,19.383691474831693
