gas_id,gas,alpha,pooled_validation_RMSE,federated_validation_RMSE,validation_RMSE_abs_difference,validation_N
0,Ethanol,0.0,6.087277141936492,6.08727714192754,8.951950292157562e-12,160
0,Ethanol,0.01,6.159961930387698,6.159961931576578,1.1888801054737996e-09,160
0,Ethanol,0.1,6.329307340119969,6.329307340098518,2.1450397014177724e-11,160
0,Ethanol,1.0,6.462613763377781,6.46261376336926,8.520295580183301e-12,160
0,Ethanol,10.0,6.703766732645062,6.7037667326453665,3.0464519795714295e-13,160
0,Ethanol,100.0,7.355523422405079,7.3555234224051524,7.37188088351104e-14,160
0,Ethanol,1000.0,8.789019205513673,8.789019205513632,4.085620730620576e-14,160
1,CO,0.0,13.759032421267259,13.759032421268643,1.3837819778927951e-12,160
1,CO,0.01,13.758625557941482,13.75862555763714,3.043414409376055e-10,160
1,CO,0.1,13.771916996131296,13.771916996154822,2.3526069981016917e-11,160
1,CO,1.0,14.025883732418478,14.025883732446127,2.76489942052649e-11,160
1,CO,10.0,14.664127658634479,14.664127658632262,2.2168933355715126e-12,160
1,CO,100.0,16.392673798462354,16.392673798462464,1.1013412404281553e-13,160
1,CO,1000.0,20.42955146437082,20.429551464370807,1.4210854715202004e-14,160
2,Ethylene,0.0,4.81641566884479,4.816415669276776,4.31986002524809e-10,160
2,Ethylene,0.01,4.847933367494341,4.847933368637095,1.142754335603513e-09,160
2,Ethylene,0.1,4.903579017732887,4.903579017672538,6.034905908336441e-11,160
2,Ethylene,1.0,4.907532761817959,4.907532761823123,5.163869332136528e-12,160
2,Ethylene,10.0,5.172029601586747,5.172029601587163,4.1655567883935873e-13,160
2,Ethylene,100.0,5.813894820404525,5.8138948204046015,7.638334409421077e-14,160
2,Ethylene,1000.0,6.794898624664714,6.794898624664698,1.5987211554602254e-14,160
3,Methane,0.0,12.798529512551982,12.798529513911053,1.3590710778998982e-09,160
3,Methane,0.01,12.936700612535404,12.936700610063662,2.4717419222497483e-09,160
3,Methane,0.1,13.095916641239292,13.095916641141102,9.818990065468824e-11,160
3,Methane,1.0,13.436107347720046,13.436107347740121,2.007460864206223e-11,160
3,Methane,10.0,13.5596544216581,13.559654421652406,5.695000027117203e-12,160
3,Methane,100.0,13.95344503864863,13.953445038648118,5.115907697472721e-13,160
3,Methane,1000.0,16.002289089470803,16.0022890894706,2.0250467969162855e-13,160
