gas_id,gas,mean_max_abs_difference,std_max_abs_difference
0,Ethanol,5.329070518200751e-15,1.5765166949677223e-14
1,CO,1.9539925233402755e-14,8.881784197001252e-15
2,Ethylene,8.881784197001252e-15,5.329070518200751e-15
3,Methane,5.329070518200751e-15,1.1546319456101628e-14
