calibration_budget,historical_S_CC_mean_std,groupaware_S_CC_mean_std,protocol_delta_ppm,historical_S_ALL,groupaware_S_ALL,historical_CO_RMSE,groupaware_CO_RMSE,historical_CO_high_RMSE,groupaware_CO_high_RMSE,historical_Methane_RMSE,groupaware_Methane_RMSE
320,11.3416 ± 0.0000,10.8724 ± 0.4391,-0.4692237765940295,25.6490 ± 0.0000,25.2525 ± 0.4934,22.664999760706348,20.924003654567457,35.02121278429173,31.766754001159974,13.331720109604023,13.25123398047935
160,17.8621 ± 1.5586,23.9156 ± 5.2550,6.0535768567439305,26.5952 ± 3.0540,33.5489 ± 4.4420,30.92909914033183,32.31681316670982,43.72526965366237,45.55642691999699,20.185613999678218,36.305880557034186
80,28.4545 ± 3.3698,30.4799 ± 4.3262,2.0253821235043965,36.4234 ± 2.2778,37.5764 ± 3.1809,37.48911835654774,38.90936948750349,50.571659107843395,52.11138124325383,39.9533580894933,45.93921824998093
40,43.2442 ± 10.9745,36.4992 ± 2.7156,-6.744910880028321,47.8506 ± 9.2844,41.1598 ± 1.8896,41.821669027858334,43.30375755279808,54.96226755823113,62.41051865076146,70.84233562948168,54.19846277055964
