round,c1_fit_seconds,c2_fit_seconds,fit_round_wall_seconds,server_da_seconds,server_aggregate_non_da_seconds,da_steps,fit_failures,eval_failures
1,32.538470972,58.642031101,241.819891812,167.380959031,0.078188794,100,0,0
2,41.373150313,73.281631316,237.93363355,164.226445615,0.07231766,100,0,0
3,41.555661268,73.099683404,237.9046107,164.389054392,0.074323851,100,0,0
4,41.638182522,75.33926978,241.205066975,165.3946164,0.074128842,100,0,0
5,41.798018671,72.444132173,237.968111354,165.084415026,0.072221368,100,0,0
6,41.708360187,72.884515402,238.395715159,165.161706571,0.0721625,100,0,0
7,41.522383652,72.604364048,237.493554677,164.595106966,0.073648831,100,0,0
8,41.830283629,73.157867062,238.789902232,165.329721266,0.072675893,100,0,0
9,41.913844885,74.244085082,240.016888405,165.300193725,0.074374362,100,0,0
10,42.138917375,72.122054838,236.306601607,163.866735679,0.074731556,100,0,0
11,41.883743848,72.495538652,238.953481512,166.136317025,0.085594029,100,0,0
12,41.681618469,73.395437347,236.69277132,162.995060792,0.069639068,100,0,0
13,41.56353339,73.368001474,236.563743476,162.835557062,0.072221359,100,0,0
14,41.478615882,72.604175853,235.924367316,162.999114315,0.079518834,100,0,0
15,41.990970149,73.017119211,235.823737869,162.466872024,0.081041782,100,0,0
16,41.573654635,75.354837123,237.906758922,162.14940324,0.069274496,100,0,0
17,41.527797443,74.834814091,237.885440406,162.760004434,0.076034523,100,0,0
18,41.978591699,74.469990513,240.374899319,165.453047577,0.07683586,100,0,0
19,41.939123807,74.736655212,237.572051695,162.475828083,0.083982659,100,0,0
20,41.487666336,74.1140951,236.620771043,162.193733855,0.071179927,100,0,0
21,41.74164143,72.488183904,235.71757306,162.907410845,0.074451027,100,0,0
22,41.743047466,74.281527377,237.791812383,163.165987051,0.096040713,100,0,0
23,41.959349881,75.736651626,238.40415767,162.34977846,0.070686982,100,0,0
24,41.7504122,73.31349557,236.212177029,162.550868622,0.077504354,100,0,0
25,41.384304176,78.794236045,242.600362557,163.525655256,0.075236149,100,0,0
