method,budget_pct,source_N,source_accuracy,source_macro_f1,fedavg_source_accuracy,fedavg_source_macro_f1,source_accuracy_retention_delta,source_macro_f1_retention_delta,checkpoint_sha256
A0T,20,1360,0.9992647058823529,0.9992647042921805,0.9992647058823529,0.9992647042921805,0.0,0.0,b46d1f5fe9df53b425d207df965af2656ca4290e1fe0cb6f723cdd8f0e007fa5
A0T,15,1360,0.9955882352941177,0.9955878917908834,0.9992647058823529,0.9992647042921805,-0.003676470588235281,-0.003676812501297144,9e88509483762d3b7b5b3c335ea4c82f4aca30ed2d95ef7ab9164341ac6d6989
A0T,10,1360,0.9970588235294118,0.9970619945275534,0.9992647058823529,0.9992647042921805,-0.0022058823529411686,-0.0022027097646271088,92f3bc70de10bf95b1f5dbc7fd7ff70af4b99993f7c53c030e80af5e76e86604
A0T,5,1360,0.9985294117647059,0.9985293990432443,0.9992647058823529,0.9992647042921805,-0.0007352941176470562,-0.0007353052489361689,9769eb88a2692f84c2f2409135b37facd58be2e77002f7229c70ff0adadcf219
A4,20,1360,0.9963235294117647,0.9963298906990736,0.9992647058823529,0.9992647042921805,-0.002941176470588225,-0.0029348135931068775,3965ec8618a2d496804bbc141f49e00b451fce05e9edbefde721f0dd4f912b93
A4,15,1360,0.9985294117647059,0.9985293990432443,0.9992647058823529,0.9992647042921805,-0.0007352941176470562,-0.0007353052489361689,29bbd6eee55f76c78f7ce802e5f508e6475e52a63ddeff8af36b6404b3210ece
A4,10,1360,0.9992647058823529,0.9992647042921805,0.9992647058823529,0.9992647042921805,0.0,0.0,6b1606d4a911013302f527329d6c6af9bd34b6c2ca3ea84677378faf3321c10d
A4,5,1360,0.9992647058823529,0.9992647042921805,0.9992647058823529,0.9992647042921805,0.0,0.0,0d644a4e071e599da2fb269e527823928da940439c268723e387a6aaf2749075
