step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status
25,0.0027664753142744303,9.002457773021888e-06,0.11198669672012329,0.1086224913597107,4.501228886510944e-06,0.055993348360061646,0.05431124567985535,0.11307556927204132,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
26,0.0036771101877093315,1.1478695341793355e-05,0.1630573272705078,0.19851364195346832,5.739347670896677e-06,0.0815286636352539,0.09925682097673416,0.1844683289527893,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
27,0.00255905045196414,4.368858299130807e-06,0.054402828216552734,0.12315759062767029,2.1844291495654033e-06,0.027201414108276367,0.061578795313835144,0.09134144335985184,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
28,0.0030880789272487164,4.1438565858697984e-06,0.0507693886756897,0.12445704638957977,2.0719282929348992e-06,0.02538469433784485,0.062228523194789886,0.09070336818695068,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
29,0.002696177689358592,8.574715138820466e-06,0.10596895217895508,0.21259361505508423,4.287357569410233e-06,0.05298447608947754,0.10629680752754211,0.1619817465543747,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
30,0.2215542048215866,7.5076350185554475e-06,0.08184170722961426,0.1660327911376953,3.7538175092777237e-06,0.04092085361480713,0.08301639556884766,0.34549522399902344,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
31,0.004146764986217022,1.0692245268728584e-05,0.10580021142959595,0.2317287176847458,5.346122634364292e-06,0.052900105714797974,0.1158643588423729,0.17291657626628876,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
32,0.0033295941539108753,1.0587622455204837e-05,0.15691900253295898,0.28688034415245056,5.2938112276024185e-06,0.07845950126647949,0.14344017207622528,0.22523456811904907,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
33,0.0035283388569951057,5.856512871105224e-06,0.09059417247772217,0.24397586286067963,2.928256435552612e-06,0.045297086238861084,0.12198793143033981,0.17081628739833832,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
34,0.003005376784130931,9.714652151160408e-06,0.09876447916030884,0.2659873962402344,4.857326075580204e-06,0.04938223958015442,0.1329936981201172,0.18538618087768555,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
35,0.002677265554666519,4.5362012315308675e-06,0.053862690925598145,0.11697588860988617,2.2681006157654338e-06,0.026931345462799072,0.058487944304943085,0.08809882402420044,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
36,0.0038799636531621218,1.0599556844681501e-05,0.1093597412109375,0.32315337657928467,5.299778422340751e-06,0.05467987060546875,0.16157668828964233,0.22014182806015015,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
37,0.0038519655354321003,1.10724813566776e-05,0.11603248119354248,0.3220710754394531,5.5362406783388e-06,0.05801624059677124,0.16103553771972656,0.22290927171707153,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
38,0.0029157674871385098,7.4574722930265125e-06,0.1620451807975769,0.32837194204330444,3.7287361465132562e-06,0.08102259039878845,0.16418597102165222,0.24812805652618408,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
39,0.003290124237537384,7.554931016784394e-06,0.09065401554107666,0.26265907287597656,3.777465508392197e-06,0.04532700777053833,0.13132953643798828,0.17995044589042664,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
