method,target_label_access,federated_rounds,local_epochs,total_uda_steps,adaptation_schedule,accuracy,macro_f1,nll,ece,source_mean_macro_f1,total_uda_seconds,seed,calculation_status
I0_source_only,none,25,1,0,none,0.325,0.23521019723987577,4.878474190655877,0.6633810794528793,0.9926400490182324,0.0,42,recomputed_posthoc
I1_posthoc_uda100,none_x_only,25,1,100,posthoc_after_round25,0.6073529411764705,0.5921324526575015,2.3375478365842035,0.317370374939021,0.9926573652883078,8.889057600001252,42,recomputed_posthoc
I2_posthoc_uda2500,none_x_only,25,1,2500,posthoc_after_round25,0.4808823529411765,0.4900891932508477,3.190716376024134,0.4659659618402229,0.990445191971834,847.8891150999989,42,recomputed_posthoc
I3_interleaved_uda_25x100,none_x_only,25,1,2500,100_after_each_round,0.5191176470588236,0.4927165251381896,3.0768306507783776,0.4041923580581651,0.9933885801949969,702.3894452173263,42,recomputed_posthoc
S1_target_ce100,C5_calibration_labels,25,1,100,posthoc_after_round25,0.9764705882352941,0.9765302102809498,0.10456264620537267,0.007608578814303149,0.6565160123467704,3.409542599998531,42,recomputed_posthoc
