round,checkpoint_role,source_mean_macro_f1,target_macro_f1,generalization_gap
1,pure_source_reference,0.8528829031030013,0.5719747938892251,0.2809081092137762
1,interleaved_pre_uda,0.8528829031030013,0.5719747938892251,0.2809081092137762
1,interleaved_post_uda,0.9345797344218065,0.8015795130539314,0.13300022136787515
2,pure_source_reference,0.9222401981564019,0.5894593242389625,0.3327808739174394
2,interleaved_pre_uda,0.9831125196214101,0.6987094754850667,0.28440304413634343
2,interleaved_post_uda,0.9853268188277606,0.6392117411194058,0.3461150777083548
3,pure_source_reference,0.9603974001251072,0.5567822507926303,0.4036151493324769
3,interleaved_pre_uda,0.9926511940764073,0.6877841839306377,0.30486701014576967
3,interleaved_post_uda,0.9911911943010397,0.6590084811604716,0.33218271314056813
4,pure_source_reference,0.9779362633084063,0.47646628038886996,0.5014699829195364
4,interleaved_pre_uda,0.9933908767667912,0.6661433953696371,0.3272474813971541
4,interleaved_post_uda,0.9735667480771233,0.5371629626595019,0.43640378541762137
5,pure_source_reference,0.9882095274294268,0.2950602283984941,0.6931492990309327
5,interleaved_pre_uda,0.9955880062946029,0.4938719386652667,0.5017160676293362
5,interleaved_post_uda,0.9889671330882113,0.41080523370858646,0.5781618993796248
6,pure_source_reference,0.988166843481803,0.2715033766595064,0.7166634668222965
6,interleaved_pre_uda,0.9955859771204572,0.4428609117230598,0.5527250653973974
6,interleaved_post_uda,0.9691188556631012,0.6197469107927115,0.3493719448703897
7,pure_source_reference,0.9896993489761352,0.24200149938262747,0.7476978495935077
7,interleaved_pre_uda,0.9948677138958106,0.5531739507583863,0.44169376313742437
7,interleaved_post_uda,0.9896965646062792,0.6179747204990822,0.371721844107197
8,pure_source_reference,0.9933779191730845,0.2808013164697928,0.7125766027032917
8,interleaved_pre_uda,0.9948593657377438,0.6894111394670991,0.3054482262706447
8,interleaved_post_uda,0.9970694035306491,0.6024743840222444,0.3945950195084047
9,pure_source_reference,0.9948483802947892,0.2839925291471533,0.7108558511476359
9,interleaved_pre_uda,0.9963191339209697,0.6087811740561395,0.3875379598648302
9,interleaved_post_uda,0.9919326777127275,0.42707582232706964,0.5648568553856579
10,pure_source_reference,0.9904378098655383,0.2759640225332437,0.7144737873322946
10,interleaved_pre_uda,0.9941282515083805,0.4581691277952899,0.5359591237130905
10,interleaved_post_uda,0.9933886624414028,0.6179590743647723,0.3754295880766305
11,pure_source_reference,0.9926327166493414,0.21637848493224604,0.7762542317170953
11,interleaved_pre_uda,0.9948615282746178,0.5895647762561194,0.40529675201849846
11,interleaved_post_uda,0.9926683438282291,0.5457567855632987,0.44691155826493045
12,pure_source_reference,0.9941173671721419,0.25187515355109036,0.7422422136210516
12,interleaved_pre_uda,0.9948523241063398,0.6153824886579826,0.3794698354483572
12,interleaved_post_uda,0.9948614711383119,0.6272979424748827,0.36756352866342923
13,pure_source_reference,0.9941173671721419,0.23218145392686176,0.7619359132452802
13,interleaved_pre_uda,0.995590284117028,0.6583139675666521,0.33727631655037593
13,interleaved_post_uda,0.9926694901442744,0.4926667150647297,0.5000027750795447
14,pure_source_reference,0.9904189412333161,0.22464216490443292,0.7657767763288832
14,interleaved_pre_uda,0.9955988842701107,0.5920883133268217,0.403510570943289
14,interleaved_post_uda,0.9904619753945063,0.5027109358500426,0.48775103954446375
15,pure_source_reference,0.9896989903560437,0.28357446395845215,0.7061245263975915
15,interleaved_pre_uda,0.9933987994058074,0.4315432502046132,0.5618555492011943
15,interleaved_post_uda,0.9933866208786186,0.5186696670002331,0.47471695387838553
16,pure_source_reference,0.9823237309790189,0.29787362724150446,0.6844501037375145
16,interleaved_pre_uda,0.9911931253128092,0.5360844533976544,0.4551086719151548
16,interleaved_post_uda,0.9904450015771948,0.5310736959500444,0.45937130562715045
17,pure_source_reference,0.9933843311165635,0.3032863344455208,0.6900979966710428
17,interleaved_pre_uda,0.9911941059554579,0.4667828194700273,0.5244112864854306
17,interleaved_post_uda,0.991938377968709,0.47848671759028283,0.5134516603784262
18,pure_source_reference,0.9926571416120034,0.30595846624879064,0.6866986753632127
