round,checkpoint_role,accuracy,macro_f1,nll,ece,num_examples,selection_role
1,interleaved_pre_uda,0.6139705882352942,0.5719747938892251,1.0974078234504252,0.1810381324633079,1360,posthoc_diagnostic_only
1,interleaved_post_uda,0.8029411764705883,0.8015795130539314,0.7172238167594461,0.22543830409207766,1360,posthoc_diagnostic_only
2,interleaved_pre_uda,0.7014705882352941,0.6987094754850667,0.858108620783862,0.13743363064439856,1360,posthoc_diagnostic_only
2,interleaved_post_uda,0.65,0.6392117411194058,0.8983510774724623,0.171417748183012,1360,posthoc_diagnostic_only
3,interleaved_pre_uda,0.6801470588235294,0.6877841839306377,0.857304201406591,0.11944471111192419,1360,posthoc_diagnostic_only
3,interleaved_post_uda,0.6698529411764705,0.6590084811604716,0.8793105167501113,0.10354694735039682,1360,posthoc_diagnostic_only
4,interleaved_pre_uda,0.6691176470588235,0.6661433953696371,0.9499544375083026,0.16584862744545237,1360,posthoc_diagnostic_only
4,interleaved_post_uda,0.5455882352941176,0.5371629626595019,1.4547686969532687,0.2959976729443845,1360,posthoc_diagnostic_only
5,interleaved_pre_uda,0.4985294117647059,0.4938719386652667,1.7749145886477302,0.38177217852105116,1360,posthoc_diagnostic_only
5,interleaved_post_uda,0.4404411764705882,0.41080523370858646,2.1974570358500762,0.45518129141453434,1360,posthoc_diagnostic_only
6,interleaved_pre_uda,0.45955882352941174,0.4428609117230598,2.2821888783398796,0.46506088941412815,1360,posthoc_diagnostic_only
6,interleaved_post_uda,0.6433823529411765,0.6197469107927115,1.3809724863837747,0.2631604775567265,1360,posthoc_diagnostic_only
7,interleaved_pre_uda,0.5433823529411764,0.5531739507583863,2.058585621328915,0.3743005146875101,1360,posthoc_diagnostic_only
7,interleaved_post_uda,0.6154411764705883,0.6179747204990822,1.6918103666866526,0.2992141620639493,1360,posthoc_diagnostic_only
8,interleaved_pre_uda,0.6860294117647059,0.6894111394670991,1.5088469463236192,0.2533231421866838,1360,posthoc_diagnostic_only
8,interleaved_post_uda,0.5941176470588235,0.6024743840222444,1.9237736225128175,0.3332785727784915,1360,posthoc_diagnostic_only
9,interleaved_pre_uda,0.6066176470588235,0.6087811740561395,2.001294974719777,0.3356489573988844,1360,posthoc_diagnostic_only
9,interleaved_post_uda,0.4294117647058823,0.42707582232706964,2.9444965530844294,0.5085715661592343,1360,posthoc_diagnostic_only
10,interleaved_pre_uda,0.4632352941176471,0.4581691277952899,3.102886836669024,0.4854866692029378,1360,posthoc_diagnostic_only
10,interleaved_post_uda,0.600735294117647,0.6179590743647723,1.6328528025571039,0.3227504316717386,1360,posthoc_diagnostic_only
11,interleaved_pre_uda,0.5941176470588235,0.5895647762561194,2.2367223739624023,0.36009629732545684,1360,posthoc_diagnostic_only
11,interleaved_post_uda,0.5566176470588236,0.5457567855632987,2.0581866516786462,0.3518812552094459,1360,posthoc_diagnostic_only
12,interleaved_pre_uda,0.6301470588235294,0.6153824886579826,2.00639967918396,0.3130654897759943,1360,posthoc_diagnostic_only
12,interleaved_post_uda,0.6176470588235294,0.6272979424748827,2.6431434042313517,0.36562087985084335,1360,posthoc_diagnostic_only
13,interleaved_pre_uda,0.6544117647058824,0.6583139675666521,2.3996303586398855,0.32670734754818326,1360,posthoc_diagnostic_only
13,interleaved_post_uda,0.48161764705882354,0.4926667150647297,3.0197472796720617,0.4644975818693638,1360,posthoc_diagnostic_only
14,interleaved_pre_uda,0.5823529411764706,0.5920883133268217,2.4740603194517248,0.37234557735569335,1360,posthoc_diagnostic_only
14,interleaved_post_uda,0.5029411764705882,0.5027109358500426,3.7911763079026164,0.4828746099025011,1360,posthoc_diagnostic_only
15,interleaved_pre_uda,0.43970588235294117,0.4315432502046132,4.348265126172234,0.540810508806916,1360,posthoc_diagnostic_only
15,interleaved_post_uda,0.5220588235294118,0.5186696670002331,2.8909711893867045,0.40846835948965127,1360,posthoc_diagnostic_only
16,interleaved_pre_uda,0.538235294117647,0.5360844533976544,3.2397875168744257,0.41618684035013703,1360,posthoc_diagnostic_only
16,interleaved_post_uda,0.5279411764705882,0.5310736959500444,3.0715010923497816,0.43645001312389103,1360,posthoc_diagnostic_only
17,interleaved_pre_uda,0.46691176470588236,0.4667828194700273,3.9717528174905214,0.5104530916932751,1360,posthoc_diagnostic_only
17,interleaved_post_uda,0.48970588235294116,0.47848671759028283,3.205103167365579,0.4717181885505423,1360,posthoc_diagnostic_only
18,interleaved_pre_uda,0.4948529411764706,0.49006531101760586,3.098463406282313,0.4626188745174338,1360,posthoc_diagnostic_only
