step,accuracy,macro_f1,nll,ece,selection_role,formal_endpoint
0,0.325,0.23521019723987577,4.878474190655877,0.6633810794528793,posthoc_diagnostic_only,False
100,0.6073529411764705,0.5921324526575015,2.3375478365842035,0.317370374939021,posthoc_diagnostic_only,False
250,0.6323529411764706,0.6314152845455716,1.6639995448729572,0.2737734211937469,posthoc_diagnostic_only,False
500,0.7823529411764706,0.7851839821643513,1.188139740859761,0.1766743874725173,posthoc_diagnostic_only,False
1000,0.5470588235294118,0.5529850743520246,3.187825828440049,0.4349657646435148,posthoc_diagnostic_only,False
1500,0.4338235294117647,0.4262357852660664,3.5482991835650277,0.5211609612054685,posthoc_diagnostic_only,False
2000,0.49779411764705883,0.48055002829822935,2.987376199049108,0.38481836323352425,posthoc_diagnostic_only,False
2500,0.4808823529411765,0.4900891932508477,3.190716376024134,0.4659659618402229,posthoc_diagnostic_only,True
