round,checkpoint_role,C1_accuracy,C1_macro_f1,C2_accuracy,C2_macro_f1,source_mean_macro_f1
1,pure_source_reference,0.85,0.847276983276543,0.8632352941176471,0.8584888229294596,0.8528829031030013
1,interleaved_pre_uda,0.85,0.847276983276543,0.8632352941176471,0.8584888229294596,0.8528829031030013
1,interleaved_post_uda,0.9191176470588235,0.9196426100721348,0.95,0.9495168587714782,0.9345797344218065
2,pure_source_reference,0.9044117647058824,0.9039354944529899,0.9397058823529412,0.9405449018598139,0.9222401981564019
2,interleaved_pre_uda,0.9779411764705882,0.977958071910646,0.9882352941176471,0.9882669673321743,0.9831125196214101
2,interleaved_post_uda,0.975,0.975056979644476,0.9955882352941177,0.9955966580110451,0.9853268188277606
3,pure_source_reference,0.9514705882352941,0.9513291881125766,0.9691176470588235,0.9694656121376377,0.9603974001251072
3,interleaved_pre_uda,0.9897058823529412,0.9897057301417695,0.9955882352941177,0.9955966580110451,0.9926511940764073
3,interleaved_post_uda,0.9852941176470589,0.9853193031598604,0.9970588235294118,0.9970630854422191,0.9911911943010397
4,pure_source_reference,0.9691176470588235,0.9691171011023952,0.986764705882353,0.9867554255144175,0.9779362633084063
4,interleaved_pre_uda,0.9897058823529412,0.9897186680913632,0.9970588235294118,0.9970630854422191,0.9933908767667912
4,interleaved_post_uda,0.961764705882353,0.9618165342558431,0.9852941176470589,0.9853169618984035,0.9735667480771233
5,pure_source_reference,0.9794117647058823,0.9793602567723649,0.9970588235294118,0.9970587980864887,0.9882095274294268
5,interleaved_pre_uda,0.9955882352941177,0.9955793545781606,0.9955882352941177,0.9955966580110451,0.9955880062946029
5,interleaved_post_uda,0.9897058823529412,0.9896883771675389,0.9882352941176471,0.9882458890088835,0.9889671330882113
6,pure_source_reference,0.9779411764705882,0.9778042879203616,0.9985294117647059,0.9985293990432443,0.988166843481803
6,interleaved_pre_uda,0.9941176470588236,0.9941088687986951,0.9970588235294118,0.9970630854422191,0.9955859771204572
6,interleaved_post_uda,0.9573529411764706,0.9573704902196135,0.9808823529411764,0.980867221106589,0.9691188556631012
7,pure_source_reference,0.9911764705882353,0.9911677818299873,0.9882352941176471,0.988230916122283,0.9896993489761352
7,interleaved_pre_uda,0.9911764705882353,0.9912060287483768,0.9985294117647059,0.9985293990432443,0.9948677138958106
7,interleaved_post_uda,0.9823529411764705,0.9823343184046083,0.9970588235294118,0.9970588108079502,0.9896965646062792
8,pure_source_reference,0.9882352941176471,0.9882264393029245,0.9985294117647059,0.9985293990432443,0.9933779191730845
8,interleaved_pre_uda,0.9911764705882353,0.9911893324322432,0.9985294117647059,0.9985293990432443,0.9948593657377438
8,interleaved_post_uda,0.9941176470588236,0.9941388070612982,1.0,1.0,0.9970694035306491
9,pure_source_reference,0.9941176470588236,0.9941088687986951,0.9955882352941177,0.9955878917908834,0.9948483802947892
9,interleaved_pre_uda,0.9941176470588236,0.9941088687986951,0.9985294117647059,0.9985293990432443,0.9963191339209697
9,interleaved_post_uda,0.9911764705882353,0.9911889893727732,0.9926470588235294,0.9926763660526817,0.9919326777127275
10,pure_source_reference,0.9926470588235294,0.9926468425534004,0.9882352941176471,0.9882287771776762,0.9904378098655383
10,interleaved_pre_uda,0.9911764705882353,0.9911934175745418,0.9970588235294118,0.9970630854422191,0.9941282515083805
10,interleaved_post_uda,0.9882352941176471,0.9882479258395611,0.9985294117647059,0.9985293990432443,0.9933886624414028
11,pure_source_reference,0.986764705882353,0.9867360342554385,0.9985294117647059,0.9985293990432443,0.9926327166493414
11,interleaved_pre_uda,0.9926470588235294,0.9926599711070165,0.9970588235294118,0.9970630854422191,0.9948615282746178
11,interleaved_post_uda,0.9897058823529412,0.9897400296454132,0.9955882352941177,0.9955966580110451,0.9926683438282291
12,pure_source_reference,0.9926470588235294,0.9926468425534004,0.9955882352941177,0.9955878917908834,0.9941173671721419
12,interleaved_pre_uda,0.9911764705882353,0.9911752491694352,0.9985294117647059,0.9985293990432443,0.9948523241063398
12,interleaved_post_uda,0.9926470588235294,0.9926598568344047,0.9970588235294118,0.9970630854422191,0.9948614711383119
13,pure_source_reference,0.9926470588235294,0.9926468425534004,0.9955882352941177,0.9955878917908834,0.9941173671721419
13,interleaved_pre_uda,0.9926470588235294,0.9926511691908116,0.9985294117647059,0.9985293990432443,0.995590284117028
13,interleaved_post_uda,0.9882352941176471,0.9882802585334709,0.9970588235294118,0.9970587217550779,0.9926694901442744
14,pure_source_reference,0.9823529411764705,0.9823084834233878,0.9985294117647059,0.9985293990432443,0.9904189412333161
14,interleaved_pre_uda,0.9926470588235294,0.9926683694969771,0.9985294117647059,0.9985293990432443,0.9955988842701107
14,interleaved_post_uda,0.986764705882353,0.9867977799045744,0.9941176470588236,0.9941261708844382,0.9904619753945063
15,pure_source_reference,0.9926470588235294,0.9926425551976699,0.986764705882353,0.9867554255144175,0.9896989903560437
15,interleaved_pre_uda,0.9897058823529412,0.9897387880036647,0.9970588235294118,0.9970588108079502,0.9933987994058074
15,interleaved_post_uda,0.9911764705882353,0.9911850830177139,0.9955882352941177,0.9955881587395234,0.9933866208786186
16,pure_source_reference,0.9897058823529412,0.9897101185996419,0.975,0.974937343358396,0.9823237309790189
16,interleaved_pre_uda,0.9941176470588236,0.9941260954444989,0.9882352941176471,0.9882601551811194,0.9911931253128092
16,interleaved_post_uda,0.9897058823529412,0.9896971302105689,0.9911764705882353,0.9911928729438209,0.9904450015771948
17,pure_source_reference,0.9911764705882353,0.9911807704422438,0.9955882352941177,0.9955878917908834,0.9933843311165635
17,interleaved_pre_uda,0.9926470588235294,0.9926599206675374,0.9897058823529412,0.9897282912433785,0.9911941059554579
17,interleaved_post_uda,0.9897058823529412,0.9897726731648033,0.9941176470588236,0.9941040827726146,0.991938377968709
18,pure_source_reference,0.986764705882353,0.9867848841807625,0.9985294117647059,0.9985293990432443,0.9926571416120034
18,interleaved_pre_uda,0.9941176470588236,0.9941261324942288,0.9985294117647059,0.9985293990432443,0.9963277657687366
18,interleaved_post_uda,0.986764705882353,0.9868096702981768,0.9926470588235294,0.9926638551388629,0.9897367627185198
19,pure_source_reference,0.9882352941176471,0.9882217053185032,0.9970588235294118,0.9970587980864887,0.9926402517024959
19,interleaved_pre_uda,0.9941176470588236,0.9941261708844382,0.9970588235294118,0.9970630854422191,0.9955946281633287
19,interleaved_post_uda,0.9882352941176471,0.9882560222244942,0.9955882352941177,0.9955881207983224,0.9919220715114083
20,pure_source_reference,0.9897058823529412,0.9896969895970175,1.0,1.0,0.9948484947985088
20,interleaved_pre_uda,0.9941176470588236,0.9941261708844382,0.9985294117647059,0.9985293990432443,0.9963277849638412
20,interleaved_post_uda,0.986764705882353,0.9867766610379324,0.9588235294117647,0.958629108237611,0.9727028846377717
21,pure_source_reference,0.9852941176470589,0.9852531773062418,1.0,1.0,0.9926265886531209
