experiment_id,target,N,classification_accuracy_reported,classification_macro_f1_reported,route_correct_N,misroute_N,misroute_rate,routed_RMSE,oracle_route_RMSE,route_penalty_RMSE,routed_NRMSE,oracle_route_NRMSE,route_penalty_NRMSE,interpretation
XTR-GAPS-H1-C3,C3,680,0.9897058823529412,0.9896925893091547,673,7,0.010294117647058823,67.73547313888393,66.44263912093636,1.2928340179475697,0.38566673255293005,0.38097153593784355,0.004695196615086494,oracle route is a post-hoc diagnostic using true class; not a deployable result
XTR-GAPS-H1-C4,C4,320,0.990625,0.9906242720708129,317,3,0.009375,74.70884942731142,73.74206525687082,0.9667841704406044,0.41454087914176335,0.4006298654243337,0.013911013717429643,oracle route is a post-hoc diagnostic using true class; not a deployable result
XTR-GAPS-H1-C5,C5,1360,0.9845588235294118,0.9845427071190632,1339,21,0.015441176470588236,69.46409764888253,69.06077891304227,0.40331873584025857,0.47975683337037056,0.47536311359896977,0.004393719771400795,oracle route is a post-hoc diagnostic using true class; not a deployable result
