variant,prediction_key,input_dimension,evaluation_scope,N,RMSE,MAE,R2,NRMSE,comparison_role,calculation_status
R84_FED_H1,pred_84d_h1_ppm,84,S_ALL,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,separate_existing_C5_target_personalized_reference_not_cross_target_control,reported
R84_FED_H1,pred_84d_h1_ppm,84,S_CC,1351,11.461941642656669,6.8531820557210645,0.970224086963843,0.06805896788186593,separate_existing_C5_target_personalized_reference_not_cross_target_control,reported
