metric,n,mean,sample_std_ddof1,min,max,median
accuracy,5,0.9891176470588235,0.005982601649061194,0.9801470588235294,0.9948529411764706,0.9919117647058824
macro_f1,5,0.9891344644033736,0.005960319881564127,0.9802202037628274,0.994851695671712,0.9919239448596794
nll,5,0.10023704803768194,0.037833443140437885,0.05408835013272508,0.15029377045915776,0.08836418002401585
ece,5,0.01060657672584056,0.005773839365711773,0.005050430665997959,0.019368297935408764,0.007930643199121208
error_count,5,14.8,8.136338242723197,7.0,27.0,11.0
