client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE,alpha_audit,model,fit_N,calib_ratio,best_hidden,selected_mode,coaware_selected_mode,hybrid_selected_mode,passes_constraints,baseline_ALL_RMSE,ridge_ALL_RMSE,delta_ALL_RMSE,baseline_CO_RMSE,ridge_CO_RMSE,delta_CO_RMSE,baseline_nonCO_RMSE,ridge_nonCO_RMSE,delta_nonCO_RMSE,coaware_score,max_nonco_delta,mlp_ALL_RMSE,mlp_CO_RMSE,mlp_nonCO_RMSE
C5,2,Ethylene,60,20,0.01,3.2781339660997326,"[{""alpha"": 0.0, ""val_RMSE"": 4.906885979080945}, {""alpha"": 0.01, ""val_RMSE"": 3.2781339660997326}, {""alpha"": 0.1, ""val_RMSE"": 3.911959192838396}, {""alpha"": 1.0, ""val_RMSE"": 3.8851183554861994}, {""alpha"": 10.0, ""val_RMSE"": 4.073611026383058}, {""alpha"": 100.0, ""val_RMSE"": 5.463721215701597}, {""alpha"": 1000.0, ""val_RMSE"": 15.00564076341606}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,3,Methane,60,20,0.1,9.156322533009535,"[{""alpha"": 0.0, ""val_RMSE"": 11.661581554846565}, {""alpha"": 0.01, ""val_RMSE"": 9.74511284856248}, {""alpha"": 0.1, ""val_RMSE"": 9.156322533009535}, {""alpha"": 1.0, ""val_RMSE"": 10.198164095228643}, {""alpha"": 10.0, ""val_RMSE"": 12.402895967795747}, {""alpha"": 100.0, ""val_RMSE"": 20.82113395836202}, {""alpha"": 1000.0, ""val_RMSE"": 46.51730633804962}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C3,0,Ethanol,130,40,0.01,5.145226921631802,,mlp,170,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,1,CO,130,40,0.01,11.157271494048642,,mlp,170,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,2,Ethylene,130,40,0.01,4.065439738468838,,mlp,170,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,3,Methane,130,40,0.01,6.127780741094592,,mlp,170,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,0,Ethanol,60,20,0.01,5.599467319261707,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,1,CO,60,20,0.01,26.87369469007617,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,2,Ethylene,60,20,0.001,11.043973633488056,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,3,Methane,60,20,0.01,17.427914219377477,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,0,Ethanol,60,20,0.01,10.620806647313836,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,1,CO,60,20,0.001,18.306366941698382,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,2,Ethylene,60,20,0.01,5.999084342321119,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,3,Methane,60,20,0.001,12.514021073777018,,mlp,80,20.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,0,Ethanol,60,20,1.0,5.659547818082395,,mlp,80,20.0,"(16,)",,,,,,,,,,,,,,,,,,
C5,1,CO,60,20,0.001,16.180098751011446,,mlp,80,20.0,"(64,)",,,,,,,,,,,,,,,,,,
C5,2,Ethylene,60,20,1.0,3.378997595203525,,mlp,80,20.0,"(64,)",,,,,,,,,,,,,,,,,,
C5,3,Methane,60,20,0.01,10.45473613210088,,mlp,80,20.0,"(16,)",,,,,,,,,,,,,,,,,,
C3,0,Ethanol,130,40,10.0,3.9338392326728884,,source_aug_target_ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C3,1,CO,130,40,1.0,8.064250350638078,,source_aug_target_ridge,170,20.0,,,,,,,,,,,,,,,,,,,
