mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,calib_ratio,calibration_subset_fraction_of_20pct
B0_baseline_final,test,ALL,baseline_final_ppm,5400,27.336272006610333,12.998893677167533,0.1578336952944895,-0.7640208506911423,27.83922873437405,20.0,1.0
B0_baseline_final,test,C3,baseline_final_ppm,2680,19.68588107638486,11.102676585287554,0.110765038856896,0.13622063720544952,24.297240525484078,20.0,1.0
B0_baseline_final,test,C3-CO,baseline_final_ppm,670,33.7008253219887,20.85602887873121,0.14978144587550535,-0.34794183484445423,42.26480424404144,20.0,1.0
B0_baseline_final,test,C3-CO_low_25_100,baseline_final_ppm,268,25.070639508976413,16.733673210959505,0.11142506448433961,2.533289732944929,29.861310459673412,20.0,1.0
B0_baseline_final,test,C3-CO_mid_125_175,baseline_final_ppm,201,34.77081194869034,23.57227482800534,0.15453694199417928,3.6975319627023753,55.79385459423065,20.0,1.0
B0_baseline_final,test,C3-CO_high_200_250,baseline_final_ppm,201,41.698442503136704,23.636257153152677,0.18532641112505197,-8.235057722777128,42.900943756103516,20.0,1.0
B0_baseline_final,test,C3-nonCO,baseline_final_ppm,2010,11.752872381267414,7.85155915413967,0.09423568645214646,0.2976081278887508,17.98611104488374,20.0,1.0
B0_baseline_final,test,C4,baseline_final_ppm,1360,30.610873222536796,13.058205977534218,0.15201070538296763,-1.480255008825813,27.1535112708807,20.0,1.0
B0_baseline_final,test,C4-CO,baseline_final_ppm,340,56.588431890041136,27.309382034684806,0.25150414173351615,-7.428811718709767,51.3457596302033,20.0,1.0
B0_baseline_final,test,C4-CO_low_25_100,baseline_final_ppm,136,20.01854826396091,10.412459154544836,0.08897132561760404,3.0393287577145895,25.28303600847721,20.0,1.0
B0_baseline_final,test,C4-CO_mid_125_175,baseline_final_ppm,102,32.479044217650525,25.132904559666034,0.14435130763400233,4.851609753335223,53.143137693405166,20.0,1.0
B0_baseline_final,test,C4-CO_high_200_250,baseline_final_ppm,102,95.31504288319486,52.01509001655687,0.42362241281419943,-33.666753825987236,233.80422707181424,20.0,1.0
B0_baseline_final,test,C4-nonCO,baseline_final_ppm,1020,13.48890425511596,8.307813958484022,0.09861488206654702,0.5025972278021714,19.119710214436054,20.0,1.0
B0_baseline_final,test,C5,baseline_final_ppm,1360,35.58669915603665,16.676244469623164,0.22722019855381914,-1.8217919775291675,39.52300228178502,20.0,1.0
B0_baseline_final,test,C5-CO,baseline_final_ppm,340,46.11548174353218,32.873059051001775,0.2049576966379208,-7.474195729283726,67.9931676387787,20.0,1.0
B0_baseline_final,test,C5-CO_low_25_100,baseline_final_ppm,136,32.718059118772295,23.547905029537265,0.14541359608343243,5.848283240544227,48.99037666618824,20.0,1.0
B0_baseline_final,test,C5-CO_mid_125_175,baseline_final_ppm,102,45.398435985373574,35.89817296768374,0.20177082660166035,7.410517719336877,75.51520705223085,20.0,1.0
B0_baseline_final,test,C5-CO_high_200_250,baseline_final_ppm,102,60.003991602304794,42.28148382960581,0.26668440712135466,-40.12221447100826,85.81828527152541,20.0,1.0
B0_baseline_final,test,C5-nonCO,baseline_final_ppm,1020,31.299706978665625,11.277306275830293,0.2341711746509563,0.06234260638901854,18.580510430037982,20.0,1.0
B0_baseline_final,test,nonCO_ALL,baseline_final_ppm,4050,19.00289748774791,8.829248528104033,0.14376059276542724,0.2899829550447908,18.60622443258762,20.0,1.0
H2_3_lowcal,test,ALL,h2_3_lowcal_plus_c4_ppm,5400,18.862703932737865,7.313827653184856,0.13472805627550546,0.09359343936024637,15.473890716691065,20.0,1.0
H2_3_lowcal,test,C3,h2_3_lowcal_plus_c4_ppm,2680,13.931208897528979,5.971610507693037,0.10225659547588987,0.10575977503497747,12.9432563317122,20.0,1.0
H2_3_lowcal,test,C3-CO,h2_3_lowcal_plus_c4_ppm,670,16.13321005985081,9.197076694743657,0.07170315582155914,-1.8323261636100392,19.190106811317566,20.0,1.0
H2_3_lowcal,test,C3-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,268,9.570960417782967,6.164214061097436,0.042537601856813184,0.39395954374196146,14.231940851233595,20.0,1.0
H2_3_lowcal,test,C3-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,201,18.610187873847348,10.705727507788158,0.08271194610598823,-0.42333152331983975,19.64802567084351,20.0,1.0
H2_3_lowcal,test,C3-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,201,19.978106825372247,11.732242726560788,0.08879158589054333,-6.209701747036239,28.946078454249886,20.0,1.0
H2_3_lowcal,test,C3-nonCO,h2_3_lowcal_plus_c4_ppm,2010,13.115307323265323,4.8964551120094955,0.11058074383078387,0.7517884212499831,10.140472291151141,20.0,1.0
H2_3_lowcal,test,C4,h2_3_lowcal_plus_c4_ppm,1360,14.745254508548513,6.244635283056863,0.07584061786804785,-0.16810559138847897,14.158768706436703,20.0,1.0
H2_3_lowcal,test,C4-CO,h2_3_lowcal_plus_c4_ppm,340,26.293349347070777,11.807676046068567,0.1168593304314257,-0.12306234017409197,24.0041823642337,20.0,1.0
H2_3_lowcal,test,C4-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,136,9.471436104245198,6.521707114243922,0.0420952715744231,4.5807869129177945,16.31722323687847,20.0,1.0
H2_3_lowcal,test,C4-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,102,17.15390875107739,13.458085798681292,0.07623959444923285,2.228341199765836,31.872315082210548,20.0,1.0
H2_3_lowcal,test,C4-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,102,43.48103048090054,17.205224869222036,0.19324902435955799,-8.746264884236533,25.787865970402546,20.0,1.0
H2_3_lowcal,test,C4-nonCO,h2_3_lowcal_plus_c4_ppm,1020,7.710380496455709,4.390288362052964,0.05583038051559355,-0.18312000845994156,10.183517018031715,20.0,1.0
H2_3_lowcal,test,C5,h2_3_lowcal_plus_c4_ppm,1360,28.51087767922027,11.027977339429082,0.21381217016685575,0.3313176321617075,25.0,20.0,1.0
H2_3_lowcal,test,C5-CO,h2_3_lowcal_plus_c4_ppm,340,30.67597559740918,20.82356291039295,0.13633766932181857,-7.58087818036126,47.542324719580236,20.0,1.0
H2_3_lowcal,test,C5-CO_low_25_100,h2_3_lowcal_plus_c4_ppm,136,22.02774600861899,15.554895382760272,0.09790109337163996,-3.199426956913613,32.53359972308674,20.0,1.0
H2_3_lowcal,test,C5-CO_mid_125_175,h2_3_lowcal_plus_c4_ppm,102,30.611394544115697,21.260815450363104,0.13605064241829198,-1.5942303905973385,52.79234187478042,20.0,1.0
H2_3_lowcal,test,C5-CO_high_200_250,h2_3_lowcal_plus_c4_ppm,102,39.40429749761214,27.411200407266385,0.1751302111004984,-19.409460934722045,58.01966180145262,20.0,1.0
H2_3_lowcal,test,C5-nonCO,h2_3_lowcal_plus_c4_ppm,1020,27.75166724904409,7.7627821491077915,0.23400471246660567,2.968716236336029,11.171945637561798,20.0,1.0
H2_3_lowcal,test,nonCO_ALL,h2_3_lowcal_plus_c4_ppm,4050,17.155352530326137,5.490865850993347,0.14368279913152762,1.0746673775669322,10.404833752251859,20.0,1.0
H8_plus_C4_forced_lowcal,test,ALL,h8_lowcal_plus_c4_ppm,5400,18.24264230145589,6.6895103606584305,0.13498114847208104,0.3798644807303522,13.388257638035512,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3,h8_lowcal_plus_c4_ppm,2680,13.625934785705287,5.677930717199564,0.10161580209077228,-0.04962441448539187,11.946378245528207,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3-CO,h8_lowcal_plus_c4_ppm,670,14.974381417076254,7.806136282693978,0.06655280629811669,-0.985830977326029,14.815470786430053,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3-CO_low_25_100,h8_lowcal_plus_c4_ppm,268,6.926305386278141,4.778008218179385,0.030783579494569516,1.014409748448872,11.557410107711346,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3-CO_mid_125_175,h8_lowcal_plus_c4_ppm,201,16.91557766853677,9.241321465037972,0.07518034519349676,1.769973268224612,14.794790066227876,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3-CO_high_200_250,h8_lowcal_plus_c4_ppm,201,19.933354454648324,10.408455186369444,0.08859268646510367,-6.408622857243204,18.66812412904673,20.0,1.0
H8_plus_C4_forced_lowcal,test,C3-nonCO,h8_lowcal_plus_c4_ppm,2010,13.145750851043019,4.968528862034759,0.1108659985629038,0.2624444397948206,10.246572020584967,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4,h8_lowcal_plus_c4_ppm,1360,14.325018277583233,5.878347485060848,0.07423266175893609,-0.4812189980372334,12.921458163508369,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4-CO,h8_lowcal_plus_c4_ppm,340,25.347084495302433,10.342524854084502,0.11265370886801081,-1.3755159667691101,20.11024513619787,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4-CO_low_25_100,h8_lowcal_plus_c4_ppm,136,6.6563355710924315,4.702102876217598,0.029583713649299695,1.2141615527180438,11.619378737308942,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4-CO_mid_125_175,h8_lowcal_plus_c4_ppm,102,14.285941439305228,10.741714380995235,0.06349307306357879,0.8264172141986679,27.82913341989478,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4-CO_high_200_250,h8_lowcal_plus_c4_ppm,102,43.34072504684354,17.46389796432964,0.19262544465263795,-7.030352507053092,25.184148089332723,20.0,1.0
H8_plus_C4_forced_lowcal,test,C4-nonCO,h8_lowcal_plus_c4_ppm,1020,7.710380496455709,4.390288362052964,0.05583038051559355,-0.18312000845994156,10.183517018031715,20.0,1.0
H8_plus_C4_forced_lowcal,test,C5,h8_lowcal_plus_c4_ppm,1360,27.391793573556,9.494080180719076,0.21560480204647486,2.0872937235995512,19.56534562824008,20.0,1.0
H8_plus_C4_forced_lowcal,test,C5-CO,h8_lowcal_plus_c4_ppm,340,23.5669825925672,14.360432979786877,0.10474214485585422,-0.8845151103759425,29.81035984564667,20.0,1.0
H8_plus_C4_forced_lowcal,test,C5-CO_low_25_100,h8_lowcal_plus_c4_ppm,136,18.317613327906706,11.748087430094301,0.08141161479069647,-1.9367631694658836,25.63321870584118,20.0,1.0
