scope,gas,N,group_count,bootstrap_unit,bootstrap_repeats,bootstrap_seed,RMSE_83D,RMSE_84D,delta_rmse_ppm,delta_ci025_ppm,delta_ci975_ppm,bootstrap_probability_delta_lt_zero
ALL,ALL,5397,320,raw_file_group,5000,20260809,13.849364564474998,13.31440698136162,-0.5349575831133784,-1.4579021982104212,0.42621513753389745,0.8662
ALL,carbon_monoxide,1347,80,raw_file_group,5000,20260809,23.04663166045069,20.570297476143782,-2.476334184306907,-4.215976021442151,-1.0525897570414724,0.9998
ALL,ethanol,1350,80,raw_file_group,5000,20260809,7.670904216033409,8.12728131601161,0.45637709997820064,-0.12986908338796027,1.151112065632023,0.067
ALL,ethylene,1350,80,raw_file_group,5000,20260809,6.052689798753094,5.74854086292489,-0.3041489358282039,-0.6209127618541302,0.024804791058030982,0.9658
ALL,methane,1350,80,raw_file_group,5000,20260809,11.889013131719315,13.689577603083258,1.800564471363943,-0.15875653799078884,3.6414285564414794,0.056
C3,ALL,2677,160,raw_file_group,5000,20260809,10.508412669520872,9.332731018185996,-1.1756816513348767,-2.7243406743017298,0.23985916610478863,0.945
C3,carbon_monoxide,667,40,raw_file_group,5000,20260809,17.97728867811305,15.089296370682757,-2.887992307430295,-6.349204971848953,0.26445621495040533,0.9632
C3,ethanol,670,40,raw_file_group,5000,20260809,5.3977503162062455,7.055720036478466,1.6579697202722201,0.8679478885985971,2.465995743147301,0.0
C3,ethylene,670,40,raw_file_group,5000,20260809,7.069837690638551,6.571926641168458,-0.4979110494700931,-1.004379874702486,0.06832269288811732,0.9558
C3,methane,670,40,raw_file_group,5000,20260809,6.3528234070258245,5.326227283356915,-1.0265961236689094,-1.5198012352026251,-0.6130551936439349,1.0
C4,ALL,1360,80,raw_file_group,5000,20260809,13.613733482049156,13.807982479383819,0.19424899733466283,-0.2962126390626419,0.6089973192539717,0.1878
C4,carbon_monoxide,340,20,raw_file_group,5000,20260809,23.574387351292955,24.33497855688953,0.760591205596576,0.0049918865636408025,1.6545233628486409,0.0248
C4,ethanol,340,20,raw_file_group,5000,20260809,7.99223888090065,7.237602148903642,-0.7546367319970075,-1.6013271145715096,0.6140917894604115,0.7466
C4,ethylene,340,20,raw_file_group,5000,20260809,3.071819041462521,2.8999228482317982,-0.1718961932307228,-0.5304064152278251,0.15633453396482322,0.83
C4,methane,340,20,raw_file_group,5000,20260809,10.595813500595032,10.47176689236814,-0.12404660822689095,-0.26206566710573004,0.016872757501154318,0.9556
C5,ALL,1360,80,raw_file_group,5000,20260809,18.933023962593946,18.47654027252635,-0.45648369006759637,-2.334025993047562,1.72491908927866,0.6984
C5,carbon_monoxide,340,20,raw_file_group,5000,20260809,30.241028274601085,25.248971128632498,-4.992057145968587,-6.479631269278655,-3.6081262973718884,1.0
C5,ethanol,340,20,raw_file_group,5000,20260809,10.59953062815207,10.572749682049126,-0.026780946102944014,-0.07774299436504181,-0.0024128098264463434,0.9886
C5,ethylene,340,20,raw_file_group,5000,20260809,6.126296439673185,6.139321111612887,0.013024671939701804,-0.05619194985268192,0.07228782315731973,0.3196
C5,methane,340,20,raw_file_group,5000,20260809,19.220724147740057,24.05296903011911,4.8322448823790545,1.001983786696708,8.26087034890582,0.0012
