protocol,target,test_N,accuracy,macro_f1,regression_scope,regression_N,RMSE,NRMSE,MAE,seed
canonical_window_level,C3,2677,0.9985057900635039,0.9985068849278491,S_ALL,2677,9.332731018185996,0.05567242206126857,5.505235803628614,42
canonical_window_level,C3,2677,0.9985057900635039,0.9985068849278491,S_CC,2673,8.847882775708218,0.05332959146434775,5.4291174515296285,42
canonical_window_level,C3,2677,0.9985057900635039,0.9985068849278491,Oracle,2677,9.042063005148002,0.055872301132816146,5.475846587200114,42
strict_grouped_nonoverlap,C3,2515,0.9980119284294234,0.9980078416432528,S_ALL,2515,10.826326966979185,0.06069592309250222,5.811708756198515,42
strict_grouped_nonoverlap,C3,2515,0.9980119284294234,0.9980078416432528,S_CC,2510,8.821720248195964,0.053932500497183324,5.580665601280117,42
strict_grouped_nonoverlap,C3,2515,0.9980119284294234,0.9980078416432528,Oracle,2515,8.84260825817842,0.05397477529534132,5.601149062996427,42
canonical_window_level,C4,1360,0.9977941176470588,0.9977941081200143,S_ALL,1360,13.807982479383819,0.06831368580337005,6.4781853906313085,42
canonical_window_level,C4,1360,0.9977941176470588,0.9977941081200143,S_CC,1357,10.245243970279986,0.05290771317644738,6.095584091539575,42
canonical_window_level,C4,1360,0.9977941176470588,0.9977941081200143,Oracle,1360,10.741668545113194,0.059622910956992216,6.208142129071665,42
strict_grouped_nonoverlap,C4,840,0.9928571428571429,0.992856292397395,S_ALL,840,14.278768473554743,0.10217487186125859,7.135120040489691,42
strict_grouped_nonoverlap,C4,840,0.9928571428571429,0.992856292397395,S_CC,834,13.534580099087476,0.0936135098213697,6.90553734665929,42
strict_grouped_nonoverlap,C4,840,0.9928571428571429,0.992856292397395,Oracle,840,14.224964376792718,0.10158016398827888,7.148872420133559,42
canonical_window_level,C5,1360,0.9941176470588236,0.99412609063164,S_ALL,1360,18.47654027252635,0.09464561738913281,8.673732588501265,42
canonical_window_level,C5,1360,0.9941176470588236,0.99412609063164,S_CC,1352,14.333984910928306,0.0704091367634356,7.87468985071161,42
canonical_window_level,C5,1360,0.9941176470588236,0.99412609063164,Oracle,1360,14.4488286458766,0.07083727022968768,7.939890240591398,42
strict_grouped_nonoverlap,C5,840,0.7476190476190476,0.6936067216855394,S_ALL,840,72.93766545254081,0.34887131063981286,44.24740713547634,42
strict_grouped_nonoverlap,C5,840,0.7476190476190476,0.6936067216855394,S_CC,628,30.041138087172765,0.18024331002836136,18.802445763492155,42
strict_grouped_nonoverlap,C5,840,0.7476190476190476,0.6936067216855394,Oracle,840,72.68308948600756,0.33973644726145086,42.66878118673601,42
