target,calibration_N,test_N,exact_identity_overlap_N,raw_physical_time_overlap_seconds,calibration_unique_physical_seconds,test_unique_physical_seconds,union_unique_physical_seconds,shared_physical_duration_ratio_union,shared_physical_duration_ratio_test,shared_raw_bin_N,union_raw_bin_N,shared_raw_bin_ratio_union,status
C3,678,2677,0,5165.000000000001,6120.0,16630.0,17585.0,0.2937162354279216,0.31058328322309087,25825,87925,0.2937162354279215,RAW_TIME_OVERLAP_PRESENT
C4,320,1360,0,2510.0000000000005,2945.0,8365.0,8800.0,0.2852272727272728,0.3000597728631202,12550,44000,0.2852272727272727,RAW_TIME_OVERLAP_PRESENT
C5,320,1360,0,2550.0000000000005,2950.0000000000005,8400.0,8800.0,0.28977272727272735,0.3035714285714286,12750,44000,0.2897727272727273,RAW_TIME_OVERLAP_PRESENT
