scope,workpoint,population,coverage,review_rate,reject_rate,N,RMSE,NRMSE_range,MAE,P90AE,Bias,R2
C3,HC90,accepted,0.8778483376914457,0.05229734777736272,0.06985431453119163,2350,8.668194295637544,0.0488427546800016,4.980397794645853,11.795055055790868,0.10848351972652019,0.9842183449829244
C3,HC90,accepted+review,0.8778483376914457,0.05229734777736272,0.06985431453119163,2490,8.979123770850812,0.05114151669356387,5.198922462192954,12.025103757756142,0.19028274378591173,0.9825715889621516
C3,HC90,reject,0.8778483376914457,0.05229734777736272,0.06985431453119163,187,13.165124632549965,0.0976915712037959,9.583953558574036,17.1260875043033,0.9063516897644062,0.8478345545678538
C3,HC95,accepted,0.9301456854688084,0.03586103847590587,0.033993276055285765,2490,8.979123770850814,0.05114151669356387,5.198922462192954,12.025103757756142,0.19028274378591165,0.9825715889621516
C3,HC95,accepted+review,0.9301456854688084,0.03586103847590587,0.033993276055285765,2586,9.179166982710147,0.05271353379931025,5.329152996105977,12.261889476814957,0.2458573937949919,0.9813299087849258
C3,HC95,reject,0.9301456854688084,0.03586103847590587,0.033993276055285765,91,12.957016821170587,0.11051240734905979,10.509083498722477,18.657152232935687,0.08246788636280436,0.8578476724651501
C4,HC90,accepted,0.8742647058823529,0.04926470588235294,0.07647058823529412,1189,13.358543966458086,0.06309458731708087,5.820961201481261,14.345618688546566,0.6339165435508834,0.9603496176941789
C4,HC90,accepted+review,0.8742647058823529,0.04926470588235294,0.07647058823529412,1256,13.518430795347248,0.06375762192315039,6.129503091948023,15.419112059624993,0.6184501399986492,0.9592758137120219
C4,HC90,reject,0.8742647058823529,0.04926470588235294,0.07647058823529412,104,16.91797667524995,0.10924170452564545,10.689194690114059,27.11619003745861,-2.4531247291730462,0.9155555596664756
C4,HC95,accepted,0.9235294117647059,0.03161764705882353,0.04485294117647059,1256,13.518430795347246,0.06375762192315039,6.129503091948023,15.419112059624993,0.618450139998649,0.9592758137120219
C4,HC95,accepted+review,0.9235294117647059,0.03161764705882353,0.04485294117647059,1299,13.522192483653829,0.06383076474472892,6.252010506951334,15.709372380908945,0.5626974078495235,0.9588054732389325
C4,HC95,reject,0.9235294117647059,0.03161764705882353,0.04485294117647059,61,18.894170434292455,0.13146033677210903,11.29459807752127,27.11619003745861,-3.4310742424954874,0.9024700010363628
C5,HC90,accepted,0.8066176470588236,0.041176470588235294,0.15220588235294116,1097,16.5075038403843,0.08953335362050428,7.6285272030632045,17.08359196344638,0.4619366955561704,0.9381297252609244
C5,HC90,accepted+review,0.8066176470588236,0.041176470588235294,0.15220588235294116,1153,16.30884957422049,0.0882386262041206,7.587233859788808,16.73501237664604,0.34051311110155585,0.9390822285718656
C5,HC90,reject,0.8066176470588236,0.041176470588235294,0.15220588235294116,207,27.593228767381508,0.12443644437786801,14.72558299529094,33.2362123962707,-2.4539418817406027,0.8278490968101919
C5,HC95,accepted,0.8477941176470588,0.05220588235294118,0.1,1153,16.30884957422049,0.0882386262041206,7.587233859788808,16.73501237664604,0.340513111101556,0.9390822285718656
C5,HC95,accepted+review,0.8477941176470588,0.05220588235294118,0.1,1224,15.995181797558866,0.08642923104770109,7.523954239418362,16.577122680452632,0.24621642410159267,0.9398849291758159
C5,HC95,reject,0.8477941176470588,0.05220588235294118,0.1,136,33.334859198596504,0.1494918763486133,19.021737730247388,43.605373842235224,-3.0641415847100006,0.7932733198505117
ALL,HC90,accepted,0.8589957383731702,0.0487307763572355,0.09227348526959422,4636,12.17928674649648,0.06424263677788576,5.822595346794501,13.393392974932958,0.3268782563987148,0.9678719994744048
ALL,HC90,accepted+review,0.8589957383731702,0.0487307763572355,0.09227348526959422,4899,12.265020707133779,0.06483840358030472,5.9996026647649865,13.971129573970558,0.3354131506359088,0.966804033985837
ALL,HC90,reject,0.8589957383731702,0.0487307763572355,0.09227348526959422,498,21.007961706868784,0.11185769786120243,11.951950287651469,23.750725400121183,-1.1919742477276263,0.8610126521107337
ALL,HC95,accepted,0.9077265147304058,0.038910505836575876,0.05336297943301834,4899,12.265020707133779,0.06483840358030474,5.999602664764987,13.971129573970558,0.3354131506359087,0.966804033985837
ALL,HC95,accepted+review,0.9077265147304058,0.038910505836575876,0.05336297943301834,5109,12.265142938386346,0.06505438053456238,6.089620529557235,14.31136391542961,0.326502261939857,0.9660695908534744
ALL,HC95,reject,0.9077265147304058,0.038910505836575876,0.05336297943301834,288,25.56166197527131,0.13443395975011174,14.695324348702039,30.148302122338464,-2.1476187731033667,0.8332791913849942
