budget_pct,calibration_n,covered_strata,a0t_accuracy,a0t_macro_f1,a0t_nll,a0t_ece,a4_accuracy,a4_macro_f1,a4_nll,a4_ece,a4_minus_a0t_macro_f1,a0t_delta_vs_20pct,a4_delta_vs_20pct,a0t_source_macro_f1,a4_source_macro_f1,seed
20,320,40,0.9941176470588236,0.9941388070612982,0.05018156535506536,0.005821397856754396,0.9941176470588236,0.99412609063164,0.0659403512622192,0.006260940301067694,-1.271643e-05,0.0,0.0,0.9992647042921805,0.9963298906990736,42
15,240,40,0.9941176470588236,0.9941043832628784,0.052628481178434806,0.00526557490229603,0.986764705882353,0.9867784090556211,0.13158010866584077,0.013001809093882067,-0.007325974207,-3.4423798e-05,-0.007347681576,0.9955878917908834,0.9985293990432443,42
10,160,40,0.9889705882352942,0.9889687989405208,0.1081452639408605,0.010690711833098334,0.9779411764705882,0.9780159494299434,0.24771129899137337,0.021686721856103226,-0.010952849511,-0.005170008121,-0.016110141202,0.9970619945275534,0.9992647042921805,42
5,80,40,0.9735294117647059,0.9735385625517444,0.31885761026798265,0.026126799863927536,0.9669117647058824,0.9670306782167555,0.3773685935952978,0.03209301544462936,-0.006507884335,-0.02060024451,-0.027095412415,0.9985293990432443,0.9992647042921805,42
