scope,slice,N,classification_accuracy,S_ALL_RMSE,S_CC_RMSE,oracle_route_RMSE,NRMSE_range,HC90_accepted_coverage,HC95_accepted_coverage,population_deleted
C3,Q0,2655,0.9984934086629002,9.35737552080643,8.869790347014582,9.065056821991025,0.055732979768067036,0.879472693032015,0.9310734463276836,False
C3,Q1,21,1.0,5.619771854027291,5.619771854027291,5.619771854027291,0.047759315593548984,0.6666666666666666,0.8095238095238095,False
C3,Q2,1,1.0,5.48300140240049,5.48300140240049,5.48300140240049,0.048737790243559904,1.0,1.0,False
C3,Q3,0,,,,,,,,False
C4,Q0,1358,0.9977908689248896,13.817661151060937,10.252146502991291,10.748951495553978,0.06835621846564778,0.8748159057437408,0.9234167893961709,False
C4,Q1,2,1.0,3.018224010774292,3.018224010774292,3.018224010774292,0.026828657873549263,0.5,1.0,False
C4,Q2,0,,,,,,,,False
C4,Q3,0,,,,,,,,False
C5,Q0,1357,0.9941046425939573,18.496817864768975,14.349739830336299,14.464618991212035,0.09474810091268969,0.8061901252763449,0.847457627118644,False
C5,Q1,3,1.0,1.5014535585251128,1.5014535585251128,1.5014535585251128,0.013346253853556558,1.0,1.0,False
C5,Q2,0,,,,,,,,False
C5,Q3,0,,,,,,,,False
ALL,Q0,5370,0.9972067039106145,13.342825683259505,10.835854482033271,11.077828324699563,0.07061090926500108,0.8597765363128491,0.9080074487895717,False
ALL,Q1,26,1.0,5.14482933200269,5.14482933200269,5.14482933200269,0.043797575445543996,0.6923076923076923,0.8461538461538461,False
ALL,Q2,1,1.0,5.48300140240049,5.48300140240049,5.48300140240049,0.048737790243559904,1.0,1.0,False
ALL,Q3,0,,,,,,,,False
C5,Methane_225ppm_repeat1,17,0.8823529411764706,70.96926257424022,43.11125435973684,42.08742889982176,0.31541894477440097,0.5294117647058824,0.5294117647058824,False
C5,Methane_225ppm_repeat2,17,1.0,20.85095330458519,20.85095330458519,20.85095330458519,0.0926709035759342,1.0,1.0,False
