scope,gas,S_ALL_N,S_ALL_RMSE,S_ALL_NRMSE,S_ALL_MAE,S_CC_N,S_CC_RMSE,S_CC_NRMSE,S_CC_MAE,oracle_N,oracle_RMSE,oracle_NRMSE,oracle_MAE,routing_gap_ppm,oracle_gap_ppm,misroute_N
ALL,ALL,5397,13.31440698136162,0.07050275399003958,6.548846525464906,5382,10.81481192311519,0.05799696091682899,6.211504875198809,5397,11.056103914080738,0.06089909179925481,6.281298005683986,2.4995950582464292,-0.2412919909655482,15
ALL,carbon_monoxide,1347,20.570297476143782,0.0914235443384168,11.529986771626032,1341,16.251849153075067,0.07223044068033363,10.823216497494151,1347,16.275322978641633,0.07233476879396279,10.845318323400775,4.318448323068715,-0.02347382556656541,6
ALL,ethanol,1350,8.12728131601161,0.07224250058676987,4.511159040320937,1346,6.381306729366779,0.05672272648326025,4.254413213517004,1350,7.069889512005701,0.06284346232893956,4.327761748305365,1.7459745866448309,-0.6885827826389219,4
ALL,ethylene,1350,5.74854086292489,0.051098141003776805,3.600295308935243,1348,5.505162065862562,0.04893477391877833,3.5436737588487257,1350,6.109181252815372,0.05430383335835886,3.6402757236504315,0.243378797062328,-0.6040191869528098,2
ALL,methane,1350,13.689577603083258,0.06084256712481448,6.5650141815244405,1347,11.547873628574836,0.051323882793665954,6.245785822463529,1350,11.707910180969671,0.052035156359865206,6.321978494752071,2.141703974508422,-0.1600365523948355,3
C3,ALL,2677,9.332731018185996,0.05567242206126857,5.505235803628614,2673,8.847882775708218,0.05332959146434775,5.4291174515296285,2677,9.042063005148002,0.055872301132816146,5.475846587200114,0.4848482424777778,-0.19418022943978386,4
C3,carbon_monoxide,667,15.089296370682757,0.06706353942525668,8.976835299207405,665,14.073642056951101,0.062549520253116,8.790361332828166,667,14.056870553832713,0.0624749802392565,8.777961997491362,1.0156543137316554,0.016771503118388154,2
C3,ethanol,670,7.055720036478466,0.06271751143536414,5.515853591902374,670,7.055720036478466,0.06271751143536414,5.515853591902374,670,7.055720036478466,0.06271751143536414,5.515853591902374,0.0,0.0,0
C3,ethylene,670,6.571926641168458,0.05841712569927518,3.9741966257582018,668,6.13950854203752,0.05457340926255574,3.861055837011228,670,7.197693609866954,0.06397949875437293,4.054754177796268,0.4324180991309383,-1.0581850678294344,2
C3,methane,670,5.326227283356915,0.023672121259364066,3.569602172999816,670,5.326227283356915,0.023672121259364066,3.569602172999816,670,5.326227283356915,0.023672121259364066,3.569602172999816,0.0,0.0,0
C4,ALL,1360,13.807982479383819,0.06831368580337005,6.4781853906313085,1357,10.245243970279986,0.05290771317644738,6.095584091539575,1360,10.741668545113194,0.059622910956992216,6.208142129071665,3.5627385091038324,-0.4964245748332079,3
C4,carbon_monoxide,340,24.33497855688953,0.10815546025284234,13.336032088529587,338,16.18426638113148,0.07193007280502879,12.00961807721911,340,16.302309178051505,0.07245470745800668,12.112107627700944,8.150712175758052,-0.11804279692002595,2
C4,ethanol,340,7.237602148903642,0.06433424132358793,3.0780005555378125,339,6.371512333356554,0.056635665185391586,2.899397256175454,340,8.814818978386352,0.07835394647454536,3.2217519701278796,0.8660898155470882,-2.443306645029798,1
C4,ethylene,340,2.8999228482317982,0.02577709198428265,2.1188311648617777,340,2.8999228482317982,0.02577709198428265,2.1188311648617777,340,2.8999228482317982,0.02577709198428265,2.1188311648617777,0.0,0.0,0
C4,methane,340,10.47176689236814,0.046541186188302844,7.379877753596057,340,10.47176689236814,0.046541186188302844,7.379877753596057,340,10.47176689236814,0.046541186188302844,7.379877753596057,0.0,0.0,0
C5,ALL,1360,18.47654027252635,0.09464561738913281,8.673732588501265,1352,14.333984910928306,0.0704091367634356,7.87468985071161,1360,14.4488286458766,0.07083727022968768,7.939890240591398,4.142555361598044,-0.1148437349482947,8
C5,carbon_monoxide,340,25.248971128632498,0.11221764946058888,14.732623902084894,338,19.906667183103842,0.08847407636935042,13.636367238783622,340,19.900130025319633,0.08844502233475393,13.634195693752316,5.342303945528656,0.006537157784208603,2
C5,ethanol,340,10.572749682049126,0.09397999717377001,3.9644782616935834,337,4.778081815112037,0.04247183835655143,3.10956263791044,340,4.760258388177406,0.042313407894910275,3.092531717041686,5.79466786693709,0.01782342693463068,3
C5,ethylene,340,6.139321111612887,0.054571743214336776,4.344953916916407,340,6.139321111612887,0.054571743214336776,4.344953916916407,340,6.139321111612887,0.054571743214336776,4.344953916916407,0.0,0.0,0
C5,methane,340,24.05296903011911,0.10690208457830717,11.65287427331017,337,19.130684131330206,0.08502526280591202,10.422200625299215,340,19.460423898088134,0.08649077288039171,10.687879634655177,4.922284898788906,-0.32973976675792827,3
