experiment_id,method,policy_method,target_id,optimizer,optimizer_lr,optimizer_note,study,seed,accuracy,macro_f1,nll,ece,num_examples,per_class,confusion_matrix,source_macro_f1,source_accuracy,source_target_f1_gap,checkpoint,checkpoint_selection,target_test_access,training_seconds,commissioning_seconds,communication_rounds,model_parameter_bytes,estimated_model_transport_bytes,communication_note
FCL-E2-CORAL-C4,CORAL,coral,C4,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.859375,0.851397015334527,0.8072540225418621,0.12904900593592725,320,"[{""class_id"":0,""precision"":0.9753086419753086,""recall"":0.9875,""f1"":0.9813664596273292,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":0.5125,""f1"":0.6776859504132231,""support"":80},{""class_id"":2,""precision"":0.6724137931034483,""recall"":0.975,""f1"":0.7959183673469388,""support"":80},{""class_id"":3,""precision"":0.9390243902439024,""recall"":0.9625,""f1"":0.9506172839506174,""support"":80}]","[[79,0,1,0],[2,41,34,3],[0,0,78,2],[0,0,3,77]]",0.9970588108079502,0.9970588235294118,0.14566179547342317,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-CORAL-C4\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,23.525948599999538,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-CORAL-C5,CORAL,coral,C5,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.38676470588235295,0.2778679997946103,4.647606098311091,0.6009075988215047,1360,"[{""class_id"":0,""precision"":0.9545454545454546,""recall"":0.061764705882352944,""f1"":0.11602209944751381,""support"":340},{""class_id"":1,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":340},{""class_id"":2,""precision"":0.2670906200317965,""recall"":0.49411764705882355,""f1"":0.34674922600619196,""support"":340},{""class_id"":3,""precision"":0.4821173104434907,""recall"":0.9911764705882353,""f1"":0.6487006737247354,""support"":340}]","[[21,5,314,0],[0,0,146,194],[0,4,168,168],[1,1,1,337]]",0.9963234975377483,0.9963235294117647,0.718455497743138,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-CORAL-C5\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,20.204606100000092,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-MMD-C3,MMD,mmd,C3,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.9779411764705882,0.977868983148739,0.10070770701094586,0.015793344528672357,680,"[{""class_id"":0,""precision"":0.9941520467836257,""recall"":1.0,""f1"":0.9970674486803519,""support"":170},{""class_id"":1,""precision"":0.9382022471910112,""recall"":0.9823529411764705,""f1"":0.9597701149425286,""support"":170},{""class_id"":2,""precision"":0.9937106918238994,""recall"":0.9294117647058824,""f1"":0.9604863221884499,""support"":170},{""class_id"":3,""precision"":0.9883720930232558,""recall"":1.0,""f1"":0.9941520467836257,""support"":170}]","[[170,0,0,0],[1,167,1,1],[0,11,158,1],[0,0,0,170]]",0.9941292136229389,0.9941176470588236,0.016260230474199888,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-MMD-C3\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,18.039104199997382,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-MMD-C4,MMD,mmd,C4,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.959375,0.9590813688092822,0.23127997186171262,0.034879625982297435,320,"[{""class_id"":0,""precision"":0.9634146341463414,""recall"":0.9875,""f1"":0.9753086419753086,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":0.8875,""f1"":0.9403973509933775,""support"":80},{""class_id"":2,""precision"":0.9166666666666666,""recall"":0.9625,""f1"":0.9390243902439025,""support"":80},{""class_id"":3,""precision"":0.963855421686747,""recall"":1.0,""f1"":0.9815950920245399,""support"":80}]","[[79,0,1,0],[3,71,6,0],[0,0,77,3],[0,0,0,80]]",0.9963256745542207,0.9963235294117647,0.03724430574493853,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-MMD-C4\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,17.82655209999939,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-MMD-C5,MMD,mmd,C5,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.5669117647058823,0.5511553762423522,2.263113832234737,0.3543968817683252,1360,"[{""class_id"":0,""precision"":0.576,""recall"":0.4235294117647059,""f1"":0.488135593220339,""support"":340},{""class_id"":1,""precision"":0.6416184971098265,""recall"":0.3264705882352941,""f1"":0.4327485380116959,""support"":340},{""class_id"":2,""precision"":0.3938144329896907,""recall"":0.5617647058823529,""f1"":0.46303030303030307,""support"":340},{""class_id"":3,""precision"":0.7190265486725663,""recall"":0.9558823529411765,""f1"":0.8207070707070707,""support"":340}]","[[144,20,176,0],[60,111,118,51],[46,27,191,76],[0,15,0,325]]",0.9904388560401,0.9904411764705883,0.43928347979774773,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-MMD-C5\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,18.69827929999883,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-DANN-C3,DANN,dann,C3,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.9514705882352941,0.9511017352956345,0.21786669282595647,0.04215293003594607,680,"[{""class_id"":0,""precision"":0.9883720930232558,""recall"":1.0,""f1"":0.9941520467836257,""support"":170},{""class_id"":1,""precision"":0.9602649006622517,""recall"":0.8529411764705882,""f1"":0.9034267912772586,""support"":170},{""class_id"":2,""precision"":0.8756756756756757,""recall"":0.9529411764705882,""f1"":0.9126760563380281,""support"":170},{""class_id"":3,""precision"":0.9883720930232558,""recall"":1.0,""f1"":0.9941520467836257,""support"":170}]","[[170,0,0,0],[1,145,23,1],[1,6,162,1],[0,0,0,170]]",0.9955892879880672,0.9955882352941177,0.044487552692432764,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-DANN-C3\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,18.51455480000004,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-DANN-C4,DANN,dann,C4,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.890625,0.8862892860360578,0.6704318772007895,0.09327006169744478,320,"[{""class_id"":0,""precision"":0.9397590361445783,""recall"":0.975,""f1"":0.9570552147239264,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":0.6375,""f1"":0.7786259541984732,""support"":80},{""class_id"":2,""precision"":0.7524752475247525,""recall"":0.95,""f1"":0.8397790055248618,""support"":80},{""class_id"":3,""precision"":0.9411764705882353,""recall"":1.0,""f1"":0.9696969696969697,""support"":80}]","[[78,0,1,1],[5,51,24,0],[0,0,76,4],[0,0,0,80]]",0.9948540113624813,0.9948529411764706,0.10856472532642347,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-DANN-C4\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,20.29749659999652,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E2-DANN-C5,DANN,dann,C5,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.5183823529411765,0.41658828555087557,3.258021721203933,0.4630181585009254,1360,"[{""class_id"":0,""precision"":0.5851063829787234,""recall"":0.16176470588235295,""f1"":0.2534562211981567,""support"":340},{""class_id"":1,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":340},{""class_id"":2,""precision"":0.38902147971360385,""recall"":0.9588235294117647,""f1"":0.5534804753820034,""support"":340},{""class_id"":3,""precision"":0.782608695652174,""recall"":0.9529411764705882,""f1"":0.8594164456233422,""support"":340}]","[[55,6,279,0],[25,0,232,83],[2,5,326,7],[12,3,1,324]]",0.994117494397323,0.9941176470588236,0.5775292088464474,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-DANN-C5\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,20.991958599995996,0,144692,0,post-hoc server-local adaptation; no federated transport
FCL-E3-GAPS-C3,GAPS,gaps,C3,Adam,0.0005,proposed method protocol,E3,42,0.9897058823529412,0.9896925893091547,0.05204588294796805,0.007588131044035598,680,"[{""class_id"":0,""precision"":0.9826589595375722,""recall"":1.0,""f1"":0.9912536443148687,""support"":170},{""class_id"":1,""precision"":0.9822485207100592,""recall"":0.9764705882352941,""f1"":0.9793510324483775,""support"":170},{""class_id"":2,""precision"":0.9940476190476191,""recall"":0.9823529411764705,""f1"":0.9881656804733727,""support"":170},{""class_id"":3,""precision"":1.0,""recall"":1.0,""f1"":1.0,""support"":170}]","[[170,0,0,0],[3,166,1,0],[0,3,167,0],[0,0,0,170]]",0.995591464962198,0.9955882352941177,0.005898875653043256,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E3-GAPS-C3\remote_server\server_latest_adapted.pth,fixed_endpoint_only,one_time_final_evaluation,4591.315263799996,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E3-GAPS-C4,GAPS,gaps,C4,Adam,0.0005,proposed method protocol,E3,42,0.990625,0.9906242720708129,0.11614038833211368,0.00927752086795987,320,"[{""class_id"":0,""precision"":1.0,""recall"":0.9875,""f1"":0.9937106918238994,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":1.0,""f1"":1.0,""support"":80},{""class_id"":2,""precision"":0.9873417721518988,""recall"":0.975,""f1"":0.9811320754716981,""support"":80},{""class_id"":3,""precision"":0.975609756097561,""recall"":1.0,""f1"":0.9876543209876543,""support"":80}]","[[79,0,1,0],[0,80,0,0],[0,0,78,2],[0,0,0,80]]",0.9933866464625576,0.9933823529411765,0.0027623743917446486,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E3-GAPS-C4\remote_server\server_latest_adapted.pth,fixed_endpoint_only,one_time_final_evaluation,4531.45340079999,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E3-GAPS-C5,GAPS,gaps,C5,Adam,0.0005,proposed method protocol,E3,42,0.9845588235294118,0.9845427071190632,0.09825330371210801,0.01303563868833511,1360,"[{""class_id"":0,""precision"":1.0,""recall"":0.9588235294117647,""f1"":0.9789789789789789,""support"":340},{""class_id"":1,""precision"":0.9770114942528736,""recall"":1.0,""f1"":0.9883720930232558,""support"":340},{""class_id"":2,""precision"":0.9653179190751445,""recall"":0.9823529411764705,""f1"":0.9737609329446064,""support"":340},{""class_id"":3,""precision"":0.9970588235294118,""recall"":0.9970588235294118,""f1"":0.9970588235294118,""support"":340}]","[[326,3,11,0],[0,340,0,0],[0,5,334,1],[0,0,1,339]]",0.9948646775814032,0.9948529411764706,0.010321970462339958,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E3-GAPS-C5\remote_server\server_latest_adapted.pth,fixed_endpoint_only,one_time_final_evaluation,4591.249364999996,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E4-A1,A1,a1,C5,Adam,0.0005,frozen GAPS ablation protocol,E4,42,0.33897058823529413,0.25173982939537454,4.3893219018057925,0.6366556308060142,1360,"[{""class_id"":0,""precision"":0.6,""recall"":0.061764705882352944,""f1"":0.112,""support"":340},{""class_id"":1,""precision"":0.14814814814814814,""recall"":0.011764705882352941,""f1"":0.021798365122615803,""support"":340},{""class_id"":2,""precision"":0.18152866242038215,""recall"":0.3352941176470588,""f1"":0.2355371900826446,""support"":340},{""class_id"":3,""precision"":0.48059701492537316,""recall"":0.9470588235294117,""f1"":0.6376237623762376,""support"":340}]","[[21,5,314,0],[10,4,198,128],[2,4,114,220],[2,14,2,322]]",0.9948507483005334,0.9948529411764706,0.7431109189051589,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E4-A1\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,461.06474659999367,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E4-A2,A2,a2,C5,Adam,0.0005,frozen GAPS ablation protocol,E4,42,0.2852941176470588,0.19421371254558556,4.891799208727942,0.7007709083846742,1360,"[{""class_id"":0,""precision"":0.9047619047619048,""recall"":0.05588235294117647,""f1"":0.10526315789473684,""support"":340},{""class_id"":1,""precision"":0.07692307692307693,""recall"":0.0058823529411764705,""f1"":0.010928961748633878,""support"":340},{""class_id"":2,""precision"":0.07171314741035857,""recall"":0.10588235294117647,""f1"":0.08551068883610452,""support"":340},{""class_id"":3,""precision"":0.4081381011097411,""recall"":0.9735294117647059,""f1"":0.575152041702867,""support"":340}]","[[19,12,309,0],[0,2,157,181],[0,5,36,299],[2,7,0,331]]",0.9955881621449503,0.9955882352941177,0.8013744495993647,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E4-A2\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,531.0691819000058,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E4-A3,A3,a3,C5,Adam,0.0005,frozen GAPS ablation protocol,E4,42,0.4676470588235294,0.33849629189092645,3.3708074982434306,0.5068632708916712,1360,"[{""class_id"":0,""precision"":0.9333333333333333,""recall"":0.041176470588235294,""f1"":0.07887323943661971,""support"":340},{""class_id"":1,""precision"":0.043478260869565216,""recall"":0.0029411764705882353,""f1"":0.005509641873278236,""support"":340},{""class_id"":2,""precision"":0.37037037037037035,""recall"":0.8529411764705882,""f1"":0.5164737310774711,""support"":340},{""class_id"":3,""precision"":0.614100185528757,""recall"":0.9735294117647059,""f1"":0.7531285551763367,""support"":340}]","[[14,8,318,0],[1,1,174,164],[0,6,290,44],[0,8,1,331]]",0.9948495776921542,0.9948529411764706,0.6563532858012278,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E4-A3\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,531.0728099999978,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E4-A4,A4,a4,C5,Adam,0.0005,frozen GAPS ablation protocol,E4,42,0.9933823529411765,0.9933898239049185,0.05438417410666987,0.006405640132455269,1360,"[{""class_id"":0,""precision"":1.0,""recall"":0.9911764705882353,""f1"":0.9955686853766618,""support"":340},{""class_id"":1,""precision"":0.9854651162790697,""recall"":0.9970588235294118,""f1"":0.9912280701754387,""support"":340},{""class_id"":2,""precision"":0.9882352941176471,""recall"":0.9882352941176471,""f1"":0.9882352941176471,""support"":340},{""class_id"":3,""precision"":1.0,""recall"":0.9970588235294118,""f1"":0.9985272459499264,""support"":340}]","[[337,1,2,0],[0,339,1,0],[0,4,336,0],[0,0,1,339]]",0.9948561501581551,0.9948529411764706,0.0014663262532366161,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E4-A4\remote_server\server_latest_adapted.pth,fixed_endpoint_only,one_time_final_evaluation,4641.427080299996,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E4-A5,A5,a5,C5,Adam,0.0005,frozen GAPS ablation protocol,E4,42,0.9860294117647059,0.9860482481007119,0.08557667623129257,0.0104248638666359,1360,"[{""class_id"":0,""precision"":0.9910714285714286,""recall"":0.9794117647058823,""f1"":0.9852071005917161,""support"":340},{""class_id"":1,""precision"":0.9853801169590644,""recall"":0.9911764705882353,""f1"":0.9882697947214076,""support"":340},{""class_id"":2,""precision"":0.9710982658959537,""recall"":0.9882352941176471,""f1"":0.9795918367346939,""support"":340},{""class_id"":3,""precision"":0.9970238095238095,""recall"":0.9852941176470589,""f1"":0.9911242603550295,""support"":340}]","[[333,2,5,0],[0,337,3,0],[0,3,336,1],[3,0,2,335]]",0.994123944919135,0.9941176470588236,0.008075696818423128,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E4-A5\remote_server\server_latest_adapted.pth,fixed_endpoint_only,one_time_final_evaluation,4642.2830619000015,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
