variant,scope,loss_name,configured_weight,input_available,active_steps,mean_raw_loss,mean_weighted_loss,inactive_reason
A3,server_da,source_ce,0.0,False,0,0.0,0.0,server_da_disabled
A3,server_da,stage_mmd,0.0,False,0,0.0,0.0,server_da_disabled
A3,server_da,target_ce,0.0,False,0,0.0,0.0,server_da_disabled
A4,client,regression,0.05,True,0,0.0,0.0,regression_disabled
A4,client,regression,0.19999999999999996,True,0,0.0,0.0,regression_disabled
A4,client,regression,0.35000000000000003,True,0,0.0,0.0,regression_disabled
A4,client,regression,0.49999999999999994,True,0,0.0,0.0,regression_disabled
A4,client,regression,0.65,True,0,0.0,0.0,regression_disabled
A4,client,regression,0.8,True,0,0.0,0.0,regression_disabled
A4,client,replay_distillation,2.0,False,0,0.0,0.0,module_disabled
A4,client,semantic_alignment,0.05,False,0,0.0,0.0,module_disabled
A4,client,semantic_alignment,0.05,True,0,0.0,0.0,module_disabled
A4,client,source_ce,1.0,True,3700,0.1255643755617289,0.1255643755617289,
A4,server_da,adversarial,0.5,True,2500,0.024981562176905572,0.012490781088452786,
A4,server_da,align_reg_legacy,0.05,False,0,0.0,0.0,align_reg_legacy_disabled
A4,server_da,class_mmd,0.5,True,2500,0.046602170172333715,0.023301085086166858,
A4,server_da,consistency,2.0,True,2500,618.4525681762696,1236.905136352539,
A4,server_da,coral,0.5,True,2500,6.605265510415848e-07,3.302632755207924e-07,
A4,server_da,device_residual,0.1,False,0,0.0,0.0,client_residual_unavailable
A4,server_da,global_mmd,0.5,True,2500,0.03346172182559967,0.016730860912799836,
A4,server_da,proto_anchor,0.3,True,2500,1287.9989795898437,386.3996938769531,
A4,server_da,proto_loss,0.05,True,2500,2202.208996512994,110.11044982564971,
A4,server_da,proto_mmd,0.2,True,2500,0.0,0.0,
A4,server_da,source_ce,1.0,True,2500,0.08125623027607799,0.08125623027607799,
A4,server_da,stage_mmd,0.2,True,2500,0.09826167253702879,0.019652334507405757,
A4,server_da,target_ce,0.0,True,0,0.0,0.0,configured_weight_zero
A5,client,regression,0.05,True,0,0.0,0.0,regression_disabled
A5,client,regression,0.19999999999999996,True,0,0.0,0.0,regression_disabled
A5,client,regression,0.35000000000000003,True,0,0.0,0.0,regression_disabled
A5,client,regression,0.49999999999999994,True,0,0.0,0.0,regression_disabled
A5,client,regression,0.65,True,0,0.0,0.0,regression_disabled
A5,client,regression,0.8,True,0,0.0,0.0,regression_disabled
A5,client,replay_distillation,2.0,False,0,0.0,0.0,previous_model_unavailable
A5,client,replay_distillation,2.0,True,3552,0.00290293153509763,0.00580586307019526,
A5,client,semantic_alignment,0.05,False,0,0.0,0.0,global_prototypes_unavailable
A5,client,semantic_alignment,0.05,True,3552,1.3055931379062098,0.0652796568953105,
A5,client,source_ce,1.0,True,3700,0.12385752573111834,0.12385752573111834,
A5,server_da,adversarial,0.5,True,2500,0.030897561402153224,0.015448780701076612,
A5,server_da,align_reg_legacy,0.05,False,0,0.0,0.0,align_reg_legacy_disabled
A5,server_da,class_mmd,0.5,True,2500,0.049800106486678125,0.024900053243339063,
A5,server_da,consistency,2.0,True,2500,618.7944604919434,1237.5889209838867,
A5,server_da,coral,0.5,True,2500,6.385904594537806e-07,3.192952297268903e-07,
A5,server_da,device_residual,0.1,False,0,0.0,0.0,client_residual_unavailable
A5,server_da,device_residual,0.1,True,2400,506.9266845769373,50.692668457693735,
A5,server_da,global_mmd,0.5,True,2500,0.03359785068035126,0.01679892534017563,
A5,server_da,proto_anchor,0.3,True,2500,1271.5598103759767,381.4679431127929,
A5,server_da,proto_loss,0.05,True,2500,34736.98287157403,1736.8491435787014,
A5,server_da,proto_mmd,0.2,True,2500,0.0,0.0,
A5,server_da,source_ce,1.0,True,2500,0.08528982372707687,0.08528982372707687,
A5,server_da,stage_mmd,0.2,True,2500,0.10196330818980932,0.020392661637961863,
A5,server_da,target_ce,0.0,True,0,0.0,0.0,configured_weight_zero
A6,client,regression,0.05,True,0,0.0,0.0,regression_disabled
A6,client,regression,0.19999999999999996,True,0,0.0,0.0,regression_disabled
A6,client,regression,0.35000000000000003,True,0,0.0,0.0,regression_disabled
A6,client,regression,0.49999999999999994,True,0,0.0,0.0,regression_disabled
A6,client,regression,0.65,True,0,0.0,0.0,regression_disabled
A6,client,regression,0.8,True,0,0.0,0.0,regression_disabled
A6,client,replay_distillation,2.0,False,0,0.0,0.0,previous_model_unavailable
A6,client,replay_distillation,2.0,True,3552,0.002862762297694529,0.005725524595389058,
A6,client,semantic_alignment,0.05,False,0,0.0,0.0,global_prototypes_unavailable
A6,client,semantic_alignment,0.05,True,3552,1.3069359114527836,0.06534679557263919,
A6,client,source_ce,1.0,True,3700,0.12172997058170212,0.12172997058170212,
A6,server_da,adversarial,0.5,True,2500,0.03200662380317226,0.01600331190158613,
A6,server_da,align_reg_legacy,0.05,False,0,0.0,0.0,align_reg_legacy_disabled
A6,server_da,class_mmd,0.5,True,2500,0.049904861728847026,0.024952430864423513,
