nominal_budget,actual_rows_mean,stage,N_timing_repeats,mean_seconds,sample_std_seconds,p50_seconds,p95_seconds
320,320.0,rich_feature_generation_seconds,10,0.11512586,0.007087872332716559,0.1127302,0.12666284999999997
320,320.0,H1_prediction_generation_seconds,10,0.022689510000000003,0.0008777589841940294,0.02276445,0.02404922
320,320.0,fold_validation_preparation_seconds,10,7.799999999999999e-07,2.0439612955674522e-07,8e-07,1.1099999999999997e-06
320,320.0,alpha_search_seconds,10,0.12810398,0.027970497167106468,0.11916299999999999,0.17145878999999992
320,320.0,final_refit_seconds,10,0.017734800000000002,0.0025485186791110196,0.01710235,0.02186350499999999
320,320.0,serialization_seconds,10,0.0011363200000000001,0.0001708871349425956,0.001068,0.0014333299999999998
320,320.0,total_calibration_seconds,10,0.28486962,0.03679953068290107,0.27433470000000004,0.33966604499999986
160,160.0,rich_feature_generation_seconds,50,0.06057090600000001,0.0026450811667195952,0.059895699999999996,0.066476115
160,160.0,H1_prediction_generation_seconds,50,0.011379437999999999,0.0009677503571854949,0.011434300000000001,0.012902944999999999
160,160.0,fold_validation_preparation_seconds,50,0.01124227,0.0006153596589783565,0.01126145,0.0121819
160,160.0,alpha_search_seconds,50,0.399019938,0.030695184412275946,0.39051674999999997,0.45086613
160,160.0,final_refit_seconds,50,0.011048406,0.0011322531024123754,0.01099335,0.012868779999999998
160,160.0,serialization_seconds,50,0.001168304,0.0002627963058169205,0.0010807500000000001,0.0015283599999999999
160,160.0,total_calibration_seconds,50,0.505877428,0.03111100995779298,0.497916,0.55745142
80,80.0,rich_feature_generation_seconds,50,0.032870488,0.0017234138851259437,0.0326104,0.036918009999999994
80,80.0,H1_prediction_generation_seconds,50,0.005896304,0.000909525443868888,0.0056733,0.00737509
80,80.0,fold_validation_preparation_seconds,50,0.00557986,0.000652717539622318,0.00540915,0.006681795
80,80.0,alpha_search_seconds,50,0.296918576,0.025461606535022694,0.29038850000000005,0.359142645
80,80.0,final_refit_seconds,50,0.008257762,0.0017898005957670713,0.0078767,0.010612555
80,80.0,serialization_seconds,50,0.001188646,0.0003576036291705082,0.0010776000000000002,0.0016094349999999996
80,80.0,total_calibration_seconds,50,0.3560045,0.02611726601820555,0.34813205,0.415393205
40,40.0,rich_feature_generation_seconds,50,0.019170141999999998,0.0010422964252053818,0.01903785,0.020162720000000002
40,40.0,H1_prediction_generation_seconds,50,0.0031347000000000002,0.0006177057720438806,0.0029097999999999997,0.004377769999999999
40,40.0,fold_validation_preparation_seconds,50,0.002353206,0.00044567100129112814,0.0021637,0.00319083
40,40.0,alpha_search_seconds,50,0.195889082,0.026079819376774442,0.1869293,0.26087002
40,40.0,final_refit_seconds,50,0.0065970759999999995,0.0017141286743022842,0.0065026500000000004,0.009251579999999995
40,40.0,serialization_seconds,50,0.001149034,0.00022154588653553543,0.0010795000000000002,0.0017446749999999996
40,40.0,total_calibration_seconds,50,0.230635468,0.026452491181426466,0.2212563,0.293362095
