candidate,role,train_dir,eval_dir,notes,has_predictions,full_params,regression_branch_params,reg_head_depth,reg_response_branch,reg_dct_k,reg_tcn_adapter,reg_use_shared_trunk,use_reg_ratio_branch,all_n,all_rmse,all_mae,all_nrmse_range,all_p90ae,all_p95ae,all_bias,all_route_acc,co_n,co_rmse,co_mae,co_nrmse_range,co_p90ae,co_p95ae,co_bias,co_route_acc,co_high_n,co_high_rmse,co_high_mae,co_high_nrmse_range,co_high_p90ae,co_high_p95ae,co_high_bias,co_high_route_acc,nonco_n,nonco_rmse,nonco_mae,nonco_nrmse_range,nonco_p90ae,nonco_p95ae,nonco_bias,nonco_route_acc,c3_co_n,c3_co_rmse,c3_co_mae,c3_co_nrmse_range,c3_co_p90ae,c3_co_p95ae,c3_co_bias,c3_co_route_acc,c4_co_n,c4_co_rmse,c4_co_mae,c4_co_nrmse_range,c4_co_p90ae,c4_co_p95ae,c4_co_bias,c4_co_route_acc,c5_co_n,c5_co_rmse,c5_co_mae,c5_co_nrmse_range,c5_co_p90ae,c5_co_p95ae,c5_co_bias,c5_co_route_acc,c3_co_high_n,c3_co_high_rmse,c3_co_high_mae,c3_co_high_nrmse_range,c3_co_high_p90ae,c3_co_high_p95ae,c3_co_high_bias,c3_co_high_route_acc,c4_co_high_n,c4_co_high_rmse,c4_co_high_mae,c4_co_high_nrmse_range,c4_co_high_p90ae,c4_co_high_p95ae,c4_co_high_bias,c4_co_high_route_acc,c5_co_high_n,c5_co_high_rmse,c5_co_high_mae,c5_co_high_nrmse_range,c5_co_high_p90ae,c5_co_high_p95ae,c5_co_high_bias,c5_co_high_route_acc,c3_nonco_n,c3_nonco_rmse,c3_nonco_mae,c3_nonco_nrmse_range,c3_nonco_p90ae,c3_nonco_p95ae,c3_nonco_bias,c3_nonco_route_acc,c4_nonco_n,c4_nonco_rmse,c4_nonco_mae,c4_nonco_nrmse_range,c4_nonco_p90ae,c4_nonco_p95ae,c4_nonco_bias,c4_nonco_route_acc,c5_nonco_n,c5_nonco_rmse,c5_nonco_mae,c5_nonco_nrmse_range,c5_nonco_p90ae,c5_nonco_p95ae,c5_nonco_bias,c5_nonco_route_acc
M0_R3aK16_depth4_dct16,current baseline,results/R3aK16_flower_reg_depth4_dct_src12,results/R3aK16_dct_guardrail_budget/test_predictions,R3aK16: depth4 residual reg head + DCT K16 response branch.,True,448023,411850,4,dct,16,,,,1320,23.313549633034025,13.96856836415491,0.15556255410619688,31.45580604672432,40.309723302855986,0.7335264219801724,0.9818181818181818,330,32.05862770840593,21.348681513299525,0.14248278981513746,47.38814607262618,61.06099337339402,-3.206915279873371,0.9727272727272728,99,40.641107236255166,26.08852330877474,0.18062714327224516,58.04053574800491,76.22290581464766,-19.880629956458854,0.9797979797979798,990,19.547640739328717,11.508530647773375,0.15968457196054672,25.152599886059768,34.84290830790995,2.0470069892646876,0.9848484848484849,170,25.14177465484068,17.087730127043216,0.11174122068818079,32.59603388607501,51.658460050821304,-1.571948867331166,0.9882352941176471,80,24.092599545784314,19.255321866367012,0.10707822020348584,37.80124858021737,44.89274282008409,-6.614099841099232,1.0,80,48.12283523381085,32.496562856026685,0.21387926770582602,66.91688239574441,90.92376992106438,-3.2740343452996967,0.9125,51,28.053306244245213,17.736126190307093,0.12468136108553428,36.09825223684311,48.32874462008475,-11.870978597332448,1.0,24,30.24269149973414,26.624833544095356,0.13441196222104063,44.06854882836341,54.97278101742263,-16.02999158203602,1.0,24,65.00992977007193,43.30105695019787,0.2889330212003197,80.91740056872368,91.00580893456933,-40.751777469025306,0.9166666666666666,510,19.938100999435022,12.629447313276497,0.16169010168815914,27.622457595965468,37.7855497770653,3.1950707877533033,0.9882352941176471,240,14.192583958298432,9.929814141311605,0.10230628194390042,20.046328119933587,25.662537291646,0.6670828879092974,0.9958333333333333,240,23.02235109477386,10.70529924004101,0.19789424192770166,25.110696479678154,33.33552621304985,0.9872955188317669,0.9666666666666667
M1_R3aK8_depth4_dct8,lighter DCT branch,results/R3aK8_flower_reg_depth4_dct_src12,results/R3aK8_dct_guardrail_budget/test_predictions,"Same depth as M0, smaller DCT response branch.",True,443799,407626,4,dct,8,,,,1320,24.392916802060665,13.75563364577443,0.15342070839876168,32.656678408384344,44.034893400967114,-1.1120331293111088,0.9818181818181818,330,35.89215652688974,23.585367170374163,0.15952069567506555,49.268803447485,61.16377741098404,-2.1869558731630203,0.9727272727272728,99,44.82924513236298,28.942137972141307,0.1992410894771688,57.364098131656654,72.1415023505687,-21.079748643637455,0.9797979797979798,990,19.077129940483356,10.479055804241186,0.15133274894929888,21.85874037444592,34.836930185556405,-0.7537255480271385,0.9848484848484849,170,31.05329223340312,20.753957297762526,0.13801463214845833,44.25657637417315,54.80794321745632,-1.777356449405058,0.9882352941176471,80,24.129248050605,19.068764188559722,0.10724110244713334,36.9432930648327,49.13605093955993,-3.5512593097519116,1.0,80,51.79426189020677,34.11871613148833,0.23019671951203008,72.14150235056887,106.01814053952693,-1.6930512120597996,0.9125,51,39.896892429704906,24.683595331860523,0.17731952190979958,44.02892738580704,61.105616390705094,-18.531966077930786,1.0,24,29.42264403747913,25.765123652915154,0.13076730683324056,41.178072988986955,54.92095403373238,-16.184216924011704,1.0,24,63.57410040651475,41.16855540196411,0.28255155736228776,79.21322420239447,107.53140091896051,-31.389318315389875,0.9166666666666666,510,17.46679420648435,10.536562093013131,0.1332505362312103,22.82370358705521,36.66007962077854,-0.9959666070747459,0.9882352941176471,240,14.465098132000549,8.332795170038784,0.09467774754929162,18.42668443918228,21.264539696276138,-3.1414657137550726,0.9958333333333333,240,25.370981095670906,12.503115574803209,0.21857345187080549,29.62163459509611,41.594940312206724,2.1487768681769626,0.9666666666666667
M2_R3b_depth4_msconv16,classic local conv response branch,results/R3b_msconv16_flower_reg_depth4_src12,results/R3b_msconv16_guardrail_budget/test_predictions,Replace DCT response branch with multi-scale convolution branch.,True,452135,415962,4,msconv,8,,,,1320,27.858993948954417,16.28673710314484,0.16219924931031335,35.69410189986231,53.30043424665926,-2.451102563335732,0.9818181818181818,330,42.10305627853708,28.117696672148835,0.18712469457127595,69.92413222789767,78.74292373657228,-7.281345227599199,0.9727272727272728,99,60.01930891090948,39.78664972635946,0.2667524840484866,110.50144881010058,146.25707626342773,-34.48971092771513,0.9797979797979798,990,21.069937726516535,12.34308391347684,0.15299099601929023,26.446491107344627,33.91830738633868,-0.8410216752479096,0.9848484848484849,170,28.260431849306954,18.857457352911723,0.12560191933025314,40.82444988191128,53.02393339574337,-6.360581177560722,0.9882352941176471,80,24.728341552474593,19.803501134738326,0.10990374023322041,37.68369823694232,47.60273333638906,0.7795773446559908,1.0,80,70.73631611047254,56.109900762938196,0.3143836271576558,121.25707626342772,146.25707626342773,-17.29889140618615,0.9125,51,36.73147208859353,23.56707791925645,0.16325098706041566,53.27714532613754,63.22097405791283,-15.567955308977295,1.0,24,30.050383897584865,24.799500529964764,0.13355726176704386,45.59358581900598,52.14606270194053,-19.947763532400128,1.0,24,105.306607877349,89.24038901284803,0.4680293683437733,146.25707626342773,146.25707626342773,-89.24038901284803,0.9166666666666666,510,19.67359421680746,12.646425647019663,0.1481160763415326,24.061880595982075,33.390081152319894,-1.8210795644657025,0.9882352941176471,240,14.685872661277255,9.418177501550721,0.103620579841289,20.00155940651895,26.508569754660112,-1.0667624335231565,0.9958333333333333,240,28.16212215650037,14.623389141624463,0.19797599562232795,32.0271678234501,41.760608144104474,1.4673420976151477,0.9666666666666667
M3_S2_tcnadapter_k3g005,response adapter stress test,results/S2_tcnadapter_k3g005_flower_reg_depth4_src12,results/S2_tcnadapter_k3g005_guardrail_budget/test_predictions,Adds TCN adapter on top of the baseline-style regression path.,True,441927,405754,4,none,8,True,,,1320,26.900790645771387,15.942303300816434,0.16088355045662572,39.46332350373268,51.98074139654636,-4.533128920810292,0.9818181818181818,330,38.71870967311702,27.321221261024192,0.17208315410274233,51.99068501591683,72.94668946415187,-14.724491005304806,0.9727272727272728,99,52.643755585550736,38.466613195399106,0.23397224704689215,73.92977371811867,90.67014053463926,-33.66450162150549,0.9797979797979798,990,21.567503879056567,12.149330647413848,0.15697288014619,31.933779958635593,47.39979561343267,-1.1360082259787871,0.9848484848484849,170,35.11650764751711,26.185500037801617,0.1560733673222983,50.12350127100944,57.99834899604317,-18.900853564195774,0.9882352941176471,80,24.124168176796434,19.578760699369013,0.10721852523020639,38.94960671663285,42.44092822074889,-4.519231799058615,1.0,80,54.60298872076522,37.47708942202735,0.24267994987006766,83.27079892158513,106.03923439979549,-16.05497977390769,0.9125,51,49.019715310442315,37.739999767612005,0.2178654013797436,62.33479231595993,75.65365172922611,-37.14012284489239,1.0,24,29.03072348986662,26.485771623750527,0.12902543773274056,39.9764983355999,46.84695236384867,-14.702322147786617,1.0,24,74.04637862958187,51.99150830109526,0.3290950161314749,100.43630763888358,117.55672574043271,-45.240985995527204,0.9166666666666666,510,20.925359935084103,12.442953153065357,0.143599766457268,33.884030879061854,49.74036258477856,0.18578593431752327,0.9882352941176471,240,18.79403811123959,10.886193380598948,0.11280300076931167,27.311676666140556,36.21343731880188,-5.289940139603761,0.9958333333333333,240,25.200842562008614,12.78852008971929,0.2123631008242402,31.44380610436201,39.554850105196216,0.20911109701652725,0.9666666666666667
M4_T9fix_shared_trunk,shared-private head ablation,results/T9fix_shared_trunk_flower_reg_depth4_src12,results/T9fix_shared_trunk_guardrail_budget/test_predictions,Uses shared regression trunk before class-specific heads.,True,143319,107146,4,none,8,False,True,False,1320,30.34608808729831,18.73775191554573,0.18559233663687644,37.50466077680728,51.71592718049249,-1.931154936042469,0.9818181818181818,330,42.240428806227754,27.02614039263327,0.18773523913879,62.36437353822132,86.57583122293353,1.22330916101191,0.9727272727272728,99,48.170216237372614,28.276693678812737,0.2140898499438783,51.19820554802159,73.24544443066956,-20.852974789558612,0.9797979797979798,990,25.161388561804227,15.974955756516549,0.18487251612831657,32.027643926435026,40.780715402641235,-2.9826429683939293,0.9848484848484849,170,36.86520973669069,22.933792481825748,0.16384537660751416,49.37046389493647,70.59693294422219,-3.210751053134985,0.9882352941176471,80,22.1938141047711,17.533256269525737,0.09863917379898265,34.73525121808054,45.02410229295491,-3.0208757682703435,1.0,80,63.083387731311106,45.215263826206794,0.2803706121391605,96.30688965320587,121.13171085715285,14.889872045356316,0.9125,51,47.73118349632078,28.383649075615423,0.21213859331698126,51.71093144761221,71.32786768348168,-25.838456591436046,1.0,24,26.47704474311544,20.27248616019885,0.11767575441384638,36.30023628473281,54.02388595044609,-9.789927303791044,1.0,24,63.47579268486998,36.053620979220916,0.28211463415497773,50.05888983607292,156.41050361096833,-21.321873446336635,0.9166666666666666,510,21.357920036030944,14.718370856108523,0.16347244733921681,28.707846999168396,37.489364056565016,-4.85615195703377,0.9882352941176471,240,21.99557165917831,15.29915376747258,0.15744232567994607,31.41545700165236,41.690872292917774,-5.412134798180625,0.9958333333333333,240,34.03486549185869,19.321000658927563,0.24373889032604162,35.13444977204006,42.818754131793945,3.4280554622524293,0.9666666666666667
M5_T10afix_ratio_dct,ratio auxiliary branch,results/T10afix_ratio_dct_flower_reg_depth4_src12,results/T10afix_ratio_dct_guardrail_budget/test_predictions,Adds ratio branch to the DCT baseline.,True,451456,415283,4,dct,16,False,False,True,1320,26.55736063852082,15.416550422000764,0.16260382123223902,32.68648833036428,45.92716276645659,1.438922290610281,0.9818181818181818,330,36.39126157941191,24.398271285321073,0.16173894035294184,51.73167601227762,67.41494923830035,-1.5354599359887409,0.9727272727272728,99,44.44726337713589,29.154540617558286,0.19754339278727062,54.197325408458696,78.72248187661162,-22.602945178947863,0.9797979797979798,990,22.337186461120822,12.422643467560661,0.16289109438600513,27.522511497388287,34.737522136420004,2.430383032809955,0.9848484848484849,170,29.30037266870256,20.249194424489843,0.13022387852756698,43.17496329545973,54.572914652526336,-4.149146324900142,0.9882352941176471,80,30.508972807790975,24.288897740188986,0.13559543470129323,50.8788099884987,60.79025313258169,14.75929785752669,1.0,80,52.035575221482226,33.32443315971953,0.23126922320658766,92.61020973324783,105.008879985536,-12.276134153067446,0.9125,51,36.75739993284551,24.843509539085275,0.1633662219237578,50.29451698064801,54.9673594534397,-21.08547455247711,1.0,24,23.153445370612893,19.11258045583963,0.10290420164716843,37.119229435920694,47.24939689040181,-7.421301491558548,1.0,24,68.86217068301254,48.3574418210321,0.30605409192450017,99.62167248129842,160.657436728229,-41.00921394758755,0.9166666666666666,510,18.867853336422627,11.639960192180439,0.14349422340676565,25.596678927540808,34.89348594099276,3.5005872055669043,0.9882352941176471,240,16.221532363305336,10.46567006764235,0.10328304433018567,22.828992307186127,29.34772262349724,-0.6447397328641575,0.9958333333333333,240,32.22637050486002,16.042818827661947,0.23458117471920895,31.394812874495983,40.692462811867365,3.2313219313755512,0.9666666666666667
