candidate,scope,final_n,final_rmse,final_mae,final_nrmse_range,final_p90ae,final_p95ae,final_bias,final_route_acc,raw_n,raw_rmse,raw_mae,raw_nrmse_range,raw_p90ae,raw_p95ae,raw_bias,raw_route_acc
M0_R3aK16_depth4_dct16,ALL,1320,23.313549633034025,13.96856836415491,0.15556255410619688,31.45580604672432,40.309723302855986,0.7335264219801724,0.9818181818181818,1320,23.996875984834666,14.570481836080944,0.16355343900328853,31.902603060007078,47.270495090633595,2.2192689143580395,0.9818181818181818
M0_R3aK16_depth4_dct16,CO,330,32.05862770840593,21.348681513299525,0.14248278981513746,47.38814607262618,61.06099337339402,-3.206915279873371,0.9727272727272728,330,32.06318407143319,21.36861457364086,0.14250304031748084,47.38814607262618,61.06099337339402,-3.2268483402147083,0.9727272727272728
M0_R3aK16_depth4_dct16,CO_high,99,40.641107236255166,26.08852330877474,0.18062714327224516,58.04053574800491,76.22290581464766,-19.880629956458854,0.9797979797979798,99,40.641107236255166,26.08852330877474,0.18062714327224516,58.04053574800491,76.22290581464766,-19.880629956458854,0.9797979797979798
M0_R3aK16_depth4_dct16,nonCO,990,19.547640739328717,11.508530647773375,0.15968457196054672,25.152599886059768,34.84290830790995,2.0470069892646876,0.9848484848484849,990,20.618377363633087,12.30443759022764,0.16999195386790528,27.38746620714666,34.274892099201665,4.034641332548956,0.9848484848484849
M0_R3aK16_depth4_dct16,C3_ALL,680,21.358209470750378,13.744018016718174,0.15076236877339985,29.334718994277917,38.63573176947019,2.0033158739821864,0.9882352941176471,680,22.77999909407924,14.912438285751064,0.16637105833062352,31.63615211844445,48.049368020147085,4.8874042415392225,0.9882352941176471
M0_R3aK16_depth4_dct16,C3_CO,170,25.14177465484068,17.087730127043216,0.11174122068818079,32.59603388607501,51.658460050821304,-1.571948867331166,0.9882352941176471,170,25.153050933928665,17.126423714764634,0.11179133748412738,32.59603388607501,51.658460050821304,-1.6106424550525837,0.9882352941176471
M0_R3aK16_depth4_dct16,C3_CO_high,51,28.053306244245213,17.736126190307093,0.12468136108553428,36.09825223684311,48.32874462008475,-11.870978597332448,1.0,51,28.053306244245213,17.736126190307093,0.12468136108553428,36.09825223684311,48.32874462008475,-11.870978597332448,1.0
M0_R3aK16_depth4_dct16,C3_nonCO,510,19.938100999435022,12.629447313276497,0.16169010168815914,27.622457595965468,37.7855497770653,3.1950707877533033,0.9882352941176471,510,21.93199689662111,14.174443142746538,0.18094199168399877,31.101885586977005,47.1029858291149,7.053419807069825,0.9882352941176471
M0_R3aK16_depth4_dct16,C4_ALL,320,17.210038285210004,12.261191072575457,0.10351989086342385,25.669758766889576,33.76356981694699,-1.153212794342835,0.996875,320,17.210038285210004,12.261191072575457,0.10351989086342385,25.669758766889576,33.76356981694699,-1.153212794342835,0.996875
M0_R3aK16_depth4_dct16,C4_CO,80,24.092599545784314,19.255321866367012,0.10707822020348584,37.80124858021737,44.89274282008409,-6.614099841099232,1.0,80,24.092599545784314,19.255321866367012,0.10707822020348584,37.80124858021737,44.89274282008409,-6.614099841099232,1.0
M0_R3aK16_depth4_dct16,C4_CO_high,24,30.24269149973414,26.624833544095356,0.13441196222104063,44.06854882836341,54.97278101742263,-16.02999158203602,1.0,24,30.24269149973414,26.624833544095356,0.13441196222104063,44.06854882836341,54.97278101742263,-16.02999158203602,1.0
M0_R3aK16_depth4_dct16,C4_nonCO,240,14.192583958298432,9.929814141311605,0.10230628194390042,20.046328119933587,25.662537291646,0.6670828879092974,0.9958333333333333,240,14.192583958298432,9.929814141311605,0.10230628194390042,20.046328119933587,25.662537291646,0.6670828879092974,0.9958333333333333
M0_R3aK16_depth4_dct16,C5_ALL,320,31.248572850346353,16.15311514403743,0.20200911744201022,37.31839691809,60.86397159844638,-0.07803694720109897,0.953125,320,31.248572850346353,16.15311514403743,0.20200911744201022,37.31839691809,60.86397159844638,-0.07803694720109897,0.953125
M0_R3aK16_depth4_dct16,C5_CO,80,48.12283523381085,32.496562856026685,0.21387926770582602,66.91688239574441,90.92376992106438,-3.2740343452996967,0.9125,80,48.12283523381085,32.496562856026685,0.21387926770582602,66.91688239574441,90.92376992106438,-3.2740343452996967,0.9125
M0_R3aK16_depth4_dct16,C5_CO_high,24,65.00992977007193,43.30105695019787,0.2889330212003197,80.91740056872368,91.00580893456933,-40.751777469025306,0.9166666666666666,24,65.00992977007193,43.30105695019787,0.2889330212003197,80.91740056872368,91.00580893456933,-40.751777469025306,0.9166666666666666
M0_R3aK16_depth4_dct16,C5_nonCO,240,23.02235109477386,10.70529924004101,0.19789424192770166,25.110696479678154,33.33552621304985,0.9872955188317669,0.9666666666666667,240,23.02235109477386,10.70529924004101,0.19789424192770166,25.110696479678154,33.33552621304985,0.9872955188317669,0.9666666666666667
