nominal_budget,replicate,actual_rows,variant,class_id,gas,N,RMSE,MAE,track,reuse
320,0,320,HARM,2,Ethylene,340,35.156657239794185,8.332558713930359,G,
320,0,320,HARM,3,Methane,340,13.682179859597202,6.653148941533483,G,
320,1,320,HARM,0,Ethanol,340,24.873888300792764,7.894666244729369,G,
320,1,320,HARM,1,CO,340,19.949290016370597,10.58868232712948,G,
320,1,320,HARM,2,Ethylene,340,35.831175106665235,9.987212368974273,G,
320,1,320,HARM,3,Methane,340,12.579739259142627,6.4693254121217185,G,
320,2,320,HARM,0,Ethanol,340,28.055836870398007,9.078622550312197,G,
320,2,320,HARM,1,CO,340,21.573812746698696,12.833210617097466,G,
320,2,320,HARM,2,Ethylene,340,35.670675840456106,10.980322178582473,G,
320,2,320,HARM,3,Methane,340,13.248460088486413,6.5521650374233475,G,
320,3,320,HARM,0,Ethanol,340,26.099582933585353,8.209183868613621,G,
320,3,320,HARM,1,CO,340,21.573812746698696,12.833210617097466,G,
320,3,320,HARM,2,Ethylene,340,35.156657239794185,8.332558713930359,G,
320,3,320,HARM,3,Methane,340,13.682179859597202,6.653148941533483,G,
320,4,320,HARM,0,Ethanol,340,25.117288727227056,7.764568632635297,G,
320,4,320,HARM,1,CO,340,19.949290016370597,10.58868232712948,G,
320,4,320,HARM,2,Ethylene,340,35.48587714996056,8.531883757789137,G,
320,4,320,HARM,3,Methane,340,13.06361083557331,6.579619529768777,G,
