method,accuracy,macro_f1,nll,ece,per_class_recall,commissioning_time_seconds,checkpoint_bytes
source_only,0.325,0.23521019723987577,4.878474190655877,0.6633810794528793,"{""0"": 0.10294117647058823, ""1"": 0.0, ""2"": 0.2, ""3"": 0.9970588235294118}",0.32992230000309064,169977
simple_target_ce,0.9764705882352941,0.9765302102809498,0.10456264620537267,0.007608578814303149,"{""0"": 0.9941176470588236, ""1"": 0.9764705882352941, ""2"": 0.9588235294117647, ""3"": 0.9764705882352941}",3.409542599998531,109946
full_target_adapter,0.8977941176470589,0.8995906929205248,0.4834382877630346,0.07330387813203472,"{""0"": 0.8558823529411764, ""1"": 0.9352941176470588, ""2"": 0.8529411764705882, ""3"": 0.9470588235294117}",79.15871360000165,110026
