"round","client_id","train_ce_mean","train_accuracy","num_examples","local_epochs","fit_seconds","train_ce_averaging"
"1","C1","1.0188834263106523","0.7838983050847458","2360","1","6.501618470007088","sample_weighted_over_local_minibatches"
"1","C2","0.996101756823265","0.8042372881355933","2360","1","11.658324904041365","sample_weighted_over_local_minibatches"
"2","C1","0.6738841840776346","0.8927966101694915","2360","1","5.462159934977535","sample_weighted_over_local_minibatches"
"2","C2","0.6257529561802492","0.9453389830508474","2360","1","9.872090329881757","sample_weighted_over_local_minibatches"
"3","C1","0.486697994652441","0.9495762711864407","2360","1","5.485948372981511","sample_weighted_over_local_minibatches"
"3","C2","0.43518783237974523","0.9805084745762712","2360","1","10.160809902939945","sample_weighted_over_local_minibatches"
"4","C1","0.35187595274488803","0.9745762711864406","2360","1","5.487955947988667","sample_weighted_over_local_minibatches"
"4","C2","0.31131956718735776","0.9961864406779661","2360","1","9.922860197955742","sample_weighted_over_local_minibatches"
"5","C1","0.27747418638003074","0.9805084745762712","2360","1","5.488471887016203","sample_weighted_over_local_minibatches"
"5","C2","0.23907003200660318","0.9953389830508474","2360","1","9.42924341908656","sample_weighted_over_local_minibatches"
"6","C1","0.2076489642515021","0.985593220338983","2360","1","5.524899335985538","sample_weighted_over_local_minibatches"
"6","C2","0.17615294557506755","0.9978813559322034","2360","1","9.252373057883233","sample_weighted_over_local_minibatches"
"7","C1","0.16277958801237202","0.986864406779661","2360","1","5.529945064976346","sample_weighted_over_local_minibatches"
"7","C2","0.13049226231494193","0.9983050847457627","2360","1","9.257843872066587","sample_weighted_over_local_minibatches"
"8","C1","0.13650182435068034","0.9860169491525423","2360","1","5.5075688770157285","sample_weighted_over_local_minibatches"
"8","C2","0.10247290043507593","0.9978813559322034","2360","1","9.28258781018667","sample_weighted_over_local_minibatches"
"9","C1","0.10718424456604457","0.9889830508474576","2360","1","5.500023629982024","sample_weighted_over_local_minibatches"
"9","C2","0.0818835824222888","0.9966101694915255","2360","1","9.24028277490288","sample_weighted_over_local_minibatches"
"10","C1","0.08074917793273925","0.9915254237288136","2360","1","5.505002902995329","sample_weighted_over_local_minibatches"
"10","C2","0.06696559569593204","0.9961864406779661","2360","1","9.270049721933901","sample_weighted_over_local_minibatches"
"11","C1","0.06807374454150765","0.9932203389830508","2360","1","5.527838763024192","sample_weighted_over_local_minibatches"
"11","C2","0.049883424705367975","0.9970338983050847","2360","1","9.286888229195029","sample_weighted_over_local_minibatches"
"12","C1","0.05851612598714182","0.9919491525423729","2360","1","5.5231068870052695","sample_weighted_over_local_minibatches"
"12","C2","0.037558571615461576","0.9983050847457627","2360","1","9.330357630969957","sample_weighted_over_local_minibatches"
"13","C1","0.05098022957474498","0.9932203389830508","2360","1","5.531909565033857","sample_weighted_over_local_minibatches"
"13","C2","0.0351183094715668","0.9970338983050847","2360","1","9.300699864979833","sample_weighted_over_local_minibatches"
"14","C1","0.04447740471716655","0.9927966101694915","2360","1","5.506835752981715","sample_weighted_over_local_minibatches"
"14","C2","0.031559632592282054","0.9961864406779661","2360","1","9.2923679118976","sample_weighted_over_local_minibatches"
"15","C1","0.05306956380353135","0.9885593220338983","2360","1","5.501046370016411","sample_weighted_over_local_minibatches"
"15","C2","0.026281598008285136","0.997457627118644","2360","1","9.246300783008337","sample_weighted_over_local_minibatches"
"16","C1","0.04020765574049141","0.9919491525423729","2360","1","5.387383873050567","sample_weighted_over_local_minibatches"
"16","C2","0.02842460046127691","0.9961864406779661","2360","1","9.221703187096864","sample_weighted_over_local_minibatches"
"17","C1","0.03391028094594761","0.9932203389830508","2360","1","5.518360443005804","sample_weighted_over_local_minibatches"
"17","C2","0.015376112086035438","0.9983050847457627","2360","1","9.304621973773465","sample_weighted_over_local_minibatches"
"18","C1","0.04438750180652586","0.9906779661016949","2360","1","5.524508278002031","sample_weighted_over_local_minibatches"
"18","C2","0.01958493462179677","0.997457627118644","2360","1","9.258340210886672","sample_weighted_over_local_minibatches"
"19","C1","0.03535505447978691","0.9923728813559322","2360","1","5.50590364204254","sample_weighted_over_local_minibatches"
"19","C2","0.015496667575533108","0.9978813559322034","2360","1","9.288093712180853","sample_weighted_over_local_minibatches"
"20","C1","0.030021175994711408","0.9932203389830508","2360","1","5.502913828007877","sample_weighted_over_local_minibatches"
"20","C2","0.012513318484238648","0.9983050847457627","2360","1","9.268221338046715","sample_weighted_over_local_minibatches"
"21","C1","0.038108032278842845","0.9927966101694915","2360","1","5.52697323996108","sample_weighted_over_local_minibatches"
"21","C2","0.005884565308816352","0.9995762711864407","2360","1","9.320618038997054","sample_weighted_over_local_minibatches"
"22","C1","0.031021270048567803","0.9940677966101695","2360","1","5.5196951270336285","sample_weighted_over_local_minibatches"
"22","C2","0.004688783053119303","0.9995762711864407","2360","1","9.290657659061253","sample_weighted_over_local_minibatches"
"23","C1","0.03518264790586496","0.9915254237288136","2360","1","5.505495970952325","sample_weighted_over_local_minibatches"
"23","C2","0.008386147562098704","0.9987288135593221","2360","1","9.295557825826108","sample_weighted_over_local_minibatches"
"24","C1","0.02517113187113556","0.9940677966101695","2360","1","5.521067917987239","sample_weighted_over_local_minibatches"
"24","C2","0.010281333188384267","0.9978813559322034","2360","1","9.427792754024267","sample_weighted_over_local_minibatches"
"25","C1","0.03088787748020584","0.9911016949152542","2360","1","5.543176885985304","sample_weighted_over_local_minibatches"
"25","C2","0.009437534670834824","0.9987288135593221","2360","1","9.301736787892878","sample_weighted_over_local_minibatches"
