source_round,step,val_loss,coral_loss,mmd_global,mmd_class,adv_loss,proto_anchor,proto_loss,consist_loss,residual_loss,mmd_proto_loss,stage_mmd_loss,align_reg_legacy_loss,target_ce_loss,target_ce_acc,weighted_coral_loss,weighted_mmd_global,weighted_mmd_class,weighted_adv_loss,weighted_proto_anchor,weighted_proto_loss,weighted_consist_loss,weighted_residual_loss,weighted_mmd_proto_loss,weighted_stage_mmd_loss,weighted_align_reg_legacy_loss,weighted_target_ce_loss,total_loss
1,1,0.8129844665527344,5.136712388775777e-06,0.07484877109527588,0.23384526371955872,0.005351834464818239,0.0,0.0,0.0,0.0,0.0,0.40292179584503174,0.0,0.0,0.0,2.5683561943878885e-06,0.03742438554763794,0.11692263185977936,0.0026759172324091196,0.0,0.0,0.0,0.0,0.0,0.08058436214923859,0.0,0.0,1.0505943298339844
1,2,0.823218822479248,7.443802587658865e-06,0.10373026132583618,0.27585792541503906,0.006365560926496983,0.0,0.0,0.0,0.0,0.0,0.32392704486846924,0.0,0.0,0.0,3.7219012938294327e-06,0.05186513066291809,0.13792896270751953,0.0031827804632484913,0.0,0.0,0.0,0.0,0.0,0.0647854134440422,0.0,0.0,1.0809847116470337
1,3,0.8027117848396301,3.5775492506218143e-06,0.05397564172744751,0.1402360498905182,0.0010883519425988197,0.0,0.0,0.0,0.0,0.0,0.3358345031738281,0.0,0.0,0.0,1.7887746253109071e-06,0.026987820863723755,0.0701180249452591,0.0005441759712994099,0.0,0.0,0.0,0.0,0.0,0.06716690212488174,0.0,0.0,0.9675305485725403
1,4,0.787579357624054,7.081293915689457e-06,0.0435870885848999,0.192861407995224,-0.004342237487435341,0.0,0.0,0.0,0.0,0.0,0.18616431951522827,0.0,0.0,0.0,3.5406469578447286e-06,0.02179354429244995,0.096430703997612,-0.0021711187437176704,0.0,0.0,0.0,0.0,0.0,0.037232864648103714,0.0,0.0,0.9408689141273499
1,5,0.7991654276847839,5.618180239252979e-06,0.044093966484069824,0.18823882937431335,-0.0017772815190255642,0.0,0.0,0.0,0.0,0.0,0.25203758478164673,0.0,0.0,0.0,2.8090901196264895e-06,0.022046983242034912,0.09411941468715668,-0.0008886407595127821,0.0,0.0,0.0,0.0,0.0,0.050407517701387405,0.0,0.0,0.9648535251617432
1,6,0.8031555414199829,4.585830538417213e-06,0.0513836145401001,0.1724168360233307,-0.00040867971256375313,0.0,0.0,0.0,0.0,0.0,0.39721494913101196,0.0,0.0,0.0,2.2929152692086063e-06,0.02569180727005005,0.08620841801166534,-0.00020433985628187656,0.0,0.0,0.0,0.0,0.0,0.07944299280643463,0.0,0.0,0.994296669960022
1,7,0.7588086128234863,3.0803096251474926e-06,0.08491647243499756,0.13377788662910461,0.0009170118719339371,0.0,0.0,0.0,0.0,0.0,0.2998628616333008,0.0,0.0,0.0,1.5401548125737463e-06,0.04245823621749878,0.06688894331455231,0.00045850593596696854,0.0,0.0,0.0,0.0,0.0,0.059972573071718216,0.0,0.0,0.9285883903503418
1,8,0.7906008958816528,4.641751729650423e-06,0.11209452152252197,0.2337944507598877,0.0034383460879325867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3208758648252115e-06,0.056047260761260986,0.11689722537994385,0.0017191730439662933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652668833732605
1,9,0.7674607634544373,4.702909336629091e-06,0.039174675941467285,0.15246686339378357,0.01351961214095354,0.0,0.0,0.0,0.0,0.0,0.2855973541736603,0.0,0.0,0.0,2.3514546683145454e-06,0.019587337970733643,0.07623343169689178,0.00675980607047677,0.0,0.0,0.0,0.0,0.0,0.057119470089673996,0.0,0.0,0.9271631836891174
1,10,0.7808715105056763,5.191097898205044e-06,0.04233795404434204,0.21226656436920166,0.010552067309617996,0.0,0.0,0.0,0.0,0.0,0.26121485233306885,0.0,0.0,0.0,2.595548949102522e-06,0.02116897702217102,0.10613328218460083,0.005276033654808998,0.0,0.0,0.0,0.0,0.0,0.05224297195672989,0.0,0.0,0.9656953811645508
