source_round,method,accuracy,macro_f1,nll,ece,num_examples,per_class_recall,checkpoint_sha256,commissioning_steps,commissioning_lr,commissioning_time_seconds,target_label_access,selection_role
18,source_only,0.42058823529411765,0.30595846624879064,3.4833561139948226,0.5600204157040399,1360,"{""0"": 0.06470588235294118, ""1"": 0.0, ""2"": 0.638235294117647, ""3"": 0.9794117647058823}",f1d62f5b4bfe6ef96b38a3465ba0f7c2f5f4cf015a214d40252f1e3a640c75d4,0,0.0,0.5511221999986446,none,post_hoc_diagnostic_only
18,simple_target_ce,0.9816176470588235,0.9816983622598846,0.09417679636355708,0.015374831855297063,1360,"{""0"": 0.9764705882352941, ""1"": 0.9941176470588236, ""2"": 0.9705882352941176, ""3"": 0.9852941176470589}",f1d62f5b4bfe6ef96b38a3465ba0f7c2f5f4cf015a214d40252f1e3a640c75d4,100,0.0005,4.949762600001122,C5_calibration_320_labels,post_hoc_diagnostic_only
18,full_target_adapter,0.9044117647058824,0.905832939994544,0.4491217050482245,0.057435507436885525,1360,"{""0"": 0.9029411764705882, ""1"": 0.95, ""2"": 0.8176470588235294, ""3"": 0.9470588235294117}",f1d62f5b4bfe6ef96b38a3465ba0f7c2f5f4cf015a214d40252f1e3a640c75d4,100,0.0005,40.193580700000894,C5_calibration_320_labels,post_hoc_diagnostic_only
19,source_only,0.42573529411764705,0.3393531677661954,3.459930633096134,0.5488730492399019,1360,"{""0"": 0.1676470588235294, ""1"": 0.008823529411764706, ""2"": 0.5529411764705883, ""3"": 0.9735294117647059}",5ebcf152c72a2f1e50f7fbaa2e780813984e54c73b374b470a69fd66c9d49b5c,0,0.0,0.3777019000008295,none,post_hoc_diagnostic_only
19,simple_target_ce,0.975735294117647,0.9757352395173668,0.10096715671174666,0.006048072326709315,1360,"{""0"": 0.9764705882352941, ""1"": 0.9941176470588236, ""2"": 0.9470588235294117, ""3"": 0.9852941176470589}",5ebcf152c72a2f1e50f7fbaa2e780813984e54c73b374b470a69fd66c9d49b5c,100,0.0005,4.741512900000089,C5_calibration_320_labels,post_hoc_diagnostic_only
19,full_target_adapter,0.9073529411764706,0.9080721345744986,0.41180797293782234,0.0577903801904005,1360,"{""0"": 0.8911764705882353, ""1"": 0.9529411764705882, ""2"": 0.8558823529411764, ""3"": 0.9294117647058824}",5ebcf152c72a2f1e50f7fbaa2e780813984e54c73b374b470a69fd66c9d49b5c,100,0.0005,41.8456526000009,C5_calibration_320_labels,post_hoc_diagnostic_only
20,source_only,0.4051470588235294,0.2916002691879585,3.7392043899087346,0.5767491418210897,1360,"{""0"": 0.05, ""1"": 0.0, ""2"": 0.5970588235294118, ""3"": 0.9735294117647059}",bc67a9cb58ee25a8851f2db5b98c1342206920fc006a8e693a0ec47052b2680d,0,0.0,0.43324180000126944,none,post_hoc_diagnostic_only
20,simple_target_ce,0.9823529411764705,0.9823617565064002,0.08884132895618677,0.0072407217148472,1360,"{""0"": 0.9852941176470589, ""1"": 0.9911764705882353, ""2"": 0.9676470588235294, ""3"": 0.9852941176470589}",bc67a9cb58ee25a8851f2db5b98c1342206920fc006a8e693a0ec47052b2680d,100,0.0005,2.5975173999977414,C5_calibration_320_labels,post_hoc_diagnostic_only
20,full_target_adapter,0.9117647058823529,0.9125050422210702,0.39268545736284816,0.05638561198378306,1360,"{""0"": 0.9, ""1"": 0.9588235294117647, ""2"": 0.8529411764705882, ""3"": 0.9352941176470588}",bc67a9cb58ee25a8851f2db5b98c1342206920fc006a8e693a0ec47052b2680d,100,0.0005,51.080585200001224,C5_calibration_320_labels,post_hoc_diagnostic_only
21,source_only,0.40441176470588236,0.2878457518566544,3.868788113313563,0.5771691458628458,1360,"{""0"": 0.041176470588235294, ""1"": 0.0, ""2"": 0.6058823529411764, ""3"": 0.9705882352941176}",7be58d97229bceabfd8aa9ae4c3966ecfdbaeb1312387bc725007d6be661a72b,0,0.0,0.47684810000282596,none,post_hoc_diagnostic_only
