Method,C1 F1,C2 F1,C1+C2 F1,C5 F1,C5 Accuracy,C5 NLL,C5 ECE,Trainable params,Trainable param ratio,Adaptation time,Peak RSS bytes,Checkpoint bytes,Parameter delta,Mean C1/C2 retention delta
Source-only,0.9985293990432443,1.0,0.9992647042921805,0.36860954434591753,0.4786764705882353,4.082857309767214,0.5057970133993556,0,0.0,0.0,,169719,0.0,0.0
Posthoc A0T-full,0.6135592927090903,0.7080124166486481,0.6622516651169699,0.9765440505346443,0.9764705882352941,0.07129153653030822,0.010052415575174703,22765,1.0,13.081214299891144,386584576,109770,0.030134469218313524,-0.338478844842753
Posthoc A4,0.9985293990432443,0.9985293990432443,0.9985294101745334,0.8943341146632724,0.8933823529411765,0.6010787320433085,0.08962174553204985,22765,1.0,136.46011730004102,469344256,109530,0.04036793261981685,-0.0007353004783778316
Posthoc Target-head,0.9985293990432443,1.0,0.9992647042921805,0.36860954434591753,0.4786764705882353,3.7428366185935293,0.5037585428094162,3396,0.14917636723039754,0.7742290999740362,415784960,109954,0.019147722237408318,0.0
