base_mode,client,class_id,gas,residual_mode,n_fit,n_val,best_alpha,val_RMSE,candidate,refit_mode,alpha_hint,n_refit
source_ridge,C3,0,Ethanol,,,,,,source_ridge_forced_identity,identity,,170
source_ridge,C3,1,CO,,,,,,source_ridge_forced_identity,identity,,170
source_ridge,C3,2,Ethylene,,,,,,source_ridge_forced_identity,identity,,170
source_ridge,C3,3,Methane,,,,,,source_ridge_forced_identity,identity,,170
source_ridge,C4,0,Ethanol,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C4,1,CO,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C4,2,Ethylene,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C4,3,Methane,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C5,0,Ethanol,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C5,1,CO,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C5,2,Ethylene,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C5,3,Methane,,,,,,source_ridge_forced_identity,identity,,80
source_ridge,C3,0,Ethanol,,,,,,source_ridge_forced_affine,affine,,170
source_ridge,C3,1,CO,,,,,,source_ridge_forced_affine,affine,,170
source_ridge,C3,2,Ethylene,,,,,,source_ridge_forced_affine,affine,,170
source_ridge,C3,3,Methane,,,,,,source_ridge_forced_affine,affine,,170
source_ridge,C4,0,Ethanol,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C4,1,CO,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C4,2,Ethylene,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C4,3,Methane,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C5,0,Ethanol,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C5,1,CO,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C5,2,Ethylene,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C5,3,Methane,,,,,,source_ridge_forced_affine,affine,,80
source_ridge,C3,0,Ethanol,,,,,,source_ridge_forced_ridge_phase,ridge_phase,10.0,170
source_ridge,C3,1,CO,,,,,,source_ridge_forced_ridge_phase,ridge_phase,1.0,170
source_ridge,C3,2,Ethylene,,,,,,source_ridge_forced_ridge_phase,ridge_phase,1.0,170
source_ridge,C3,3,Methane,,,,,,source_ridge_forced_ridge_phase,ridge_phase,0.01,170
source_ridge,C4,0,Ethanol,,,,,,source_ridge_forced_ridge_phase,ridge_phase,1.0,80
source_ridge,C4,1,CO,,,,,,source_ridge_forced_ridge_phase,ridge_phase,10.0,80
source_ridge,C4,2,Ethylene,,,,,,source_ridge_forced_ridge_phase,ridge_phase,10.0,80
source_ridge,C4,3,Methane,,,,,,source_ridge_forced_ridge_phase,ridge_phase,0.0,80
source_ridge,C5,0,Ethanol,,,,,,source_ridge_forced_ridge_phase,ridge_phase,10.0,80
source_ridge,C5,1,CO,,,,,,source_ridge_forced_ridge_phase,ridge_phase,0.1,80
source_ridge,C5,2,Ethylene,,,,,,source_ridge_forced_ridge_phase,ridge_phase,0.01,80
source_ridge,C5,3,Methane,,,,,,source_ridge_forced_ridge_phase,ridge_phase,0.1,80
source_ridge,C3,0,Ethanol,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=10.0,170
source_ridge,C3,1,CO,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=1.0,170
source_ridge,C3,2,Ethylene,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=1.0,170
source_ridge,C3,3,Methane,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=100.0,170
source_ridge,C4,0,Ethanol,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=0.0;high=10.0,80
source_ridge,C4,1,CO,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=10.0;high=10.0,80
source_ridge,C4,2,Ethylene,,,,,,source_ridge_forced_piecewise_ridge,piecewise_ridge,low=1.0;high=10.0,80
