mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,delta_RMSE_vs_baseline,delta_MAE_vs_baseline,delta_NRMSE_vs_baseline,delta_P90AE_vs_baseline,delta_Bias_vs_baseline
source_ridge_forced_affine,test,C4-CO_mid_125_175,corrected_ppm,102,28.443390845037072,23.22431702209064,0.12641507042238698,-15.858829630027264,41.840572277613774,-4.035653372613453,-1.908587537575393,-0.017936237211615358,-11.302565415791392,-20.710439383362488
source_ridge_forced_affine,test,C4-CO_high_200_250,corrected_ppm,102,119.14448951750151,98.11895582865404,0.5295310645222289,-96.53296949696163,237.5,23.82944663430665,46.10386581209717,0.10590865170802943,3.695772928185761,-62.86621567097439
source_ridge_forced_affine,test,C4-nonCO,corrected_ppm,1020,34.44897570130939,25.532193145420248,0.21370997093477492,-0.15261050288032885,62.09408221021329,20.960071446193425,17.224379186936225,0.1150950888682279,42.97437199577723,-0.6552077306825003
source_ridge_forced_affine,test,C5,corrected_ppm,1360,41.04343376213415,28.353339742068528,0.28896636664849895,0.7460620633721495,56.25,5.456734606097498,11.677095272445364,0.06174616809467981,16.72699771821498,2.567854040901317
source_ridge_forced_affine,test,C5-CO,corrected_ppm,340,44.2320187980024,32.602907311766636,0.196586750213344,-5.926149015774979,75.89732305430869,-1.8834629455297787,-0.27015173923513913,-0.00837094642457678,7.904155415529985,1.5480467135087466
source_ridge_forced_affine,test,C5-CO_low_25_100,corrected_ppm,136,29.22631392110979,22.65201859821028,0.12989472853826572,16.96301594890949,52.42595311283438,-3.4917451976625067,-0.8958864313269856,-0.015518867545166709,3.435576446646138,11.114732708365263
source_ridge_forced_affine,test,C5-CO_mid_125_175,corrected_ppm,102,39.61261567034573,31.35036396088034,0.176056069645981,2.6925717243104366,74.56848294565857,-5.785820315027841,-4.547809006803401,-0.025714756955679346,-0.946724106572276,-4.71794599502644
source_ridge_forced_affine,test,C5-CO_high_200_250,corrected_ppm,102,61.7536158376382,47.12330228072807,0.27446051483394757,-45.063756375439695,87.56949698084,1.7496242353334068,4.841818451122258,0.007776107712592906,1.751211709314589,-4.941541904431432
source_ridge_forced_affine,test,C5-nonCO,corrected_ppm,1020,39.92402089385928,26.936817218835824,0.31377268515954626,2.970132423087859,56.25,8.624313915193653,15.65951094300553,0.07960151050858996,37.66948956996202,2.9077898166988403
source_ridge_forced_affine,test,nonCO_ALL,corrected_ppm,4050,32.627869852243826,23.144350302525886,0.23561129361226135,0.728714563561669,49.35345324315071,13.624972364495918,14.315101774421853,0.09185070084683411,30.74722881056309,0.43873160851687815
source_ridge_forced_identity,test,ALL,corrected_ppm,5400,65.41902381756798,46.69584692679994,0.39308061737062416,4.624553207317686,112.5,38.082751810957646,33.6969532496324,0.23524692207613465,84.66077126562595,5.388574058008828
source_ridge_forced_identity,test,C3,corrected_ppm,2680,56.116639401111726,40.768971470269,0.33782801653522737,16.40723614218097,100.0,36.43075832472687,29.666294884981447,0.2270629776783314,75.70275947451591,16.27101550497552
