candidate,N,spearman_risk_vs_abs_error,decile_monotonicity_fraction,lowest_risk_decile_RMSE,highest_risk_decile_RMSE,tail_enrichment_ratio,HC95_accept_threshold,HC95_reject_threshold,HC95_accepted_N,HC95_accepted_yield,HC95_accepted_RMSE,HC95_reject_RMSE,HC95_Ethanol_yield,HC95_Ethanol_RMSE,HC95_CO_yield,HC95_CO_RMSE,HC95_Ethylene_yield,HC95_Ethylene_RMSE,HC95_Methane_yield,HC95_Methane_RMSE,HC90_accept_threshold,HC90_reject_threshold,HC90_accepted_N,HC90_accepted_yield,HC90_accepted_RMSE,HC90_reject_RMSE,HC90_Ethanol_yield,HC90_Ethanol_RMSE,HC90_CO_yield,HC90_CO_RMSE,HC90_Ethylene_yield,HC90_Ethylene_RMSE,HC90_Methane_yield,HC90_Methane_RMSE,risk_direction_pass,gas_collapse,candidate_pass
QC1,320,0.14302247695411133,0.6666666666666666,71.01483903043854,34.75579871928417,1.2109425182723321,0.94921875,0.9844726562499999,305,0.953125,28.724117087237538,48.6331947939343,1.0,10.02357682064749,0.875,31.170446610611695,0.9375,11.846118766595366,1.0,45.4248715176336,0.9027343750000001,0.9727539062499999,288,0.9,27.947894490811517,35.25999223806178,1.0,10.02357682064749,0.7375,26.509847996908654,0.8625,12.263762030704777,1.0,45.4248715176336,False,False,False
QC2,320,0.18879216683161085,0.6666666666666666,6.433456802607318,35.208771401388574,1.22672474456517,0.947314453125,0.9757812499999998,304,0.95,28.15323533929726,48.6331947939343,1.0,10.02357682064749,0.875,28.615730786737597,0.925,11.923364353387068,1.0,45.4248715176336,0.88876953125,0.9560791015625,288,0.9,27.884825063197113,34.61346212703126,1.0,10.02357682064749,0.7,26.82837841419282,0.9,12.087832320646053,1.0,45.4248715176336,True,False,True
QC3,320,0.19663940559343313,0.6666666666666666,5.647081643258132,19.793595880818902,0.6896376352957934,0.8002278645833334,0.8255696614583333,304,0.95,29.177759300259552,2.6833676373783963,1.0,10.02357682064749,0.8875,31.14420808627568,0.9125,15.18348679550498,1.0,45.4248715176336,0.7652343750000001,0.8132812499999998,288,0.9,29.52577473806764,7.836959626648335,1.0,10.02357682064749,0.7625,31.657103518108368,0.8375,15.847391476094296,1.0,45.4248715176336,False,False,False
