workpoint,gas_id,gas,N,accept_N,accepted_yield,full_RMSE,accepted_RMSE
HC95,0,Ethanol,340,332,0.9764705882352941,26.0658236626062,16.338176154534924
HC95,1,CO,340,292,0.8588235294117647,22.664999760706348,19.67738499699138
HC95,2,Ethylene,340,313,0.9205882352941176,35.50515710004374,7.173920981195135
HC95,3,Methane,340,338,0.9941176470588236,13.331720109604024,9.291438250123324
HC90,0,Ethanol,340,330,0.9705882352941176,26.0658236626062,12.948293306188482
HC90,1,CO,340,218,0.6411764705882353,22.664999760706348,20.831832471985003
HC90,2,Ethylene,340,297,0.8735294117647059,35.50515710004374,6.834677008139814
HC90,3,Methane,340,338,0.9941176470588236,13.331720109604024,9.291438250123324
