N,accuracy,checkpoint_label,confusion_matrix_json,data_root,direction_id,ece,group_id,macro_f1,mean_confidence,nll,recall_0,recall_1,recall_2,recall_3,round,run_name,seed,target_client
2680,0.9764925373134329,final_adapted,"[[657, 11, 1, 1], [15, 652, 3, 0], [14, 13, 643, 0], [0, 0, 5, 665]]",client_data_c2345src_c1tgt_2080_timeaware_60_170_window_fullgrid,R1_C5_TO_C1,0.023724445355917032,B2,0.9765251242782818,0.9983078766558597,0.27685948761624446,0.9805970149253731,0.9731343283582089,0.9597014925373134,0.9925373134328358,25,B2_proto_replay_corrected_server_da_r1_c5_to_c1_s42_r25,42,1
2680,0.9835820895522388,final_adapted,"[[656, 7, 5, 2], [8, 662, 0, 0], [0, 17, 653, 0], [0, 0, 5, 665]]",client_data_c2345src_c1tgt_2080_timeaware_60_170_window_fullgrid,R1_C5_TO_C1,0.01561448365005092,B5,0.9836046899894706,0.9991965732022897,0.17175490973439106,0.9791044776119403,0.9880597014925373,0.9746268656716418,0.9925373134328358,25,B5_proto_replay_corrected_full_da_r1_c5_to_c1_s42_r25,42,1
