experiment_id,arm,source_clients,target_clients,split_protocol,model,checkpoint,calibration,seed,result_path,status,notes
DIAG-C5-SPLIT-SWAP-20260807,D1,C1;C2,C5,cross_protocol_legacy_test,R84_FED_H1,roleaware_FCL-RW-GAPS-C5_round25,fixed_roleaware_models_no_refit,42,results/iotj_c5_split_swap_diagnostic_20260807,completed,LEAKAGE_RISK_DIAGNOSTIC_ONLY
DIAG-C5-LEGACY-REPLAY-20260807,D2,C1;C2;C3;C4,C5,legacy_target_20_80,R84_FED_H1,legacy_FCL-E3-GAPS-C5_round25,legacy_320_calibration_refit_then_test,42,results/iotj_c5_legacy_exact_replay_20260807,registered,exact_replay_no_classifier_training
