gas_id,alpha,source_calibration_RMSE,source_calibration_N,target_input_accessed,source_test_accessed,gas
0,0.0,4.673383946054406,160,False,False,Ethanol
0,0.01,4.52958226967991,160,False,False,Ethanol
0,0.1,4.431642128761212,160,False,False,Ethanol
0,1.0,4.490650013511238,160,False,False,Ethanol
0,10.0,4.704102589459909,160,False,False,Ethanol
0,100.0,5.210865088121043,160,False,False,Ethanol
0,1000.0,6.931017964817037,160,False,False,Ethanol
1,0.0,14.793128428400664,160,False,False,CO
1,0.01,14.765578380801463,160,False,False,CO
1,0.1,14.874357650965303,160,False,False,CO
1,1.0,15.017233365275045,160,False,False,CO
1,10.0,15.637156263884785,160,False,False,CO
1,100.0,17.715954131661086,160,False,False,CO
1,1000.0,21.59435549537873,160,False,False,CO
2,0.0,4.19533000096059,160,False,False,Ethylene
2,0.01,4.146228616916635,160,False,False,Ethylene
2,0.1,4.16155730048123,160,False,False,Ethylene
2,1.0,4.244970786856715,160,False,False,Ethylene
2,10.0,4.4047265388567345,160,False,False,Ethylene
2,100.0,4.5569527906264895,160,False,False,Ethylene
2,1000.0,5.811005516789713,160,False,False,Ethylene
3,0.0,8.349682614300397,160,False,False,Methane
3,0.01,8.224515037462107,160,False,False,Methane
3,0.1,8.237458277893886,160,False,False,Methane
3,1.0,8.535609762849614,160,False,False,Methane
3,10.0,9.665754112021974,160,False,False,Methane
3,100.0,11.971626543318228,160,False,False,Methane
3,1000.0,15.154975783345346,160,False,False,Methane
