client,split,rows,window_shape,sampling_rate_hz,sensor_dimensions,h1_dimensions,source_array_sha256,metadata_sha256,cache_sha256,legacy_cache_reused
C1,calibration,320,50x8,5,83,104,63cd4452d34f2835616f2c2c0e66ff8f93ca97abaa492263a13219c04a7fc997,8d71a73d77a1c780fd3ea5338e60cb95e7c5830ca9cd40dcefde213456e118fc,03f56e37c0b2307c6f30ce574441a101fd1ffd57764ed631d9f0532629d12992,false
C1,train,2360,50x8,5,83,104,c5a616009eb95c8b213ddf117190233c830939488736c036169d9d3e9c889956,e8781d40e66909aa198c832edf39e1c45c9cc0262b73ef3d008c95d5818596e4,e90f1eeaf73324ca19d38f99e0b903ab9177c77c76328cd7a61f55661d7f845e,false
C2,calibration,320,50x8,5,83,104,c18e759bd66078a81994b8262981dc64755b865b488fdc36ae87d9df773e72eb,f21467df358499720cf16553f40802da42e41995ee74e194012d5a0268e36005,7276efcce08803dacc0c80e7c15707a4643837aa6cc80db14175701534869d54,false
C2,train,2360,50x8,5,83,104,57ed2fdf56558c03c13e3195c7657b89c15b98ca8779b1ab65e306157ad7d9d5,acf9c7a5038a5916a0880962f98a578f14cad117ef3a93c64d787084c6571957,4c7bbc3e20067477335d065d9ee0ebfdb032816cc8f07c2670270cf5544d60a6,false
