seed,method,class_id,gas,precision,recall,f1
41,FedAvg,0,Ethanol,1.0,0.46176470588235297,0.6317907444668008
41,FedAvg,1,CO,0.45664739884393063,0.2323529411764706,0.3079922027290449
41,FedAvg,2,Ethylene,0.0,0.0,
41,FedAvg,3,Methane,0.3937575030012005,0.9647058823529412,0.5592497868712702
41,GAPS-DG-P,0,Ethanol,1.0,0.17058823529411765,0.2914572864321608
41,GAPS-DG-P,1,CO,0.5081967213114754,0.09117647058823529,0.15461346633416456
41,GAPS-DG-P,2,Ethylene,0.0,0.0,
41,GAPS-DG-P,3,Methane,0.3932853717026379,0.9647058823529412,0.5587734241908008
42,FedAvg,0,Ethanol,0.42424242424242425,0.041176470588235294,0.07506702412868632
42,FedAvg,1,CO,0.6545454545454545,0.21176470588235294,0.32
42,FedAvg,2,Ethylene,0.2818696883852691,0.5852941176470589,0.38049713193116635
42,FedAvg,3,Methane,0.6418786692759295,0.9647058823529412,0.770857814336075
42,GAPS-DG-P,0,Ethanol,0.6818181818181818,0.04411764705882353,0.08287292817679559
42,GAPS-DG-P,1,CO,0.7899159663865546,0.27647058823529413,0.4095860566448802
42,GAPS-DG-P,2,Ethylene,0.3738680465717982,0.85,0.5193171608265948
42,GAPS-DG-P,3,Methane,0.7354260089686099,0.9647058823529412,0.8346055979643767
43,FedAvg,0,Ethanol,0.9930555555555556,0.8411764705882353,0.910828025477707
43,FedAvg,1,CO,0.7393939393939394,0.7176470588235294,0.7283582089552239
43,FedAvg,2,Ethylene,0.5375,0.37941176470588234,0.44482758620689655
43,FedAvg,3,Methane,0.6533864541832669,0.9647058823529412,0.7790973871733967
43,GAPS-DG-P,0,Ethanol,0.991869918699187,0.7176470588235294,0.8327645051194539
43,GAPS-DG-P,1,CO,0.8048780487804879,0.8735294117647059,0.8377997179125529
43,GAPS-DG-P,2,Ethylene,0.4647058823529412,0.2323529411764706,0.30980392156862746
43,GAPS-DG-P,3,Methane,0.5704347826086956,0.9647058823529412,0.7169398907103824
