step,method,source_ce,raw_alignment,weighted_alignment,total_loss,alignment_scope,active_alignment,target_fields,target_label_object_present,target_ce_status,class_conditional_status,phase_conditional_status,concentration_status,pseudo_label_status,dann_objective,optimizer,optimizer_lr,alignment_weight,source_checkpoint_ordered_fingerprint
1,mmd,0.008013119921088219,0.05309879779815674,0.02654939889907837,0.03456252068281174,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
2,mmd,0.01345639768987894,0.02635812759399414,0.01317906379699707,0.026635460555553436,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
3,mmd,0.0030096080154180527,0.02384084463119507,0.011920422315597534,0.014930030331015587,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
4,mmd,0.003993353806436062,0.0425226092338562,0.0212613046169281,0.025254659354686737,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
5,mmd,0.002896853955462575,0.05772203207015991,0.028861016035079956,0.03175786882638931,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
6,mmd,0.002997708972543478,0.029483675956726074,0.014741837978363037,0.017739547416567802,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
7,mmd,0.003145215567201376,0.03002011775970459,0.015010058879852295,0.018155274912714958,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
8,mmd,0.19653834402561188,0.053370535373687744,0.026685267686843872,0.22322361171245575,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
9,mmd,0.0049863699823617935,0.020985543727874756,0.010492771863937378,0.015479141846299171,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
10,mmd,0.003232655581086874,0.05141603946685791,0.025708019733428955,0.028940675780177116,unconditional_global,mmd,['x'],False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,DISABLED,UNAVAILABLE,Adam,0.0005,0.5,c0379777c63c7a5b0910e5d2ab8a1c37869692db14fd940e0a86778c9f5a1769
