gas_id,gas,fit_N,validation_N,selected_alpha,validation_RMSE
0,Ethanol,60,20,1.0,5.178443970299135
1,CO,60,20,1.0,27.98536239711702
2,Ethylene,60,20,0.0,9.335383899246766
3,Methane,60,20,0.1,7.127037811691438
