step,supervised_ce,mme_negative_entropy_raw,mme_weighted,unlabeled_mean_confidence
29.0,0.004874284844845533,-0.041390202939510345,-0.004139020573347807,0.9926243424415588
30.0,0.459062397480011,-0.11957480013370514,-0.011957480572164059,0.9598714709281921
31.0,0.27604925632476807,-0.0615139976143837,-0.006151400040835142,0.9799200296401978
32.0,0.25981172919273376,-0.06767122447490692,-0.00676712254062295,0.9770090579986572
33.0,0.07121436297893524,-0.06751437485218048,-0.006751437671482563,0.9757987260818481
34.0,0.2587108016014099,-0.06827269494533539,-0.006827269680798054,0.9820446372032166
35.0,0.10216840356588364,-0.053177446126937866,-0.0053177447989583015,0.9809656143188477
36.0,0.004288024269044399,-0.058157872408628464,-0.005815787240862846,0.9801276922225952
37.0,0.1255471557378769,-0.06923925131559372,-0.006923925131559372,0.9833846688270569
38.0,0.13707657158374786,-0.06894779950380325,-0.006894779857248068,0.9824997186660767
39.0,0.01053162943571806,-0.07003075629472733,-0.007003075908869505,0.9801371097564697
40.0,0.06491532176733017,-0.057213086634874344,-0.005721308756619692,0.9882168769836426
41.0,0.10879555344581604,-0.0564185194671154,-0.005641852039843798,0.9869751334190369
42.0,0.005257110111415386,-0.0697629451751709,-0.006976294796913862,0.9730647802352905
43.0,0.0050217448733747005,-0.07537655532360077,-0.007537655532360077,0.9805043339729309
44.0,0.06606655567884445,-0.05661780387163162,-0.00566178048029542,0.984316349029541
45.0,0.10349404066801071,-0.03175264969468117,-0.003175264922901988,0.9948158860206604
46.0,0.026808686554431915,-0.07711850851774216,-0.007711851038038731,0.9766734838485718
47.0,0.03870140016078949,-0.09037871658802032,-0.009037871845066547,0.9620809555053711
48.0,0.007007963489741087,-0.04512776434421539,-0.004512776620686054,0.9903404116630554
49.0,0.04053017124533653,-0.09471192955970764,-0.009471192955970764,0.9576072692871094
50.0,0.016408557072281837,-0.050061844289302826,-0.005006184335798025,0.9901927709579468
51.0,0.004100893624126911,-0.0893406867980957,-0.008934068493545055,0.9676205515861511
52.0,0.011259638704359531,-0.09150902181863785,-0.00915090274065733,0.9622398018836975
53.0,0.015066337771713734,-0.051178473979234695,-0.0051178475841879845,0.9842417240142822
54.0,0.04623474180698395,-0.06026612967252731,-0.006026613060384989,0.984372615814209
55.0,0.008785414509475231,-0.026400284841656685,-0.0026400284841656685,0.9958937168121338
56.0,0.015733743086457253,-0.06431837379932404,-0.0064318375661969185,0.9803866147994995
57.0,0.031140310689806938,-0.05898139253258705,-0.00589813943952322,0.9849539399147034
58.0,0.008705658838152885,-0.04631073772907257,-0.004631073679775,0.989387571811676
59.0,0.02150798588991165,-0.06425352394580841,-0.006425352301448584,0.9813778400421143
60.0,0.012995574623346329,-0.060226812958717346,-0.0060226814821362495,0.982141375541687
61.0,0.009834453463554382,-0.0874166265130043,-0.008741662837564945,0.9670918583869934
62.0,0.024429801851511,-0.058260269463062286,-0.0058260271325707436,0.9856703281402588
63.0,0.006828771438449621,-0.04695197567343712,-0.004695197567343712,0.9911208152770996
64.0,0.023884253576397896,-0.06634755432605743,-0.006634755525738001,0.9800227880477905
65.0,0.0075147924944758415,-0.06701181828975677,-0.00670118210837245,0.9833894968032837
66.0,0.0026765698567032814,-0.0625174418091774,-0.006251744460314512,0.9816121459007263
67.0,0.015289494767785072,-0.0349632129073143,-0.0034963213838636875,0.9918780326843262
68.0,0.00973303522914648,-0.0279499851167202,-0.0027949984651058912,0.9954025149345398
69.0,0.004872576333582401,-0.07632412016391754,-0.007632412016391754,0.9806458950042725
70.0,0.009776495397090912,-0.06144803762435913,-0.006144803948700428,0.983462929725647
71.0,0.0034001292660832405,-0.04517127946019173,-0.004517128225415945,0.9912871718406677
72.0,0.022103726863861084,-0.038111038506031036,-0.00381110399030149,0.993792712688446
73.0,0.011619974859058857,-0.05389969050884247,-0.005389969330281019,0.9873335361480713
74.0,0.004044391214847565,-0.07690376043319702,-0.00769037613645196,0.9798725843429565
75.0,0.004452017601579428,-0.07144568860530853,-0.007144568953663111,0.9806429147720337
76.0,0.016038917005062103,-0.06583152711391449,-0.0065831528045237064,0.9785990118980408
77.0,0.005474811885505915,-0.025559717789292336,-0.002555971732363105,0.9959097504615784
78.0,0.004546847194433212,-0.033956240862607956,-0.003395624225959182,0.9920952320098877
79.0,0.003941557835787535,-0.03199047967791557,-0.0031990481074899435,0.9945998191833496
80.0,0.00668807327747345,-0.03416823223233223,-0.003416823223233223,0.9940467476844788
81.0,0.025877665728330612,-0.05678442865610123,-0.005678442772477865,0.9850576519966125
82.0,0.013593097217381,-0.035481180995702744,-0.0035481180530041456,0.9935309290885925
83.0,0.0035287875216454268,-0.05016764625906944,-0.005016764625906944,0.9878283143043518
84.0,0.006066577509045601,-0.022411851212382317,-0.0022411851678043604,0.9965478181838989
85.0,0.011797750368714333,-0.034059301018714905,-0.0034059302415698767,0.9942020773887634
86.0,0.006401149556040764,-0.055891238152980804,-0.0055891238152980804,0.9819668531417847
87.0,0.0031063028145581484,-0.060342539101839066,-0.0060342540964484215,0.9861032962799072
88.0,0.0037472345866262913,-0.054232850670814514,-0.005423285067081451,0.9843433499336243
89.0,0.0030099540017545223,-0.032100215554237366,-0.003210021648555994,0.9936469197273254
90.0,0.017212042585015297,-0.03000492975115776,-0.0030004929285496473,0.9951468110084534
91.0,0.0022539938800036907,-0.044647034257650375,-0.0044647036120295525,0.9890992045402527
92.0,0.0102311372756958,-0.057964012026786804,-0.005796401295810938,0.9842603206634521
93.0,0.007189401425421238,-0.04555419832468033,-0.004555420018732548,0.9864470362663269
94.0,0.006740714889019728,-0.03638763725757599,-0.00363876367919147,0.993215024471283
95.0,0.004511293489485979,-0.06185232102870941,-0.006185232196003199,0.982457160949707
96.0,0.00422442564740777,-0.07101824879646301,-0.007101824972778559,0.9694010615348816
97.0,0.004173741210252047,-0.05058243125677109,-0.005058243405073881,0.9875166416168213
98.0,0.006584044545888901,-0.027647344395518303,-0.0027647344395518303,0.9950709342956543
99.0,0.013824052177369595,-0.0321430005133152,-0.0032143001444637775,0.9945361614227295
100.0,0.0038580591790378094,-0.0611720010638237,-0.0061172000132501125,0.9801005721092224
