step,supervised_ce,mme_negative_entropy_raw,mme_weighted,unlabeled_mean_confidence
1.0,4.396727561950684,-0.11832066625356674,-0.011832066811621189,0.94744873046875
2.0,3.185789108276367,-0.042690176516771317,-0.004269017837941647,0.9877115488052368
3.0,4.563941955566406,-0.02675700932741165,-0.002675700932741165,0.9941937327384949
4.0,3.763669490814209,-0.07482490688562393,-0.007482490967959166,0.9773108959197998
5.0,2.8939573764801025,-0.050748467445373535,-0.005074847023934126,0.9849398136138916
6.0,2.2063443660736084,-0.019012432545423508,-0.0019012432312592864,0.9963111877441406
7.0,2.2707531452178955,-0.023903612047433853,-0.0023903611581772566,0.9957231283187866
8.0,2.7502853870391846,-0.07381215691566467,-0.007381215691566467,0.9764685034751892
9.0,2.861969470977783,-0.021919764578342438,-0.002191976411268115,0.9960184693336487
10.0,2.2108633518218994,-0.01834086887538433,-0.0018340869573876262,0.9972413778305054
11.0,1.479172945022583,-0.11564807593822479,-0.011564807966351509,0.9461738467216492
12.0,2.3931992053985596,-0.06529390066862106,-0.006529390346258879,0.9802020788192749
13.0,1.8951621055603027,-0.05409746617078781,-0.0054097468964755535,0.9829078912734985
14.0,1.3107682466506958,-0.03505227714776993,-0.003505227854475379,0.9923496246337891
15.0,1.88619065284729,-0.11106862127780914,-0.011106862686574459,0.9585303068161011
16.0,1.8409148454666138,-0.0841488167643547,-0.008414882235229015,0.9679328799247742
17.0,1.0997271537780762,-0.07116395980119705,-0.007116395980119705,0.9833691120147705
18.0,1.1047102212905884,-0.09648364782333374,-0.009648364968597889,0.9635380506515503
19.0,0.7628165483474731,-0.08387862890958786,-0.008387862704694271,0.9664179682731628
20.0,1.278099536895752,-0.0882573202252388,-0.00882573239505291,0.9669206738471985
21.0,0.5910172462463379,-0.0828225165605545,-0.00828225165605545,0.9769914150238037
22.0,0.7865041494369507,-0.15398040413856506,-0.015398040413856506,0.9342021346092224
23.0,0.32868772745132446,-0.08903112262487411,-0.008903112262487411,0.9738789200782776
24.0,0.5250551104545593,-0.14853285253047943,-0.014853285625576973,0.9516822099685669
25.0,0.6597967743873596,-0.05951283127069473,-0.005951283033937216,0.9837380647659302
26.0,0.4699912965297699,-0.05313078686594963,-0.005313078872859478,0.9893117547035217
27.0,0.015010964125394821,-0.05223221704363823,-0.0052232216112315655,0.9895293712615967
28.0,0.7208307981491089,-0.08999131619930267,-0.008999131619930267,0.9693688154220581
