method,N,accuracy,macro_f1,nll,ece,checkpoint_sha256
A0T-5L,1360,0.9514705882352941,0.9515676118857475,0.23303750601826345,0.036221121361150535,43a040036a136dd63089991f40c97db2d0f8b7cca14dc3f3fa3fa920e596bd1a
MME-compatible-5L15U,1360,0.9705882352941176,0.9705857460427367,0.12131418249557711,0.0177319802124711,4e7bbe112cc094fd81f179003daa7c3ee6c2dc8acfa1e11a55980ae0740ba13d
GAPS-SSDA-5L15U,1360,0.9139705882352941,0.9141474289727197,0.3481835000488699,0.04946381469421533,24200549837b7ec224cbe910e1624e04cdd85f8d262760c363858e990cb93784
