experiment,scope,group_level,group_value,N,RMSE,MAE,Bias,R2,formal_RMSE_abs_difference
A_OLD_CKPT_OLD_DATA,PIPELINE_ALL,concentration,Methane:225,34,10.208608867911082,8.202846571781159,-2.4520233838572922,nan,
A_OLD_CKPT_OLD_DATA,PIPELINE_ALL,concentration,Methane:250,34,9.474364770168364,7.014948809601612,-7.014948809601612,nan,
A_OLD_CKPT_OLD_DATA,S_CC,all,all,1339,11.796538964862096,6.816436856953597,-0.34414153530151986,0.9684422307845357,0.0
A_OLD_CKPT_OLD_DATA,S_CC,gas,CO,340,15.962721684792758,11.766207754652015,-2.077186202123486,0.9505825971226854,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:25,34,6.392557525973983,2.8533716516250096,2.8533716516250096,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:50,34,14.19653887266863,11.753326688465084,-2.6700651420338533,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:75,34,18.70737522755632,15.102387092204836,7.31911172589505,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:100,34,15.179637338148973,11.417686473673761,5.068870237649129,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:125,34,12.726418109839438,9.386995177729423,4.07626053022778,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:150,34,13.311965191542473,10.903901554017564,4.059271045353585,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:175,34,17.058915503809246,11.651493157174672,-8.480232842060136,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:200,34,18.519572116237516,15.586778500310492,-5.169957198447484,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:225,34,22.819934511539685,17.79993436061872,-16.622289138743355,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,CO:250,34,15.211520461159163,11.206202890700588,-11.206202890700588,nan,
A_OLD_CKPT_OLD_DATA,S_CC,gas,Ethanol,326,8.562729899954979,4.54155917850396,0.5690643915800108,0.9417033618725422,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:12.5,28,1.9005631444168756,1.0494897134812091,1.0494897134812091,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:25,32,5.200496787819597,3.3483878875819633,1.0277026179817326,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:37.5,31,20.060410614086912,9.012737498608107,8.622029831666739,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:50,32,3.4113061241492106,2.8622444207705486,-0.7780975132191046,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:62.5,34,8.216576160923392,5.216047029135037,5.1264527351791775,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:75,34,7.665777250086167,5.905696148663449,-2.6664166554820423,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:87.5,34,7.976769411245367,5.225475586456794,4.222912751436359,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:100,33,6.520784941243742,5.162972181102932,-3.8967664526782557,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:112.5,34,6.357807827251027,4.627019518160024,-3.771843396013268,nan,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethanol:125,34,5.012181249436337,2.633097068004957,-2.633097068004957,nan,
A_OLD_CKPT_OLD_DATA,S_CC,gas,Ethylene,334,6.873402534622835,4.236504942558366,-1.1548746140715946,0.9638198721206535,
A_OLD_CKPT_OLD_DATA,S_CC,concentration,Ethylene:12.5,34,3.6068925309812805,1.7140117840217235,1.7140117840217235,nan,
