mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
A0_baseline_final,test,ALL,baseline_final_ppm,8040,22.93516678392923,12.85142349674499,0.1473183954542298,-0.5979955255371073,28.81930083036423
A0_baseline_final,test,C1,baseline_final_ppm,2680,23.396269644341277,13.621040444666695,0.1328387690525553,-4.5173013501801895,33.2266530767083
A0_baseline_final,test,C1-CO,baseline_final_ppm,670,37.68371311330023,27.08653698254849,0.16748316939244548,-8.232650167287897,54.65116962790489
A0_baseline_final,test,C1-CO_low_25_100,baseline_final_ppm,268,28.26491570371623,21.34601382630766,0.12562184757207212,3.4834120546835963,49.494858384132385
A0_baseline_final,test,C1-CO_mid_125_175,baseline_final_ppm,201,31.102722601356717,25.001457591184337,0.13823432267269653,2.6199927470132485,55.5108577013016
A0_baseline_final,test,C1-CO_high_200_250,baseline_final_ppm,201,51.970704701307724,36.825647248900424,0.23098090978358987,-34.706709377551036,58.0805778503418
A0_baseline_final,test,C1-nonCO,baseline_final_ppm,2010,16.015404033589917,9.132541598706096,0.1190713262766676,-3.278851744477621,19.636930152773864
A0_baseline_final,test,C2,baseline_final_ppm,2680,20.2753591594184,11.944152251173149,0.13192358172061006,3.7469454723311593,27.83691123127937
A0_baseline_final,test,C2-CO,baseline_final_ppm,670,21.996732424248606,16.481695805933438,0.09776325521888268,1.352380179807043,38.7135149538517
A0_baseline_final,test,C2-CO_low_25_100,baseline_final_ppm,268,17.995045755728242,12.479080986005686,0.07997798113656997,6.223488574997008,27.793246954679507
A0_baseline_final,test,C2-CO_mid_125_175,baseline_final_ppm,201,22.975640054047865,17.8874450165834,0.10211395579576829,9.987618229282436,38.60725164413449
A0_baseline_final,test,C2-CO_high_200_250,baseline_final_ppm,201,25.558009695314574,20.412766355187145,0.1135911542013981,-13.777669063254969,42.77374744415283
A0_baseline_final,test,C2-nonCO,baseline_final_ppm,2010,19.668117337708907,10.43163773291972,0.14148930652760247,4.545133903172531,24.703377138844104
A0_baseline_final,test,C3,baseline_final_ppm,2680,24.891564914762082,12.989077794395124,0.17337288986526678,-1.0236306987622912,27.221975922584534
A0_baseline_final,test,C3-CO,baseline_final_ppm,670,32.30543500313066,21.1651177858628,0.14357971112502518,-2.8970572695747676,44.20850127935411
A0_baseline_final,test,C3-CO_low_25_100,baseline_final_ppm,268,27.935651345092,17.86811784076602,0.12415845042263113,5.05612081111367,40.83053827285767
A0_baseline_final,test,C3-CO_mid_125_175,baseline_final_ppm,201,31.334123627464106,22.01292626606069,0.13926277167761825,1.7050334335819117,44.15092617273331
A0_baseline_final,test,C3-CO_high_200_250,baseline_final_ppm,201,38.16336346381271,24.713309232460624,0.1696149487280565,-18.103385413649367,46.55385464429855
A0_baseline_final,test,C3-nonCO,baseline_final_ppm,2010,21.868690593950056,10.263731130572564,0.18222468028434022,-0.39915517515813265,20.519866272807125
A0_baseline_final,test,nonCO_ALL,baseline_final_ppm,6030,19.33535306343395,9.942636820732794,0.14989222651367046,0.2890423278455926,21.857614964246764
H1_target_Ridge_direct,test,ALL,ridge_direct_ppm,8040,15.587352816709759,6.787530484817164,0.11230957374657152,0.9097360222691809,15.233262728169485
H1_target_Ridge_direct,test,C1,ridge_direct_ppm,2680,15.729733479587692,6.877987290012464,0.09770754177803673,0.7118782003875846,14.524942614730195
H1_target_Ridge_direct,test,C1-CO,ridge_direct_ppm,670,23.7749709340666,12.172946128843288,0.10566653748474046,-0.3982894890372105,23.653539260092433
H1_target_Ridge_direct,test,C1-CO_low_25_100,ridge_direct_ppm,268,10.412322880123222,7.24538476879016,0.046276990578325426,3.3525387651212406,17.149432917877146
H1_target_Ridge_direct,test,C1-CO_mid_125_175,ridge_direct_ppm,201,16.518325510442295,13.017927668543976,0.07341478004641021,7.671521835238094,27.75191577751525
H1_target_Ridge_direct,test,C1-CO_high_200_250,ridge_direct_ppm,201,38.29822156493511,17.89804640254676,0.17021431806637824,-13.469205152190453,26.354691805843885
H1_target_Ridge_direct,test,C1-nonCO,ridge_direct_ppm,2010,11.894660124606837,5.113001010402191,0.09490633582154057,1.0819340968625166,9.993758605683514
H1_target_Ridge_direct,test,C2,ridge_direct_ppm,2680,14.616013893946818,7.19940214540526,0.10526399975061267,0.9669254746158321,16.27905411909434
H1_target_Ridge_direct,test,C2-CO,ridge_direct_ppm,670,15.554724250493107,11.497253551900277,0.06913210777996937,1.504511491678144,25.065770250364192
H1_target_Ridge_direct,test,C2-CO_low_25_100,ridge_direct_ppm,268,12.78901787920488,8.666752362415517,0.056840079463132805,3.054883070129575,22.81873690899415
H1_target_Ridge_direct,test,C2-CO_mid_125_175,ridge_direct_ppm,201,17.218716836291343,13.17653835456797,0.07652763038351708,9.073678178956113,25.384790200155578
H1_target_Ridge_direct,test,C2-CO_high_200_250,ridge_direct_ppm,201,17.08611447311477,13.591970335212261,0.07593828654717676,-8.131817300201732,27.423447297719747
H1_target_Ridge_direct,test,C2-nonCO,ridge_direct_ppm,2010,14.289413354920107,5.766785009906922,0.11480823177206798,0.7877301355950613,11.555947860485322
H1_target_Ridge_direct,test,C3,ridge_direct_ppm,2680,16.36595020189358,6.2852020190337665,0.13119850495187052,1.0504043918041264,14.075925263902064
H1_target_Ridge_direct,test,C3-CO,ridge_direct_ppm,670,14.675160327836982,10.561997126241067,0.06522293479038659,1.3698548154651078,23.234919324317847
H1_target_Ridge_direct,test,C3-CO_low_25_100,ridge_direct_ppm,268,12.733274763809312,8.608650948425058,0.05659233228359694,2.7758034659345636,20.14995421743619
