record_type,step,threshold,batch_size,selected_count,coverage,mean_confidence_all,mean_confidence_selected,pseudo_class_0,pseudo_class_1,pseudo_class_2,pseudo_class_3,pseudo_ce,teacher_policy,pseudo_label_origin,target_label_object_present,posthoc_precision
training_step,36,0.9,32,32,1.0,0.994181752204895,0.994181752204895,2,0,13,17,0.2840031087398529,frozen_source_round25,teacher_argmax_only,False,
training_step,37,0.9,32,32,1.0,0.99756920337677,0.99756920337677,1,0,11,20,0.0025612476747483015,frozen_source_round25,teacher_argmax_only,False,
training_step,38,0.9,32,31,0.96875,0.9798047542572021,0.9952419400215149,0,0,5,26,0.00199354300275445,frozen_source_round25,teacher_argmax_only,False,
training_step,39,0.9,32,32,1.0,0.9966616034507751,0.9966616034507751,1,0,14,17,0.04325670003890991,frozen_source_round25,teacher_argmax_only,False,
training_step,40,0.9,32,30,0.9375,0.9821092486381531,0.9975625276565552,3,1,9,17,0.002091582864522934,frozen_source_round25,teacher_argmax_only,False,
training_step,41,0.9,32,31,0.96875,0.9824324250221252,0.9946065545082092,1,0,11,19,0.0034380625002086163,frozen_source_round25,teacher_argmax_only,False,
training_step,42,0.9,32,32,1.0,0.9981828927993774,0.9981828927993774,1,0,11,20,0.0025648276787251234,frozen_source_round25,teacher_argmax_only,False,
training_step,43,0.9,32,31,0.96875,0.9894903898239136,0.9965500831604004,1,0,12,18,0.23692603409290314,frozen_source_round25,teacher_argmax_only,False,
training_step,44,0.9,32,32,1.0,0.9950315356254578,0.9950315356254578,2,0,9,21,0.0023987554013729095,frozen_source_round25,teacher_argmax_only,False,
training_step,45,0.9,32,31,0.96875,0.9918681979179382,0.9968738555908203,2,0,10,19,0.014333691447973251,frozen_source_round25,teacher_argmax_only,False,
training_step,46,0.9,32,28,0.875,0.9643065333366394,0.9966889023780823,0,0,11,17,0.0034776402171701193,frozen_source_round25,teacher_argmax_only,False,
training_step,47,0.9,32,31,0.96875,0.983688235282898,0.9979028105735779,0,1,11,19,0.0025139423087239265,frozen_source_round25,teacher_argmax_only,False,
training_step,48,0.9,32,30,0.9375,0.9873347282409668,0.9976663589477539,3,1,12,14,0.198486328125,frozen_source_round25,teacher_argmax_only,False,
training_step,49,0.9,32,31,0.96875,0.9904865622520447,0.9935921430587769,2,0,10,19,0.00739944027736783,frozen_source_round25,teacher_argmax_only,False,
training_step,50,0.9,32,32,1.0,0.9930971264839172,0.9930971264839172,1,0,13,18,0.0033048889599740505,frozen_source_round25,teacher_argmax_only,False,
training_step,51,0.9,32,32,1.0,0.9943522810935974,0.9943522810935974,0,0,17,15,0.005029840394854546,frozen_source_round25,teacher_argmax_only,False,
training_step,52,0.9,32,30,0.9375,0.9791504144668579,0.9944064021110535,0,0,8,22,0.013798407278954983,frozen_source_round25,teacher_argmax_only,False,
training_step,53,0.9,32,31,0.96875,0.9927002787590027,0.9973936676979065,1,0,12,18,0.0022475942969322205,frozen_source_round25,teacher_argmax_only,False,
training_step,54,0.9,32,32,1.0,0.9946569800376892,0.9946569800376892,2,0,12,18,0.004528816323727369,frozen_source_round25,teacher_argmax_only,False,
training_step,55,0.9,32,31,0.96875,0.9929355382919312,0.9984514713287354,0,0,7,24,0.005728099029511213,frozen_source_round25,teacher_argmax_only,False,
training_step,56,0.9,32,31,0.96875,0.9803735017776489,0.9944812655448914,1,1,10,19,0.038253650069236755,frozen_source_round25,teacher_argmax_only,False,
training_step,57,0.9,32,31,0.96875,0.981479287147522,0.9969704747200012,2,1,13,15,0.005216345656663179,frozen_source_round25,teacher_argmax_only,False,
training_step,58,0.9,32,30,0.9375,0.9877093434333801,0.9958595633506775,3,0,11,16,0.0030593283008784056,frozen_source_round25,teacher_argmax_only,False,
training_step,59,0.9,32,31,0.96875,0.9838312864303589,0.9960504770278931,1,0,10,20,0.0037134899757802486,frozen_source_round25,teacher_argmax_only,False,
training_step,60,0.9,32,30,0.9375,0.9887298345565796,0.9974831938743591,3,0,10,17,0.0047797528095543385,frozen_source_round25,teacher_argmax_only,False,
training_step,61,0.9,32,32,1.0,0.9967086315155029,0.9967086315155029,1,1,14,16,0.004429711028933525,frozen_source_round25,teacher_argmax_only,False,
training_step,62,0.9,32,30,0.9375,0.9812525510787964,0.9965898990631104,0,0,8,22,0.004196080379188061,frozen_source_round25,teacher_argmax_only,False,
training_step,63,0.9,32,31,0.96875,0.9886391758918762,0.9969829320907593,0,0,11,20,0.0526319295167923,frozen_source_round25,teacher_argmax_only,False,
training_step,64,0.9,32,31,0.96875,0.9951178431510925,0.9983727335929871,1,0,11,19,0.005601716227829456,frozen_source_round25,teacher_argmax_only,False,
training_step,65,0.9,32,31,0.96875,0.9863442182540894,0.9916474223136902,1,0,14,16,0.2666844427585602,frozen_source_round25,teacher_argmax_only,False,
training_step,66,0.9,32,31,0.96875,0.9924664497375488,0.9981100559234619,2,0,11,18,0.0051080938428640366,frozen_source_round25,teacher_argmax_only,False,
training_step,67,0.9,32,31,0.96875,0.9820506572723389,0.9962125420570374,2,0,14,15,0.07723391801118851,frozen_source_round25,teacher_argmax_only,False,
training_step,68,0.9,32,30,0.9375,0.9770315289497375,0.9972185492515564,3,1,9,17,0.0038669893983751535,frozen_source_round25,teacher_argmax_only,False,
training_step,69,0.9,32,32,1.0,0.993963897228241,0.993963897228241,2,0,8,22,0.09238279610872269,frozen_source_round25,teacher_argmax_only,False,
training_step,70,0.9,32,30,0.9375,0.9823436141014099,0.9942554831504822,1,0,10,19,0.01631328836083412,frozen_source_round25,teacher_argmax_only,False,
training_step,71,0.9,32,30,0.9375,0.9809828400611877,0.9964067339897156,1,0,10,19,0.004303136840462685,frozen_source_round25,teacher_argmax_only,False,
