filename,client_id,unit_id,gas_code,gas,gas_type,class_label,classification_label,concentration_code,concentration,repeat_id,phase_label,regression_label,stage,channel,N,RMSE,MAE,max_abs_diff,pearson,cosine
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",relative,4,5799,0.010940417026636675,0.005682403051916677,0.060115350337830706,0.844975235599253,0.8889551655334197
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",relative,5,5799,0.0071267891340813065,0.0040440662250337605,0.0360245013758561,0.8165517493076869,0.8357855404688842
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",relative,6,5799,0.014121564722093896,0.006443484445553538,0.07187467927968161,0.8336505176554938,0.8778633720746974
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",relative,7,5799,0.031582457265894696,0.013540596421698992,0.15322738076512335,0.8871307502073125,0.9151285236569578
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,0,1100,0.0011977969277357043,0.0009483513226704587,0.004592180787261285,0.987577486082761,0.9980105598195218
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,1,1100,0.0006775249831317767,0.000480938104845054,0.002990250707283067,0.9894494036382635,0.9994249739797186
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,2,1100,0.0006698861626482595,0.0005044431290483212,0.0022622480309459903,0.9992692794487738,0.9999472490266551
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,3,1100,0.0007048287886968906,0.0005198628554295711,0.0034528645163075106,0.9988325725457335,0.9998591372509671
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,4,1100,0.0015630633378870516,0.001105289576756853,0.006990691278540108,0.9947333528612508,0.9995098783805628
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,5,1100,0.0014230442645491142,0.0011026448582733674,0.006585977827723445,0.9745219829554088,0.9984852489915806
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,6,1100,0.0011571172079644118,0.0008792641502519189,0.004746528901836536,0.9972617045296441,0.9998318922337696
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",crop,7,1100,0.0007207097698946563,0.0004999971192242936,0.0029607467547221045,0.9998929373726106,0.9999904378772788
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,0,2100,0.0011981273497737146,0.0009487445025228052,0.004592180252075195,0.9823796667922439,0.998035830174711
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,1,2100,0.0006795490034813877,0.0004817321220096866,0.00299025047570467,0.9847664402483043,0.9994347691127442
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,2,2100,0.0006712845441513642,0.0005066179188101419,0.0022622477263212204,0.9988693097857072,0.9999484247785991
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,3,2100,0.0007025696633241041,0.0005169695127932798,0.003452865406870842,0.9987953381691204,0.9998619311111465
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,4,2100,0.0015542003403095942,0.001094796258579923,0.006990689784288406,0.9929024718127888,0.9995251465211519
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,5,2100,0.0014266574314304682,0.00110642840681283,0.006585979834198952,0.9622345887998296,0.998511286415739
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,6,2100,0.0011563186898107564,0.0008806222807643713,0.004746526479721069,0.9957044359428346,0.9998360743298371
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",windows,7,2100,0.0007198167075508667,0.0004978954209461032,0.0029607415199279785,0.9998674552431945,0.9999906510137269
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,0,5417,0.2101912903313007,0.1453332905436627,1.2680000000000007,0.30775795555272306,0.9999831158309429
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,1,5417,0.15721135626550076,0.09905285828564277,0.5969999999999942,0.5366556805255569,0.9999752274707457
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,2,5417,0.39671216425834066,0.20321664820626317,1.730999999999998,0.6129953566103828,0.9998456990257222
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,3,5417,0.046163499875956734,0.02614035220210145,0.17000000000000082,0.5399343607865095,0.9999341808941129
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,4,5417,1.1191322207702923,0.6781360808071567,5.890000000000001,0.5937849131464966,0.9999430804879418
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,5,5417,0.6484614754502388,0.38890113666474974,2.451999999999998,0.5323768581441329,0.9999522501477985
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,6,5417,0.8755784370711959,0.4559414935770793,3.3610000000000113,0.6455509321643617,0.9998771958165587
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",sensor10,7,5417,0.35796063075107865,0.17636640421743918,1.246999999999998,0.648639820255444,0.9990180596064484
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",conductance,0,5417,0.00016070289380962392,0.00011112470804157306,0.0009596197023308481,0.31107176498386624,0.9999831157342848
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",conductance,1,5417,0.00032138908613808147,0.00020167112559863205,0.001222390758597397,0.5374267110656028,0.9999746969401772
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",conductance,2,5417,0.000812798696476634,0.0004120276809429069,0.003490976149114332,0.6118251771965035,0.9998351144959701
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",conductance,3,5417,0.002904315752368777,0.0016361283125432883,0.010710010703436135,0.5404855548138244,0.9999320181821563
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",conductance,4,5417,0.00010428937111141078,6.271132506570968e-05,0.0005418154589327973,0.5938402064230676,0.9999410419556608
