preprocessing,client,N,Oracle_RMSE,MAE,Bias,R2
interp,C3,2680,9.493669517260779,5.357491689221643,-0.1132731771678677,0.9795359478570648
interp,C4,1360,10.085341374658766,6.291926384394433,0.6049161481100429,0.9769057096898347
interp,C5,1360,21.06215989328347,11.403904904432254,0.622981491797774,0.8992768671230322
legacy,C3,2680,10.539482291486348,5.483583942509309,0.12412106101487816,0.9747790191884932
legacy,C4,1360,12.656784324259057,7.742610176339223,0.5791180989101096,0.9636277494507429
legacy,C5,1360,13.039605317744847,7.754988693636564,0.8529897522278328,0.9613942221270996
timebin,C3,2650,9.726233693751778,5.314494921566241,-0.07868726540945466,0.9786055712652277
timebin,C4,1353,9.641142895110505,5.468284942786319,0.3907689423973444,0.9789452058731657
timebin,C5,1336,12.046778594333176,6.785393060255098,1.3573415553927748,0.9660751642149931
timebin_short,C3,2650,9.726233693751778,5.314494921566241,-0.07868726540945466,0.9786055712652277
timebin_short,C4,1356,9.663634862198423,5.45663326063999,0.3712460242101876,0.9788550057634888
timebin_short,C5,1355,14.095440924821153,8.663507431130952,1.8276578090936968,0.9549156248230865
