preprocessing,client,gas,true_ppm,N,Oracle_RMSE,MAE,Bias,R2
interp,C3,CO,25.0,67,5.027624779789692,2.138860395008568,2.138860395008568,nan
interp,C3,CO,50.0,67,9.529401980234857,7.492331604492438,-2.415322658236037,nan
interp,C3,CO,75.0,67,7.9582890023001225,5.462736439595956,0.38129365675348037,nan
interp,C3,CO,100.0,67,9.207478198841853,6.684082934446156,1.0697868688123608,nan
interp,C3,CO,125.0,67,13.88967390863446,10.435472402597817,7.131818196497247,nan
interp,C3,CO,150.0,67,15.798696671405935,10.209900857371167,3.9077626744489136,nan
interp,C3,CO,175.0,67,18.491441642022348,12.363971048125352,1.5951412441576454,nan
interp,C3,CO,200.0,67,23.41950726193037,14.068213071873755,-3.8407454422123544,nan
interp,C3,CO,225.0,67,18.380885455406567,12.715675021100267,-9.397080385300711,nan
interp,C3,CO,250.0,67,21.58096314579065,8.163909465820778,-8.163909465820778,nan
interp,C3,Ethanol,12.5,67,2.4226991194884437,0.5900623065343705,0.5900623065343705,nan
interp,C3,Ethanol,25.0,67,4.245325781422336,3.3317428296604947,-0.12839807710925852,nan
interp,C3,Ethanol,37.5,67,5.168964085061304,4.316267369784512,3.8393433323449084,nan
interp,C3,Ethanol,50.0,67,7.281138559324774,6.243849534544725,5.9288684022377085,nan
interp,C3,Ethanol,62.5,67,6.423202384770422,5.406655121401705,4.721473903252365,nan
interp,C3,Ethanol,75.0,67,4.733516785734977,3.8952466049096524,3.0650531185101593,nan
interp,C3,Ethanol,87.5,67,5.184358951874314,4.2099222562230265,1.3450106252534546,nan
interp,C3,Ethanol,100.0,67,5.836155707623704,4.845963928685271,0.4264400185170393,nan
interp,C3,Ethanol,112.5,67,8.5683386104809,7.606545660901564,-7.504529644770346,nan
interp,C3,Ethanol,125.0,67,9.19105592169692,7.812228225368837,-7.812228225368837,nan
interp,C3,Ethylene,12.5,67,1.9728645737814403,0.4452443859958878,0.4452443859958878,nan
interp,C3,Ethylene,25.0,67,5.632052747075342,4.283127047585743,2.4025378657839873,nan
interp,C3,Ethylene,37.5,67,4.6496473292489195,3.751408292344304,3.201596619015604,nan
interp,C3,Ethylene,50.0,67,10.62269170162625,5.7078026468951055,2.3772590614903852,nan
interp,C3,Ethylene,62.5,67,9.001055698344633,4.602812128840778,3.4092577489665743,nan
interp,C3,Ethylene,75.0,67,4.974524884593935,3.558432748166887,1.0587917078181701,nan
interp,C3,Ethylene,87.5,67,5.701132423616249,3.9585170967957253,-0.06370904641443892,nan
interp,C3,Ethylene,100.0,67,6.8504005896455675,4.6911771373728435,-3.349359994931915,nan
interp,C3,Ethylene,112.5,67,9.416604573984639,6.347322693222939,-2.921484540443967,nan
interp,C3,Ethylene,125.0,67,11.919066839285037,7.7122865186804255,-7.7122865186804255,nan
interp,C3,Methane,25.0,67,2.6752432497507774,1.910353748063543,1.910353748063543,nan
interp,C3,Methane,50.0,67,4.059187532872412,3.1567105139314697,-1.6151045112366798,nan
interp,C3,Methane,75.0,67,3.411910661141136,2.1193233985964315,-0.7160722899196508,nan
interp,C3,Methane,100.0,67,3.940902001123288,2.4328503323575803,1.0982696570485595,nan
